Category;Subcategory;Technologies name;Technologies param;c_inv;c_maint;gwp_constr;lifetime;c_p;fmin_perc;fmax_perc;f_min;f_max;Comment
;;Name (simplified);Name (in model and documents);"[Meuro/GW]
[Meuro/GWh] 
[Meuro/(Mkmpass/h)] 
[Meuro/(Mtonkm/h)]";"[Meuro/GW]
[Meuro/GWh] 
[Meuro/(Mkmpass/h)] 
[Meuro/(Mtonkm/h)]";"[ktonCO2_eq/GW]
[ktonCO2_eq/GWh]
[ktonCO2_eq/(Mkmpass/h)]
[ktonCO2_eq/(Mtonkm/h)]";[years];[];[];[];[GW];[GW];
Electricity;Electricity;Nuclear;NUCLEAR;4845.7;102.9;707.88;60;0.843906;0;1;0;0;
Electricity;Electricity;Combined cycle gas turbine;CCGT;826;19.7;253;25;0.955769231;0;1;2.43;2.43;
Electricity;Electricity;Amonia combined cycle gas turbine;CCGT_AMMONIA ;826;19.6;260;25;0.59;0;1;0;0;
Electricity;Electricity;Ultra-supercritical coal power plant;COAL_US;2598.8;29.7;476;35;0.862792;0;1;0;0;
Electricity;Electricity;Intagrated gasification combined cycle with coal;COAL_IGCC;3351.7;48.9;479;35;0.850864;0;1;0.611;0.611;
Electricity;Electricity;Biomass power plant;BIOMASS_TO_POWER;1792.3;69.8;331.6;35;0.868;0;1;0.21;0.21;
Electricity;Electricity;Photovoltaic rooftop;PV_ROOFTOP;737.9;9.7;3046;25;1;0;1;0.12;0.12;
Electricity;Electricity;Photovoltaic utility scale;PV_UTILITY;335.4;8.4;2981;25;1;0;1;0;0;
Electricity;Electricity;Parabolic trough power block;PT_POWER_BLOCK;1044.6;62.7;0;25;1;0;1;0;0;
Electricity;Electricity;Solar tower power block;ST_POWER_BLOCK;50;5;0;25;1;0;1;0;0;
Electricity;Electricity;Wind onshore;WIND_ONSHORE;1142;16.8;917;30;1;0;1;0.001;0.001;
Electricity;Electricity;Wind offshore;WIND_OFFSHORE;5357.3;51.9;828;30;1;0;1;0;0;
Electricity;Electricity;Hydro dam;HYDRO_DAM;4200.7;21;2462;40;1;0;1;8.136;8.14;
