Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	PT_HEAT	ST_HEAT	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	BIOMASS_TO_POWER	PV_ROOFTOP	PV_UTILITY	PT_POWER_BLOCK	ST_POWER_BLOCK	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_DAM	HYDRO_RIVER	TIDAL	WAVE	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	COAL_STOVE	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	DEC_THHP_GAS_COLD	DEC_ELEC_COLD	IND_ELEC_COLD	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_GASOLINE	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	MOTORCYCLE	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	MOTORCYCLE_ELECTRIC	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_GASOLINE	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	EFFICIENCY	DHN	GRID	HVAC_LINE	PT_COLLECTOR	ST_COLLECTOR	H2_ELECTROLYSIS	SMR	H2_BIOMASS	GASIFICATION_SNG	SYN_METHANATION	BIOMETHANATION	BIO_HYDROLYSIS	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	SYN_METHANOLATION	AMMONIA_TO_H2	DAM_STORAGE_Pin	DAM_STORAGE_Pout	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_COAL_STOVE_Pin	TS_COAL_STOVE_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	PT_STORAGE_Pin	PT_STORAGE_Pout	ST_STORAGE_Pin	ST_STORAGE_Pout	TS_COLD_Pin	TS_COLD_Pout	CAES_Pin	CAES_Pout	END_USE	
 1 	 1											3.935439																								-0.978119																			-2.957319																																																																																																																																																0.000000	
 1 	 2											3.930075																								-0.972739																			-2.957336																																																																																																																																																0.000000	
 1 	 3											3.955791																								-0.998413																			-2.957378																																																																																																																																																0.000000	
 1 	 4											4.117797																								-0.961082																			-3.156715																																																																																																																																																0.000000	
 1 	 5											4.283495																								-1.001084																			-3.282410																																																																																																																																																0.000000	
 1 	 6											4.487421																								-1.002472																			-3.484949																																																																																																																																																0.000000	
 1 	 7											4.579006																								-1.008834																			-3.570172																																																																																																																																																0.000000	
 1 	 8											3.919760																								-0.962253																			-2.957507																																																																																																																																																0.000000	
 1 	 9											3.921286																								-0.963694																			-2.957591																																																																																																																																																0.000000	
 1 	 10											3.926734																								-0.969190																			-2.957544																																																																																																																																																0.000000	
 1 	 11											4.071189																								-0.973815																			-3.097375																																																																																																																																																0.000000	
 1 	 12											4.203949																								-0.977802																			-3.226148																																																																																																																																																0.000000	
 1 	 13											4.077929																								-0.980448																			-3.097481																																																																																																																																																0.000000	
 1 	 14											4.095489																								-0.981920																			-3.113568																																																																																																																																																0.000000	
 1 	 15											4.257132																								-0.982120																			-3.275012																																																																																																																																																0.000000	
 1 	 16											4.264561																								-0.983056																			-3.281505																																																																																																																																																0.000000	
 1 	 17											4.267296																								-0.985792																			-3.281504																																																																																																																																																0.000000	
 1 	 18											4.308249																								-1.026496																			-3.281754																																																																																																																																																0.000000	
 1 	 19											4.498448																								-1.159299																			-3.339148																																																																																																																																																0.000000	
 1 	 20											4.671733																								-1.199046																			-3.472687																																																																																																																																																0.000000	
 1 	 21											4.611697																								-1.162482																			-3.449215																																																																																																																																																0.000000	
 1 	 22											4.559782																								-1.126184																			-3.433598																																																																																																																																																0.000000	
 1 	 23											4.509858																								-1.085045																			-3.424813																																																																																																																																																0.000000	
 1 	 24											4.481324																								-1.064412																			-3.416913																																																																																																																																																0.000000	
 2 	 1											4.465602																								-1.508308																			-2.957294																																																																																																																																																0.000000	
 2 	 2											4.789574																								-1.507244																			-3.282329																																																																																																																																																0.000000	
 2 	 3											4.799434																								-1.512268																			-3.287166																																																																																																																																																0.000000	
 2 	 4											5.063781																								-1.510057																			-3.553725																																																																																																																																																0.000000	
 2 	 5											5.065023																								-1.509848																			-3.555175																																																																																																																																																0.000000	
 2 	 6											5.066982																								-1.510008																			-3.556973																																																																																																																																																0.000000	
 2 	 7											5.083004																								-1.512774																			-3.570229																																																																																																																																																0.000000	
 2 	 8											4.463518																								-1.506194																			-2.957324																																																																																																																																																0.000000	
 2 	 9											4.465744																								-1.508424																			-2.957319																																																																																																																																																0.000000	
 2 	 10											4.465303																								-1.507988																			-2.957316																																																																																																																																																0.000000	
 2 	 11											4.605355																								-1.507501																			-3.097854																																																																																																																																																0.000000	
 2 	 12											4.733990																								-1.507758																			-3.226232																																																																																																																																																0.000000	
 2 	 13											4.604828																								-1.506970																			-3.097859																																																																																																																																																0.000000	
 2 	 14											4.620819																								-1.506916																			-3.113903																																																																																																																																																0.000000	
 2 	 15											4.781719																								-1.507287																			-3.274432																																																																																																																																																0.000000	
 2 	 16											4.789893																								-1.507570																			-3.282323																																																																																																																																																0.000000	
 2 	 17											4.790157																								-1.507834																			-3.282323																																																																																																																																																0.000000	
 2 	 18											4.467227																								-1.509913																			-2.957313																																																																																																																																																0.000000	
 2 	 19											4.797849																								-1.515548																			-3.282301																																																																																																																																																0.000000	
 2 	 20											4.935295																								-1.647392																			-3.287904																																																																																																																																																0.000000	
 2 	 21											5.179824																								-1.634340																			-3.545484																																																																																																																																																0.000000	
 2 	 22											5.134004																								-1.582623																			-3.551381																																																																																																																																																0.000000	
 2 	 23											5.103258																								-1.551134																			-3.552124																																																																																																																																																0.000000	
 2 	 24											5.082985																								-1.530434																			-3.552551																																																																																																																																																0.000000	
 3 	 1											4.400559																								-1.443283																			-2.957276																																																																																																																																																0.000000	
 3 	 2											4.399488																								-1.442211																			-2.957277																																																																																																																																																0.000000	
 3 	 3											4.396923																								-1.439646																			-2.957277																																																																																																																																																0.000000	
 3 	 4											4.399849																								-1.442572																			-2.957277																																																																																																																																																0.000000	
 3 	 5											4.400647																								-1.443370																			-2.957277																																																																																																																																																0.000000	
 3 	 6											4.400042																								-1.442765																			-2.957277																																																																																																																																																0.000000	
 3 	 7											4.401784																								-1.444507																			-2.957277																																																																																																																																																0.000000	
 3 	 8											4.402096																								-1.444818																			-2.957277																																																																																																																																																0.000000	
 3 	 9											4.405186																								-1.447909																			-2.957277																																																																																																																																																0.000000	
 3 	 10											4.407090																								-1.449813																			-2.957277																																																																																																																																																0.000000	
 3 	 11											4.409410																								-1.452133																			-2.957278																																																																																																																																																0.000000	
 3 	 12											4.410552																								-1.453274																			-2.957278																																																																																																																																																0.000000	
 3 	 13											4.410373																								-1.453095																			-2.957278																																																																																																																																																0.000000	
 3 	 14											4.410742																								-1.453463																			-2.957278																																																																																																																																																0.000000	
 3 	 15											4.410912																								-1.453632																			-2.957279																																																																																																																																																0.000000	
 3 	 16											4.410563																								-1.453282																			-2.957281																																																																																																																																																0.000000	
 3 	 17											4.410583																								-1.453301																			-2.957282																																																																																																																																																0.000000	
 3 	 18											4.409644																								-1.452365																			-2.957280																																																																																																																																																0.000000	
 3 	 19											4.411681																								-1.454392																			-2.957289																																																																																																																																																0.000000	
