Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	PT_HEAT	ST_HEAT	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	BIOMASS_TO_POWER	PV_ROOFTOP	PV_UTILITY	PT_POWER_BLOCK	ST_POWER_BLOCK	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_DAM	HYDRO_RIVER	TIDAL	WAVE	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	COAL_STOVE	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	DEC_THHP_GAS_COLD	DEC_ELEC_COLD	IND_ELEC_COLD	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_GASOLINE	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	MOTORCYCLE	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	MOTORCYCLE_ELECTRIC	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_GASOLINE	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	EFFICIENCY	DHN	GRID	HVAC_LINE	PT_COLLECTOR	ST_COLLECTOR	H2_ELECTROLYSIS	SMR	H2_BIOMASS	GASIFICATION_SNG	SYN_METHANATION	BIOMETHANATION	BIO_HYDROLYSIS	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	SYN_METHANOLATION	AMMONIA_TO_H2	DAM_STORAGE_Pin	DAM_STORAGE_Pout	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_COAL_STOVE_Pin	TS_COAL_STOVE_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	PT_STORAGE_Pin	PT_STORAGE_Pout	ST_STORAGE_Pin	ST_STORAGE_Pout	TS_COLD_Pin	TS_COLD_Pout	CAES_Pin	CAES_Pout	END_USE	
 1 	 1			2.010103		0.617736																																																																															-0.312324																	-0.117950			-2.197446																																																																										-0.001195	0.001077																			0.000000	
 1 	 2			1.842873		0.597798																																																																															-0.125036																	-0.117950			-2.197446																																																																										-0.001311	0.001074																			0.000000	
 1 	 3			1.796735		0.581091																																																																															-0.062252																	-0.117950			-2.197446																																																																										-0.001276	0.001099																			0.000000	
 1 	 4			2.473742		0.591417																																																																															-0.750217																	-0.117950			-2.197446																																																																										-0.000929	0.001383																			0.000000	
 1 	 5			3.667706		0.648162																																																																															-2.000579																	-0.117950			-2.197446																																																																										-0.001124	0.001231																			0.000000	
 1 	 6			6.591410		0.725290																																																																															-5.001448																	-0.117950			-2.197446																																																																										-0.001101	0.001246																			0.000000	
 1 	 7			11.284280		0.720069																																																																															-9.688975																	-0.117950			-2.197446																																																																										-0.001161	0.001183																			0.000000	
 1 	 8			10.038810		0.715312																																																																															-8.438773																	-0.117950			-2.197446																																																																										-0.001146	0.001193																			0.000000	
 1 	 9			9.410716		0.718221																																																																															-7.813698																	-0.117950			-2.197446																																																																										-0.001089	0.001247																			0.000000	
 1 	 10			10.343491		0.723051																																																																															-8.751363																	-0.117950			-2.197446																																																																										-0.001052	0.001270																			0.000000	
 1 	 11			11.590474		0.726299																																																																															-10.001512																	-0.117950			-2.197446																																																																										-0.001102	0.001238																			0.000000	
 1 	 12			12.590520		0.726533																																																																															-11.001696																	-0.117950			-2.197446																																																																										-0.001154	0.001194																			0.000000	
 1 	 13			11.591033		0.725834																																																																															-10.001512																	-0.117950			-2.197446																																																																										-0.001154	0.001196																			0.000000	
 1 	 14			11.713993		0.727919																																																																															-10.126549																	-0.117950			-2.197446																																																																										-0.001159	0.001191																			0.000000	
 1 	 15			12.960135		0.732012																																																																															-11.376751																	-0.117950			-2.197446																																																																										-0.001175	0.001176																			0.000000	
 1 	 16			13.460356		0.731906																																																																															-11.876843																	-0.117950			-2.197446																																																																										-0.001187	0.001164																			0.000000	
 1 	 17			13.461522		0.730771																																																																															-11.876843																	-0.117950			-2.197446																																																																										-0.001200	0.001147																			0.000000	
 1 	 18			10.344757		0.722059																																																																															-8.751363																	-0.117950			-2.197446																																																																										-0.001191	0.001135																			0.000000	
 1 	 19			7.814768		0.751504																																																																															-6.250959																	-0.117950			-2.197446																																																																										-0.001124	0.001207																			0.000000	
 1 	 20			6.266887		0.735892																																																																															-4.687527																	-0.117950			-2.197446																																																																										-0.001102	0.001246																			0.000000	
 1 	 21			4.725202		0.713270																																																																															-3.123245																	-0.117950			-2.197446																																																																										-0.001091	0.001260																			0.000000	
 1 	 22			3.610995		0.705058																																																																															-2.000579																	-0.117950			-2.197446																																																																										-0.001209	0.001131																			0.000000	
 1 	 23			2.882248		0.683629																																																																															-1.250362																	-0.117950			-2.197446																																																																										-0.001232	0.001114																			0.000000	
 1 	 24			2.162891		0.652878																																																																															-0.500145																	-0.117950			-2.197446																																																																										-0.001298	0.001070																			0.000000	
 2 	 1			2.298368		0.329397																																																																															-0.312324																	-0.117950			-2.197446																																																																										-0.001165	0.001120																			0.000000	
 2 	 2			2.100830		0.339825																																																																															-0.125036																	-0.117950			-2.197446																																																																										-0.001292	0.001070																			0.000000	
 2 	 3			2.052300		0.325651																																																																															-0.062252																	-0.117950			-2.197446																																																																										-0.001352	0.001050																			0.000000	
 2 	 4			2.758470		0.306975																																																																															-0.750217																	-0.117950			-2.197446																																																																										-0.001013	0.001182																			0.000000	
 2 	 5			4.001554		0.314342																																																																															-2.000579																	-0.117950			-2.197446																																																																										-0.001132	0.001212																			0.000000	
 2 	 6			7.004491		0.312351																																																																															-5.001448																	-0.117950			-2.197446																																																																										-0.001173	0.001176																			0.000000	
 2 	 7			11.689828		0.314713																																																																															-9.688975																	-0.117950			-2.197446																																																																										-0.001260	0.001090																			0.000000	
 2 	 8			10.440095		0.314187																																																																															-8.438773																	-0.117950			-2.197446																																																																										-0.001234	0.001121																			0.000000	
 2 	 9			9.816282		0.312813																																																																															-7.813698																	-0.117950			-2.197446																																																																										-0.001167	0.001166																			0.000000	
 2 	 10			10.757872		0.308515																																																																															-8.751363																	-0.117950			-2.197446																																																																										-0.000951	0.001323																			0.000000	
 2 	 11			12.003136		0.313584																																																																															-10.001512																	-0.117950			-2.197446																																																																										-0.001067	0.001255																			0.000000	
 2 	 12			12.999370		0.317685																																																																															-11.001696																	-0.117950			-2.197446																																																																										-0.001150	0.001187																			0.000000	
 2 	 13			11.997076		0.319838																																																																															-10.001512																	-0.117950			-2.197446																																																																										-0.001174	0.001169																			0.000000	
 2 	 14			12.122218		0.319720																																																																															-10.126549																	-0.117950			-2.197446																																																																										-0.001168	0.001174																			0.000000	
 2 	 15			13.372966		0.319188																																																																															-11.376751																	-0.117950			-2.197446																																																																										-0.001175	0.001168																			0.000000	
 2 	 16			13.871131		0.321157																																																																															-11.876843																	-0.117950			-2.197446																																																																										-0.001197	0.001148																			0.000000	
