Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	PT_HEAT	ST_HEAT	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	BIOMASS_TO_POWER	PV_ROOFTOP	PV_UTILITY	PT_POWER_BLOCK	ST_POWER_BLOCK	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_DAM	HYDRO_RIVER	TIDAL	WAVE	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	COAL_STOVE	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	DEC_THHP_GAS_COLD	DEC_ELEC_COLD	IND_ELEC_COLD	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_GASOLINE	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	MOTORCYCLE	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	MOTORCYCLE_ELECTRIC	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_GASOLINE	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	EFFICIENCY	DHN	GRID	HVAC_LINE	PT_COLLECTOR	ST_COLLECTOR	H2_ELECTROLYSIS	SMR	H2_BIOMASS	GASIFICATION_SNG	SYN_METHANATION	BIOMETHANATION	BIO_HYDROLYSIS	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	SYN_METHANOLATION	AMMONIA_TO_H2	DAM_STORAGE_Pin	DAM_STORAGE_Pout	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_COAL_STOVE_Pin	TS_COAL_STOVE_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	PT_STORAGE_Pin	PT_STORAGE_Pout	ST_STORAGE_Pin	ST_STORAGE_Pout	TS_COLD_Pin	TS_COLD_Pout	CAES_Pin	CAES_Pout	END_USE	
 1 	 1	0.000000																			0.000000												2.429996			0.320851	0.117513	0.000000				0.000789		2.509621	1.165402				0.382598								-0.000000			0.016234												0.000000								-0.000000		-0.123729	-0.015745							-0.000000											-0.180294										-0.000000	-0.054237				-0.000000	0.000000							-0.000000									-0.000000	-0.000000	-0.000000		-2.509621	4.466790			-0.000000	0.000000																																																							-0.000001	0.000000	-8.526167	
 1 	 2	0.000000																			0.000000												2.429994			0.319167	0.117163	0.000000				0.000794		2.509621	1.165402				0.382598								-0.000000			0.016234												0.000000								-0.000000		-0.119435	-0.015745							-0.000000											-0.180294										-0.000000	-0.054237				-0.000000	0.000000							-0.000000									-0.000000	-0.000000	-0.000000		-2.509621	4.166326			-0.000000	0.000000																																																							-0.000001	0.000000	-8.227966	
 1 	 3	0.000000																			-0.000000												2.429990			0.334204	0.123061	0.000000				0.000871		2.509621	1.165402				0.382597								-0.000000			0.109155												0.000000								-0.000000		-0.115142	-0.015745							-0.000000											-0.180294										-0.000000	-0.054237				-0.000000	0.000000							-0.000000									-0.000000	-0.000000	-0.000000		-2.509621	3.813631			-0.000000	0.000000																																																							-0.000001	0.000000	-7.993491	
 1 	 4	0.000000																			0.000000												1.176742			0.318624	0.116504	0.000000				0.000906		2.509621	1.165402				0.382596								-0.000000			0.272284												0.000000								-0.000000		-0.112214	-0.015745							-0.000000											-0.180294										-0.000000	-0.054237				-0.000000	0.000000							-0.000000									-0.000000	-0.000000	-0.000000		-2.509621	4.715994			-0.000000	0.000000																																																							-0.000001	0.000000	-7.786560	
 1 	 5	0.000000																			0.000000												0.000005			0.322127	0.116757	0.000000				0.001030		2.509621	1.165402				0.382590								-0.000000			0.297568												0.000000								-0.000000		-0.111824	-0.015745							-0.000000											-0.180294										-0.000000	-0.054237				-0.000000	0.000000							-0.000000									-0.000000	-0.000000	-0.000000		-2.509621	5.735279			-0.000000	0.000000																																																							-0.000001	0.000000	-7.658658	
 1 	 6	0.000000																			-0.000000												0.000003			0.321756	0.116537	0.000000				0.001153		2.509621	1.165402				0.215845								-0.000000			0.317582												0.000000								-0.000000		-0.110263	-0.015745							-0.000000											-0.180294										-0.000000	-0.054237				-0.000000	0.000000							-0.000000									-0.000000	-0.000000	-0.000000		-2.509621	5.860553			-0.000000	0.000000																																																							-0.000001	0.000000	-7.638291	
 1 	 7	0.000000																			0.000000												0.000002			0.321755	0.116357	0.020796				0.001003		2.509621	1.165402				0.158945								-0.000000			0.299630												0.000000								-0.000000		-0.112410	-0.015745							-0.000000											-0.180294										-0.000000	-0.054237				-0.000000	0.000000							-0.000000									-0.000000	-0.000000	-0.000000		-2.509621	5.941429			-0.000000	0.000000																																																							-0.000001	0.000000	-7.662632	
 1 	 8	0.000000																			0.000000												2.374946			0.316502	0.116209	0.069061				0.001149		2.509621	1.165402				0.382594								-0.000000			0.016234												0.000000								-0.000000		-0.143830	-0.015745							-0.000000											-0.180294										-0.000000	-0.054237				-0.000000	0.000000							-0.000000									-0.000000	-0.000000	-0.000000		-2.509621	3.756856			-0.000000	0.000000																																																							-0.000001	0.000000	-7.804847	
 1 	 9	0.000000																			0.000000												2.381812			0.316935	0.116298	0.112358				0.001538		2.509621	1.165402				0.382594								-0.000000			0.016234												0.000000								-0.000000		-0.191057	-0.015745							-0.000000											-0.180294										-0.000000	-0.054237				-0.000000	0.000000							-0.000000									-0.000000	-0.000000	-0.000000		-2.509621	3.780066			-0.000000	0.000000																																																							-0.000001	0.000000	-7.831903	
 1 	 10	0.000000																			0.000000												2.371254			0.317788	0.116299	0.140749				0.001613		2.509621	1.165402				0.382594								-0.000000			0.016234												0.000000								-0.000000		-0.234951	-0.015745							-0.000000											-0.180294										-0.000000	-0.054237				-0.000000	0.000000							-0.000000									-0.000000	-0.000000	-0.000000		-2.509621	4.099703			-0.000000	0.000000																																																							-0.000001	0.000000	-8.126407	
 1 	 11	0.000000																			0.000000												2.348266			0.318927	0.116328	0.156648				0.001457		2.509621	1.165402				0.382595								-0.000000			0.016234												0.000000								-0.000000		-0.266540	-0.015745							-0.000000											-0.180294										-0.000000	-0.054237				-0.000000	0.000000							-0.000000									-0.000000	-0.000000	-0.000000		-2.509621	4.462085			-0.000000	0.000000																																																							-0.000001	0.000000	-8.451124	
 1 	 12	0.000000																			-0.000000												2.320823			0.320261	0.116441	0.163391				0.001189		2.509621	1.165402				0.382595								-0.000000			0.016234												0.000000								-0.000000		-0.281525	-0.015745							-0.000000											-0.180294										-0.000000	-0.054237				-0.000000	0.000000							-0.000000									-0.000000	-0.000000	-0.000000		-2.509621	4.771149			-0.000000	0.000000																																																							-0.000001	0.000000	-8.725682	
