Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	PT_HEAT	ST_HEAT	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	BIOMASS_TO_POWER	PV_ROOFTOP	PV_UTILITY	PT_POWER_BLOCK	ST_POWER_BLOCK	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_DAM	HYDRO_RIVER	TIDAL	WAVE	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	COAL_STOVE	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	DEC_THHP_GAS_COLD	DEC_ELEC_COLD	IND_ELEC_COLD	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_GASOLINE	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	MOTORCYCLE	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	MOTORCYCLE_ELECTRIC	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_GASOLINE	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	EFFICIENCY	DHN	GRID	HVAC_LINE	PT_COLLECTOR	ST_COLLECTOR	H2_ELECTROLYSIS	SMR	H2_BIOMASS	GASIFICATION_SNG	SYN_METHANATION	BIOMETHANATION	BIO_HYDROLYSIS	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	SYN_METHANOLATION	AMMONIA_TO_H2	DAM_STORAGE_Pin	DAM_STORAGE_Pout	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_COAL_STOVE_Pin	TS_COAL_STOVE_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	PT_STORAGE_Pin	PT_STORAGE_Pout	ST_STORAGE_Pin	ST_STORAGE_Pout	TS_COLD_Pin	TS_COLD_Pout	CAES_Pin	CAES_Pout	END_USE	
 1 	 1							8.716162	0.000000																								-5.783368																-0.877816			-0.287526																		-0.000000					-1.381629																			-0.035452																															-0.000000			0.000000																																															-0.350391	0.000021																							0.000000	
 1 	 2							8.716162	0.000000																								-5.783358																-0.877809			-0.287514																		-0.000000					-1.402946																			-0.014193																															-0.000000			0.000000																																															-0.350369	0.000027																							0.000000	
 1 	 3							8.716162	0.000000																								-5.783336																-0.877796			-0.287483																		-0.000000					-1.410237																			-0.007066																															-0.000000			0.000000																																															-0.350281	0.000037																							0.000000	
 1 	 4							8.716162	0.000000																								-5.782702																-0.877767			-0.111208																		-0.000000					-1.858650																			-0.085158																															-0.000000			0.000000																																															-0.000743	0.000067																							0.000000	
 1 	 5							8.716162	0.000000																								-0.000117																-0.877495			-0.000181																		-0.000000					-7.611480																			-0.227089																															-0.000000			0.000000																																															-0.000106	0.000306																							0.000000	
 1 	 6							8.716162	0.000000																								-0.000090																-0.516574			-0.000119																		-0.000000					-8.486610																			-0.567722																															-0.000000			0.000000																																															-0.000080	0.855033																							0.000000	
 1 	 7							8.716162	0.000000																								-0.000041																-0.000502			-0.180770																		-0.000000					-8.486193																			-1.099811																															-0.000000			0.000000																																															-0.000016	1.051172																							0.000000	
 1 	 8							8.716162	0.000000																								-5.783178																-0.877760			-0.287388																		-0.000000					-0.756544																			-0.957899																															-0.000000			0.000000																																															-0.053478	0.000084																							0.000000	
 1 	 9							8.716162	0.000000																								-5.783185																-0.877756			-0.287314																		-0.000000					-0.756422																			-0.886946																															-0.000000			0.000000																																															-0.124627	0.000087																							0.000000	
 1 	 10							8.716162	0.000000																								-5.783152																-0.877764			-0.287351																		-0.000000					-0.756547																			-0.993381																															-0.000000			0.000000																																															-0.018044	0.000078																							0.000000	
 1 	 11							8.716162	0.000000																								-5.782799																-0.877735			-0.163702																		-0.000000					-0.756361																			-1.135288																															-0.000000			0.000000																																															-0.000385	0.000109																							0.000000	
 1 	 12							8.716162	0.000000																								-5.782652																-0.877742			-0.049815																		-0.000000					-0.756496																			-1.248820																															-0.000000			0.000000																																															-0.000738	0.000101																							0.000000	
 1 	 13							8.716162	0.000000																								-5.782804																-0.877735			-0.163608																		-0.000000					-0.756437																			-1.135288																															-0.000000			0.000000																																															-0.000398	0.000109																							0.000000	
 1 	 14							8.716162	0.000000																								-5.782804																-0.877737			-0.149380																		-0.000000					-0.756438																			-1.149481																															-0.000000			0.000000																																															-0.000431	0.000108																							0.000000	
 1 	 15							8.716162	0.000000																								-5.783396																-0.877764			-0.006589																		-0.000000					-0.756533																			-1.291393																															-0.000000			0.000000																																															-0.000569	0.000082																							0.000000	
 1 	 16							8.716162	0.000000																								-5.733017																-0.877675			-0.000891																		-0.000000					-0.756404																			-1.348160																															-0.000000			0.000000																																															-0.000187	0.000172																							0.000000	
 1 	 17							8.716162	0.000000																								-5.732922																-0.877692			-0.000884																		-0.000000					-0.756451																			-1.348160																															-0.000000			0.000000																																															-0.000203	0.000149																							0.000000	
 1 	 18							8.716162	0.000000																								-2.454343																-0.877728			-0.000645																		-0.000000					-4.389926																			-0.993381																															-0.000000			0.000000																																															-0.000228	0.000089																							0.000000	
 1 	 19							8.716162	0.000000																								-0.000073																-0.776475			-0.000119																		-0.000000					-7.308895																			-0.709556																															-0.000000			0.000000																																															-0.000082	0.079039																							0.000000	
 1 	 20							8.716162	0.000000																								-0.000079																-0.538428			-0.000119																		-0.000000					-8.486627																			-0.532089																															-0.000000			0.000000																																															-0.000083	0.841262																							0.000000	
 1 	 21							8.716162	0.000000																								-0.000093																-0.580268			-0.000119																		-0.000000					-8.486688																			-0.354525																															-0.000000			0.000000																																															-0.000087	0.705617																							0.000000	
 1 	 22							8.716162	0.000000																								-0.000100																-0.608106			-0.000120																		-0.000000					-8.486695																			-0.227089																															-0.000000			0.000000																																															-0.000089	0.606037																							0.000000	
 1 	 23							8.716162	0.000000																								-0.000105																-0.623764			-0.000120																		-0.000000					-8.486697																			-0.141931																															-0.000000			0.000000																																															-0.000089	0.536544																							0.000000	
 1 	 24							8.716162	0.000000																								-0.000105																-0.637847			-0.000120																		-0.000000					-8.486700																			-0.056772																															-0.000000			0.000000																																															-0.000089	0.465472																							0.000000	
 2 	 1							8.716162	0.000000																								-5.783386																-0.877836			-0.287536																		-0.000000					-1.381548																			-0.035452																															-0.000000			0.000000																																															-0.350407	0.000004																							0.000000	
 2 	 2							8.716162	0.000000																								-5.531494																-0.877831			-0.000085																		-0.000000					-2.292547																			-0.014193																															-0.000000			0.000000																																															-0.000019	0.000007																							0.000000	
 2 	 3							8.716162	0.000000																								-0.000010																-0.869358			-0.000012																		-0.000000					-7.847760																			-0.007066																															-0.000000			0.000000																																															-0.000006	0.008050																							0.000000	
 2 	 4							8.716162	0.000000																								-0.000009																-0.394190			-0.000012																		-0.000000					-8.486714																			-0.085158																															-0.000000			0.000000																																															-0.000006	0.249928																							0.000000	
