Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	PT_HEAT	ST_HEAT	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	BIOMASS_TO_POWER	PV_ROOFTOP	PV_UTILITY	PT_POWER_BLOCK	ST_POWER_BLOCK	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_DAM	HYDRO_RIVER	TIDAL	WAVE	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	COAL_STOVE	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	DEC_THHP_GAS_COLD	DEC_ELEC_COLD	IND_ELEC_COLD	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_GASOLINE	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	MOTORCYCLE	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	MOTORCYCLE_ELECTRIC	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_GASOLINE	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	EFFICIENCY	DHN	GRID	HVAC_LINE	PT_COLLECTOR	ST_COLLECTOR	H2_ELECTROLYSIS	SMR	H2_BIOMASS	GASIFICATION_SNG	SYN_METHANATION	BIOMETHANATION	BIO_HYDROLYSIS	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	SYN_METHANOLATION	AMMONIA_TO_H2	DAM_STORAGE_Pin	DAM_STORAGE_Pout	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_COAL_STOVE_Pin	TS_COAL_STOVE_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	PT_STORAGE_Pin	PT_STORAGE_Pout	ST_STORAGE_Pin	ST_STORAGE_Pout	TS_COLD_Pin	TS_COLD_Pout	CAES_Pin	CAES_Pout	END_USE	
 1 	 1		1.577415		1.025210																																																																																	-0.129722					-0.047588	-0.112434														-2.312462																																																																											-0.001813	0.001394																	0.000000	
 1 	 2		1.457477		0.971436																																																																																	-0.051933					-0.019051	-0.045012														-2.312462																																																																											-0.001866	0.001411																	0.000000	
 1 	 3		1.425121		0.945465																																																																																	-0.025856					-0.009485	-0.022410														-2.312462																																																																											-0.001825	0.001453																	0.000000	
 1 	 4		1.924875		1.082561																																																																																	-0.311598					-0.114307	-0.270071														-2.312462																																																																											-0.001131	0.002134																	0.000000	
 1 	 5		2.862151		1.305828																																																																																	-0.830928					-0.304820	-0.720191														-2.312462																																																																											-0.001450	0.001871																	0.000000	
 1 	 6		5.265895		1.685935																																																																																	-2.077319					-0.762049	-1.800476														-2.312462																																																																											-0.001397	0.001874																	0.000000	
 1 	 7		9.486383		1.814337																																																																																	-4.024253					-1.476267	-3.487944														-2.312462																																																																											-0.001532	0.001739																	0.000000	
 1 	 8		8.366795		1.774017																																																																																	-3.504990					-1.285779	-3.037883														-2.312462																																																																											-0.001491	0.001793																	0.000000	
 1 	 9		7.822800		1.738241																																																																																	-3.245369					-1.190539	-2.812861														-2.312462																																																																											-0.001549	0.001740																	0.000000	
 1 	 10		8.661837		1.768922																																																																																	-3.634822					-1.333407	-3.150412														-2.312462																																																																											-0.001462	0.001808																	0.000000	
 1 	 11		9.772703		1.817932																																																																																	-4.154064					-1.523887	-3.600455														-2.312462																																																																											-0.001535	0.001768																	0.000000	
 1 	 12		10.667830		1.850769																																																																																	-4.569483					-1.676281	-3.960512														-2.312462																																																																											-0.001590	0.001729																	0.000000	
 1 	 13		9.767522		1.823166																																																																																	-4.154064					-1.523887	-3.600455														-2.312462																																																																											-0.001568	0.001748																	0.000000	
 1 	 14		9.876235		1.830414																																																																																	-4.205997					-1.542938	-3.645467														-2.312462																																																																											-0.001549	0.001764																	0.000000	
 1 	 15		10.996448		1.870074																																																																																	-4.725260					-1.733426	-4.095528														-2.312462																																																																											-0.001533	0.001689																	0.000000	
 1 	 16		11.450404		1.880121																																																																																	-4.932970					-1.809623	-4.275557														-2.312462																																																																											-0.001561	0.001648																	0.000000	
 1 	 17		11.458749		1.871962																																																																																	-4.932970					-1.809623	-4.275557														-2.312462																																																																											-0.001634	0.001536																	0.000000	
 1 	 18		8.648580		1.782331																																																																																	-3.634822					-1.333407	-3.150412														-2.312462																																																																											-0.001554	0.001746																	0.000000	
 1 	 19		6.320141		1.791076																																																																																	-2.596295					-0.952431	-2.250289														-2.312462																																																																											-0.001518	0.001779																	0.000000	
 1 	 20		4.991168		1.669661																																																																																	-1.946934					-0.714218	-1.687468														-2.312462																																																																											-0.001531	0.001785																	0.000000	
 1 	 21		3.703290		1.506346																																																																																	-1.297220					-0.475875	-1.124340														-2.312462																																																																											-0.001529	0.001791																	0.000000	
 1 	 22		2.823737		1.345014																																																																																	-0.830928					-0.304820	-0.720191														-2.312462																																																																											-0.001808	0.001457																	0.000000	
 1 	 23		2.243675		1.229138																																																																																	-0.519330					-0.190512	-0.450119														-2.312462																																																																											-0.001829	0.001439																	0.000000	
 1 	 24		1.718893		1.057469																																																																																	-0.207732					-0.076205	-0.180048														-2.312462																																																																											-0.001545	0.001630																	0.000000	
 2 	 1		1.958295		0.643896																																																																																	-0.129722					-0.047588	-0.112434														-2.312462																																																																											-0.001621	0.001636																	0.000000	
 2 	 2		1.807963		0.620862																																																																																	-0.051933					-0.019051	-0.045012														-2.312462																																																																											-0.001778	0.001412																	0.000000	
 2 	 3		1.788602		0.582003																																																																																	-0.025856					-0.009485	-0.022410														-2.312462																																																																											-0.001798	0.001407																	0.000000	
 2 	 4		2.299625		0.708066																																																																																	-0.311598					-0.114307	-0.270071														-2.312462																																																																											-0.001168	0.001916																	0.000000	
 2 	 5		3.392621		0.775203																																																																																	-0.830928					-0.304820	-0.720191														-2.312462																																																																											-0.001343	0.001918																	0.000000	
 2 	 6		6.084757		0.867527																																																																																	-2.077319					-0.762049	-1.800476														-2.312462																																																																											-0.001642	0.001664																	0.000000	
 2 	 7		10.387924		0.913524																																																																																	-4.024253					-1.476267	-3.487944														-2.312462																																																																											-0.001925	0.001405																	0.000000	
 2 	 8		9.221403		0.919869																																																																																	-3.504990					-1.285779	-3.037883														-2.312462																																																																											-0.001709	0.001552																	0.000000	
 2 	 9		8.655644		0.905732																																																																																	-3.245369					-1.190539	-2.812861														-2.312462																																																																											-0.001731	0.001587																	0.000000	
 2 	 10		9.519738		0.910656																																																																																	-3.634822					-1.333407	-3.150412														-2.312462																																																																											-0.001222	0.001933																	0.000000	
 2 	 11		10.672564		0.917841																																																																																	-4.154064					-1.523887	-3.600455														-2.312462																																																																											-0.001400	0.001862																	0.000000	
 2 	 12		11.591244		0.927376																																																																																	-4.569483					-1.676281	-3.960512														-2.312462																																																																											-0.001599	0.001717																	0.000000	
