Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	GAS_RE	WOOD	WET_BIOMASS	IMPORTED_COAL	LOCAL_COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	PT_HEAT	ST_HEAT	NUCLEAR	CCGT	CCGT_AMMONIA	IMPORTED_COAL_CENTRAL	LOCAL_COAL_CENTRAL	BIOMASS_TO_POWER	PV_ROOFTOP	PV_UTILITY	PT_POWER_BLOCK	ST_POWER_BLOCK	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_DAM	HYDRO_RIVER	TIDAL	WAVE	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	COAL_STOVE	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	DEC_THHP_GAS_COLD	DEC_ELEC_COLD	IND_ELEC_COLD	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_GASOLINE	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	MOTORCYCLE	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	MOTORCYCLE_ELECTRIC	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_GASOLINE	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	EFFICIENCY	DHN	GRID	HVAC_LINE	PT_COLLECTOR	ST_COLLECTOR	H2_ELECTROLYSIS	SMR	H2_BIOMASS	GASIFICATION_SNG	SYN_METHANATION	BIOMETHANATION	BIO_HYDROLYSIS	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	SYN_METHANOLATION	AMMONIA_TO_H2	DAM_STORAGE_Pin	DAM_STORAGE_Pout	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_COAL_STOVE_Pin	TS_COAL_STOVE_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	PT_STORAGE_Pin	PT_STORAGE_Pout	ST_STORAGE_Pin	ST_STORAGE_Pout	TS_COLD_Pin	TS_COLD_Pout	CAES_Pin	CAES_Pout	END_USE	
 1 	 1																																																	0.399997			0.236647			2.429576		0.000000																																																							-0.044084												-0.000000												-0.000000																																					-0.000025	0.000024																									-3.022135	
 1 	 2																																																	0.399995			0.236645			2.429579		0.000000																																																							-0.044084												-0.000000												-0.000000																																					-0.000025	0.000024																									-3.022135	
 1 	 3																																																	0.399993			0.236643			2.429583		0.000000																																																							-0.044084												-0.000000												-0.000000																																					-0.000025	0.000024																									-3.022135	
 1 	 4																																																	0.399983			0.236626			2.429611		0.000000																																																							-0.044084												-0.000000												-0.000000																																					-0.000026	0.000023																									-3.022135	
 1 	 5																																																	0.356170			0.065308			2.644744		0.000000																																																							-0.044084												-0.000000												-0.000000																																					-0.000026	0.000023																									-3.022135	
 1 	 6																																																	0.235127			0.035260			2.795842		0.000000																																																							-0.044084												-0.000000												-0.000000																																					-0.000030	0.000019																									-3.022135	
 1 	 7																																																	0.000006			0.166201			2.899977		0.000000																																																							-0.044084												-0.000000												-0.000000																																					-0.000011	0.000045																									-3.022135	
 1 	 8																																																	0.399989			0.236635			2.429603		0.000000																																																							-0.044084												-0.000000												-0.000000																																					-0.000029	0.000021																									-3.022135	
 1 	 9																																																	0.399971			0.236600			2.429652		0.000000																																																							-0.044084												-0.000000												-0.000000																																					-0.000027	0.000022																									-3.022135	
 1 	 10																																																	0.399976			0.236620			2.429624		0.000000																																																							-0.044084												-0.000000												-0.000000																																					-0.000025	0.000024																									-3.022135	
 1 	 11																																																	0.393822			0.188911			2.483486		0.000000																																																							-0.044084												-0.000000												-0.000000																																					-0.000025	0.000024																									-3.022135	
 1 	 12																																																	0.388357			0.122889			2.554973		0.000000																																																							-0.044084												-0.000000												-0.000000																																					-0.000025	0.000024																									-3.022135	
 1 	 13																																																	0.392361			0.180728			2.493130		0.000000																																																							-0.044084												-0.000000												-0.000000																																					-0.000025	0.000024																									-3.022135	
 1 	 14																																																	0.391742			0.172803			2.501673		0.000000																																																							-0.044084												-0.000000												-0.000000																																					-0.000024	0.000025																									-3.022135	
 1 	 15																																																	0.386548			0.100832			2.578839		0.000000																																																							-0.044084												-0.000000												-0.000000																																					-0.000025	0.000024																									-3.022135	
 1 	 16																																																	0.383986			0.084730			2.597502		0.000000																																																							-0.044084												-0.000000												-0.000000																																					-0.000024	0.000025																									-3.022135	
 1 	 17																																																	0.383704			0.081324			2.601190		0.000000																																																							-0.044084												-0.000000												-0.000000																																					-0.000024	0.000025																									-3.022135	
 1 	 18																																																	0.360367			0.024519			2.681330		0.000000																																																							-0.044084												-0.000000												-0.000000																																					-0.000024	0.000025																									-3.022135	
 1 	 19																																																	0.169142			0.058022			2.839058		0.000000																																																							-0.044084												-0.000000												-0.000000																																					-0.000026	0.000023																									-3.022135	
 1 	 20																																																	0.248020			0.034475			2.783723		0.000000																																																							-0.044084												-0.000000												-0.000000																																					-0.000025	0.000024																									-3.022135	
 1 	 21																																																	0.298194			0.036118			2.731906		0.000000																																																							-0.044084												-0.000000												-0.000000																																					-0.000024	0.000025																									-3.022135	
 1 	 22																																																	0.324229			0.040089			2.701900		0.000000																																																							-0.044084												-0.000000												-0.000000																																					-0.000024	0.000025																									-3.022135	
 1 	 23																																																	0.332337			0.043887			2.689994		0.000000																																																							-0.044084												-0.000000												-0.000000																																					-0.000024	0.000025																									-3.022135	
 1 	 24																																																	0.337082			0.048497			2.680638		0.000000																																																							-0.044084												-0.000000												-0.000000																																					-0.000024	0.000025																									-3.022135	
 2 	 1																																																	0.399997			0.236651			2.429570		0.000000																																																							-0.044084												-0.000000												-0.000000																																					-0.000024	0.000025																									-3.022135	
 2 	 2																																																	0.399993			0.236646			2.429579		0.000000																																																							-0.044084												-0.000000												-0.000000																																					-0.000025	0.000024																									-3.022135	
 2 	 3																																																	0.332018			0.019165			2.715038		0.000000																																																							-0.044084												-0.000000												-0.000000																																					-0.000026	0.000024																									-3.022135	
 2 	 4																																																	0.331756			0.015581			2.718885		0.000000																																																							-0.044084												-0.000000												-0.000000																																					-0.000026	0.000023																									-3.022135	
 2 	 5																																																	0.315406			0.014948			2.735871		0.000000																																																							-0.044084												-0.000000												-0.000000																																					-0.000028	0.000021																									-3.022135	
 2 	 6																																																	0.213103			0.014899			2.838241		0.000000																																																							-0.044084												-0.000000												-0.000000																																					-0.000039	0.000014																									-3.022135	
 2 	 7																																																	0.000007			0.166153			2.899994		0.000000																																																							-0.044084												-0.000000												-0.000000																																					-0.000002	0.000067																									-3.022135	
 2 	 8																																																	0.399997			0.236650			2.429585		0.000000																																																							-0.044084												-0.000000												-0.000000																																					-0.000032	0.000019																									-3.022135	
 2 	 9																																																	0.399993			0.236644			2.429588		0.000000																																																							-0.044084												-0.000000												-0.000000																																					-0.000028	0.000021																									-3.022135	
 2 	 10																																																	0.399993			0.236648			2.429581		0.000000																																																							-0.044084												-0.000000												-0.000000																																					-0.000026	0.000023																									-3.022135	
 2 	 11																																																	0.395710			0.168925			2.501585		0.000000																																																							-0.044084												-0.000000												-0.000000																																					-0.000025	0.000024																									-3.022135	
