Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	GAS_RE	WOOD	WET_BIOMASS	IMPORTED_COAL	LOCAL_COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	PT_HEAT	ST_HEAT	NUCLEAR	CCGT	CCGT_AMMONIA	IMPORTED_COAL_CENTRAL	LOCAL_COAL_CENTRAL	BIOMASS_TO_POWER	PV_ROOFTOP	PV_UTILITY	PT_POWER_BLOCK	ST_POWER_BLOCK	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_DAM	HYDRO_RIVER	TIDAL	WAVE	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	COAL_STOVE	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	DEC_THHP_GAS_COLD	DEC_ELEC_COLD	IND_ELEC_COLD	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_GASOLINE	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	MOTORCYCLE	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	MOTORCYCLE_ELECTRIC	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_GASOLINE	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	EFFICIENCY	DHN	GRID	HVAC_LINE	PT_COLLECTOR	ST_COLLECTOR	H2_ELECTROLYSIS	SMR	H2_BIOMASS	GASIFICATION_SNG	SYN_METHANATION	BIOMETHANATION	BIO_HYDROLYSIS	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	SYN_METHANOLATION	AMMONIA_TO_H2	DAM_STORAGE_Pin	DAM_STORAGE_Pout	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_COAL_STOVE_Pin	TS_COAL_STOVE_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	PT_STORAGE_Pin	PT_STORAGE_Pout	ST_STORAGE_Pin	ST_STORAGE_Pout	TS_COLD_Pin	TS_COLD_Pout	CAES_Pin	CAES_Pout	END_USE	
 1 	 1									0.500918																												-0.404246																							-0.096658																-0.000014																																									-0.000000									-0.000000																																																																									0.000000	
 1 	 2									0.503032																												-0.406355																							-0.096658																-0.000019																																									-0.000000									-0.000000																																																																									0.000000	
 1 	 3									1.016718																												-0.405416																							-0.611275																-0.000028																																									-0.000000									-0.000000																																																																									0.000000	
 1 	 4									1.920281																												-0.405512																							-1.514715																-0.000053																																									-0.000000									-0.000000																																																																									0.000000	
 1 	 5									4.549866																												-0.406311																							-1.654744																-2.488811																																									-0.000000									-0.000000																																																																									0.000000	
 1 	 6									8.556183																												-0.407641																							-1.765585																-6.382957																																									-0.000000									-0.000000																																																																									0.000000	
 1 	 7									8.457459																												-0.408327																							-1.666163																-6.382969																																									-0.000000									-0.000000																																																																									0.000000	
 1 	 8									1.283505																												-0.406672																							-0.096658																-0.780176																																									-0.000000									-0.000000																																																																									0.000000	
 1 	 9									1.283828																												-0.407021																							-0.096658																-0.780149																																									-0.000000									-0.000000																																																																									0.000000	
 1 	 10									1.283983																												-0.407173																							-0.096658																-0.780152																																									-0.000000									-0.000000																																																																									0.000000	
 1 	 11									1.284036																												-0.407225																							-0.096658																-0.780153																																									-0.000000									-0.000000																																																																									0.000000	
 1 	 12									1.284090																												-0.407279																							-0.096658																-0.780153																																									-0.000000									-0.000000																																																																									0.000000	
 1 	 13									3.169345																												-0.407273																							-0.096658																-2.665414																																									-0.000000									-0.000000																																																																									0.000000	
 1 	 14									6.886864																												-0.407252																							-0.096658																-6.382955																																									-0.000000									-0.000000																																																																									0.000000	
 1 	 15									6.886917																												-0.407292																							-0.096658																-6.382967																																									-0.000000									-0.000000																																																																									0.000000	
 1 	 16									6.886791																												-0.407162																							-0.096658																-6.382971																																									-0.000000									-0.000000																																																																									0.000000	
 1 	 17									6.886762																												-0.407131																							-0.096658																-6.382974																																									-0.000000									-0.000000																																																																									0.000000	
 1 	 18									6.887757																												-0.408124																							-0.096658																-6.382975																																									-0.000000									-0.000000																																																																									0.000000	
 1 	 19									6.891116																												-0.411482																							-0.096658																-6.382976																																									-0.000000									-0.000000																																																																									0.000000	
 1 	 20									6.890463																												-0.410829																							-0.096658																-6.382976																																									-0.000000									-0.000000																																																																									0.000000	
 1 	 21									6.888828																												-0.409194																							-0.096658																-6.382977																																									-0.000000									-0.000000																																																																									0.000000	
 1 	 22									6.888360																												-0.408726																							-0.096658																-6.382977																																									-0.000000									-0.000000																																																																									0.000000	
 1 	 23									7.741483																												-0.407493																							-0.951014																-6.382977																																									-0.000000									-0.000000																																																																									0.000000	
 1 	 24									7.838375																												-0.407149																							-1.048249																-6.382977																																									-0.000000									-0.000000																																																																									0.000000	
 2 	 1									1.373306																												-0.465117																							-0.908178																-0.000011																																									-0.000000									-0.000000																																																																									0.000000	
 2 	 2									1.436802																												-0.465007																							-0.971775																-0.000021																																									-0.000000									-0.000000																																																																									0.000000	
 2 	 3									5.394499																												-0.465490																							-1.036949																-3.892060																																									-0.000000									-0.000000																																																																									0.000000	
 2 	 4									8.415517																												-0.465452																							-1.567097																-6.382969																																									-0.000000									-0.000000																																																																									0.000000	
 2 	 5									8.464876																												-0.465644																							-1.616257																-6.382975																																									-0.000000									-0.000000																																																																									0.000000	
 2 	 6									8.513213																												-0.465887																							-1.664349																-6.382977																																									-0.000000									-0.000000																																																																									0.000000	
 2 	 7									8.291651																												-0.466541																							-1.442132																-6.382978																																									-0.000000									-0.000000																																																																									0.000000	
 2 	 8									1.342196																												-0.465368																							-0.096658																-0.780170																																									-0.000000									-0.000000																																																																									0.000000	
 2 	 9									1.342205																												-0.465397																							-0.096658																-0.780150																																									-0.000000									-0.000000																																																																									0.000000	
 2 	 10									1.342270																												-0.465460																							-0.096658																-0.780152																																									-0.000000									-0.000000																																																																									0.000000	
 2 	 11									1.342352																												-0.465541																							-0.096658																-0.780153																																									-0.000000									-0.000000																																																																									0.000000	
 2 	 12									1.342735																												-0.465923																							-0.096658																-0.780154																																									-0.000000									-0.000000																																																																									0.000000	
 2 	 13									1.342513																												-0.465701																							-0.096658																-0.780154																																									-0.000000									-0.000000																																																																									0.000000	
 2 	 14									1.342605																												-0.465793																							-0.096658																-0.780154																																									-0.000000									-0.000000																																																																									0.000000	
 2 	 15									6.182037																												-0.465775																							-0.096658																-5.619605																																									-0.000000									-0.000000																																																																									0.000000	
 2 	 16									6.945361																												-0.465733																							-0.096658																-6.382970																																									-0.000000									-0.000000																																																																									0.000000	
 2 	 17									6.945337																												-0.465704																							-0.096658																-6.382975																																									-0.000000									-0.000000																																																																									0.000000	
 2 	 18									6.945293																												-0.465658																							-0.096658																-6.382977																																									-0.000000									-0.000000																																																																									0.000000	
 2 	 19									6.945740																												-0.466104																							-0.096658																-6.382978																																									-0.000000									-0.000000																																																																									0.000000	
 2 	 20									6.957297																												-0.477661																							-0.096658																-6.382979																																									-0.000000									-0.000000																																																																									0.000000	
 2 	 21									6.951599																												-0.471962																							-0.096658																-6.382979																																									-0.000000									-0.000000																																																																									0.000000	
 2 	 22									6.947797																												-0.468160																							-0.096658																-6.382979																																									-0.000000									-0.000000																																																																									0.000000	
 2 	 23									6.946995																												-0.467358																							-0.096658																-6.382980																																									-0.000000									-0.000000																																																																									0.000000	
 2 	 24									7.804858																												-0.466397																							-0.955481																-6.382980																																									-0.000000									-0.000000																																																																									0.000000	
 3 	 1									0.548842																												-0.452183																							-0.096658																-0.000002																																									-0.000000									-0.000000																																																																									0.000000	
 3 	 2									0.549603																												-0.452943																							-0.096658																-0.000002																																									-0.000000									-0.000000																																																																									0.000000	
 3 	 3									1.041172																												-0.452444																							-0.588726																-0.000002																																									-0.000000									-0.000000																																																																									0.000000	
