Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	H2_EXPORT	GAS_RE_EXPORT	AMMONIA_EXPORT	METHANOL_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	PT_HEAT	ST_HEAT	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	BIOMASS_TO_POWER	PV_ROOFTOP	PV_UTILITY	PT_POWER_BLOCK	ST_POWER_BLOCK	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_DAM	HYDRO_RIVER	TIDAL	WAVE	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	COAL_STOVE	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	DEC_THHP_GAS_COLD	DEC_ELEC_COLD	IND_ELEC_COLD	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_GASOLINE	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	MOTORCYCLE	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	MOTORCYCLE_ELECTRIC	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_GASOLINE	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	SYN_METHANOLATION	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	EFFICIENCY	DHN	GRID	HVAC_LINE	PT_COLLECTOR	ST_COLLECTOR	H2_ELECTROLYSIS	SMR	H2_BIOMASS	GASIFICATION_SNG	SYN_METHANATION	BIOMETHANATION	BIO_HYDROLYSIS	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	AMMONIA_TO_H2	DAM_STORAGE_Pin	DAM_STORAGE_Pout	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_COAL_STOVE_Pin	TS_COAL_STOVE_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	PT_STORAGE_Pin	PT_STORAGE_Pout	ST_STORAGE_Pin	ST_STORAGE_Pout	TS_COLD_Pin	TS_COLD_Pout	CAES_Pin	CAES_Pout	END_USE	
 1 	 1																										21.384417																			-0.000001	-21.384416																																																																																																																																																												0.000000	
 1 	 2																										20.096301																			-0.000001	-20.096300																																																																																																																																																												0.000000	
 1 	 3																										19.448720																			-0.000001	-19.448719																																																																																																																																																												0.000000	
 1 	 4																										19.681508																			-0.000001	-19.681507																																																																																																																																																												0.000000	
 1 	 5																										20.394460																			-0.000001	-20.394459																																																																																																																																																												0.000000	
 1 	 6																										21.024118																			-0.000002	-21.024116																																																																																																																																																												0.000000	
 1 	 7																										21.673507																			-0.000001	-21.673505																																																																																																																																																												0.000000	
 1 	 8																										22.302326																			-0.000002	-22.302325																																																																																																																																																												0.000000	
 1 	 9																										22.568323																			-0.000002	-22.568321																																																																																																																																																												0.000000	
 1 	 10																										22.301056																			-0.000002	-22.301053																																																																																																																																																												0.000000	
 1 	 11																										21.849198																			-0.000001	-21.849197																																																																																																																																																												0.000000	
 1 	 12																										21.522294																			-0.000001	-21.522293																																																																																																																																																												0.000000	
 1 	 13																										21.583623																			-0.000001	-21.583622																																																																																																																																																												0.000000	
 1 	 14																										21.537047																			-0.000001	-21.537046																																																																																																																																																												0.000000	
 1 	 15																										21.045120																			-0.000001	-21.045119																																																																																																																																																												0.000000	
 1 	 16																										21.152430																			-0.000001	-21.152429																																																																																																																																																												0.000000	
 1 	 17																										20.319811																			-0.000001	-20.319811																																																																																																																																																												0.000000	
 1 	 18																										18.920806																			-0.000001	-18.920805																																																																																																																																																												0.000000	
 1 	 19																										18.306632																			-0.000001	-18.306631																																																																																																																																																												0.000000	
 1 	 20																										18.094413																			-0.000001	-18.094412																																																																																																																																																												0.000000	
 1 	 21																										17.547427																			-0.000001	-17.547427																																																																																																																																																												0.000000	
 1 	 22																										16.428263																			-0.000000	-16.428262																																																																																																																																																												0.000000	
 1 	 23																										16.192291																			-0.000000	-16.192291																																																																																																																																																												0.000000	
 1 	 24																										15.967773																			-0.000000	-15.967773																																																																																																																																																												0.000000	
 2 	 1																										30.996100																			-0.000002	-30.996098																																																																																																																																																												0.000000	
 2 	 2																										30.034520																			-0.000003	-30.034517																																																																																																																																																												0.000000	
 2 	 3																										29.219636																			-0.000003	-29.219633																																																																																																																																																												0.000000	
 2 	 4																										29.441197																			-0.000003	-29.441194																																																																																																																																																												0.000000	
 2 	 5																										30.093996																			-0.000003	-30.093993																																																																																																																																																												0.000000	
 2 	 6																										30.741972																			-0.000003	-30.741969																																																																																																																																																												0.000000	
 2 	 7																										31.535788																			-0.000004	-31.535784																																																																																																																																																												0.000000	
 2 	 8																										32.374650																			-0.000004	-32.374646																																																																																																																																																												0.000000	
 2 	 9																										29.999217																			-0.000003	-29.999214																																																																																																																																																												0.000000	
 2 	 10																										27.989557																			-0.000003	-27.989554																																																																																																																																																												0.000000	
 2 	 11																										26.578750																			-0.000003	-26.578747																																																																																																																																																												0.000000	
 2 	 12																										26.404665																			-0.000003	-26.404663																																																																																																																																																												0.000000	
 2 	 13																										25.311675																			-0.000002	-25.311673																																																																																																																																																												0.000000	
 2 	 14																										25.385054																			-0.000002	-25.385052																																																																																																																																																												0.000000	
 2 	 15																										27.453731																			-0.000002	-27.453729																																																																																																																																																												0.000000	
 2 	 16																										28.061940																			-0.000002	-28.061938																																																																																																																																																												0.000000	
 2 	 17																										28.061913																			-0.000002	-28.061911																																																																																																																																																												0.000000	
 2 	 18																										28.370319																			-0.000002	-28.370316																																																																																																																																																												0.000000	
 2 	 19																										29.162646																			-0.000002	-29.162644																																																																																																																																																												0.000000	
 2 	 20																										29.880844																			-0.000002	-29.880842																																																																																																																																																												0.000000	
 2 	 21																										30.323778																			-0.000003	-30.323776																																																																																																																																																												0.000000	
 2 	 22																										30.502760																			-0.000003	-30.502758																																																																																																																																																												0.000000	
 2 	 23																										30.931699																			-0.000003	-30.931697																																																																																																																																																												0.000000	
 2 	 24																										30.930852																			-0.000003	-30.930849																																																																																																																																																												0.000000	
 3 	 1																										2.826783																			-0.000001	-2.826782																																																																																																																																																												0.000000	
 3 	 2																										3.074150																			-0.000000	-3.074149																																																																																																																																																												0.000000	
 3 	 3																										3.092769																			-0.000000	-3.092769																																																																																																																																																												0.000000	
 3 	 4																										3.059203																			-0.000000	-3.059203																																																																																																																																																												0.000000	
 3 	 5																										2.509411																			-0.000000	-2.509411																																																																																																																																																												0.000000	
 3 	 6																										1.982947																			-0.000000	-1.982947																																																																																																																																																												0.000000	
 3 	 7																										2.465569																			-0.000000	-2.465569																																																																																																																																																												0.000000	
 3 	 8																										3.171768																			-0.000000	-3.171768																																																																																																																																																												0.000000	
 3 	 9																										3.933986																			-0.000000	-3.933986																																																																																																																																																												0.000000	
 3 	 10																										4.491661																			-0.000000	-4.491661																																																																																																																																																												0.000000	
 3 	 11																										4.580634																			-0.000000	-4.580634																																																																																																																																																												0.000000	
 3 	 12																										4.329848																			-0.000000	-4.329848																																																																																																																																																												0.000000	
 3 	 13																										4.072762																			-0.000000	-4.072762																																																																																																																																																												0.000000	
 3 	 14																										3.992350																			-0.000000	-3.992350																																																																																																																																																												0.000000	
