Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	GAS_RE	WOOD	WET_BIOMASS	IMPORTED_COAL	LOCAL_COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	H2_EXPORT	GAS_RE_EXPORT	AMMONIA_EXPORT	METHANOL_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	PT_HEAT	ST_HEAT	NUCLEAR	CCGT	CCGT_AMMONIA	IMPORTED_COAL_CENTRAL	LOCAL_COAL_CENTRAL	BIOMASS_TO_POWER	PV_ROOFTOP	PV_UTILITY	PT_POWER_BLOCK	ST_POWER_BLOCK	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_DAM	HYDRO_RIVER	TIDAL	WAVE	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	COAL_STOVE	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	DEC_THHP_GAS_COLD	DEC_ELEC_COLD	IND_ELEC_COLD	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_GASOLINE	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	MOTORCYCLE	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	MOTORCYCLE_ELECTRIC	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_GASOLINE	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	SYN_METHANOLATION	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	EFFICIENCY	DHN	GRID	HVAC_LINE	PT_COLLECTOR	ST_COLLECTOR	H2_ELECTROLYSIS	SMR	H2_BIOMASS	GASIFICATION_SNG	SYN_METHANATION	BIOMETHANATION	BIO_HYDROLYSIS	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	AMMONIA_TO_H2	DAM_STORAGE_Pin	DAM_STORAGE_Pout	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_COAL_STOVE_Pin	TS_COAL_STOVE_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	PT_STORAGE_Pin	PT_STORAGE_Pout	ST_STORAGE_Pin	ST_STORAGE_Pout	TS_COLD_Pin	TS_COLD_Pout	CAES_Pin	CAES_Pout	END_USE	
 1 	 1																											9.577855																			-0.000000	-9.577855																																																																																																																																																												0.000000	
 1 	 2																											9.000922																			-0.000000	-9.000921																																																																																																																																																												0.000000	
 1 	 3																											8.710877																			-0.000000	-8.710877																																																																																																																																																												0.000000	
 1 	 4																											8.815140																			-0.000000	-8.815140																																																																																																																																																												0.000000	
 1 	 5																											9.134464																			-0.000001	-9.134463																																																																																																																																																												0.000000	
 1 	 6																											9.416481																			-0.000001	-9.416481																																																																																																																																																												0.000000	
 1 	 7																											9.707336																			-0.000001	-9.707335																																																																																																																																																												0.000000	
 1 	 8																											9.988977																			-0.000001	-9.988977																																																																																																																																																												0.000000	
 1 	 9																											10.108114																			-0.000001	-10.108113																																																																																																																																																												0.000000	
 1 	 10																											9.988408																			-0.000001	-9.988407																																																																																																																																																												0.000000	
 1 	 11																											9.978723																			-0.000001	-9.978722																																																																																																																																																												0.000000	
 1 	 12																											9.988517																			-0.000001	-9.988517																																																																																																																																																												0.000000	
 1 	 13																											9.800319																			-0.000000	-9.800318																																																																																																																																																												0.000000	
 1 	 14																											9.646217																			-0.000000	-9.646216																																																																																																																																																												0.000000	
 1 	 15																											9.425888																			-0.000000	-9.425887																																																																																																																																																												0.000000	
 1 	 16																											9.473951																			-0.000000	-9.473950																																																																																																																																																												0.000000	
 1 	 17																											9.101030																			-0.000000	-9.101029																																																																																																																																																												0.000000	
 1 	 18																											8.474430																			-0.000000	-8.474430																																																																																																																																																												0.000000	
 1 	 19																											8.199348																			-0.000000	-8.199347																																																																																																																																																												0.000000	
 1 	 20																											8.104297																			-0.000000	-8.104297																																																																																																																																																												0.000000	
 1 	 21																											7.859308																			-0.000000	-7.859308																																																																																																																																																												0.000000	
 1 	 22																											7.358046																			-0.000000	-7.358046																																																																																																																																																												0.000000	
 1 	 23																											7.252357																			-0.000000	-7.252357																																																																																																																																																												0.000000	
 1 	 24																											7.151797																			-0.000000	-7.151797																																																																																																																																																												0.000000	
 2 	 1																											13.882827																			-0.000001	-13.882826																																																																																																																																																												0.000000	
 2 	 2																											13.452145																			-0.000001	-13.452144																																																																																																																																																												0.000000	
 2 	 3																											13.087167																			-0.000001	-13.087166																																																																																																																																																												0.000000	
 2 	 4																											13.186402																			-0.000001	-13.186401																																																																																																																																																												0.000000	
 2 	 5																											13.478784																			-0.000001	-13.478783																																																																																																																																																												0.000000	
 2 	 6																											13.769006																			-0.000001	-13.769004																																																																																																																																																												0.000000	
 2 	 7																											14.124547																			-0.000001	-14.124546																																																																																																																																																												0.000000	
 2 	 8																											14.500265																			-0.000001	-14.500264																																																																																																																																																												0.000000	
 2 	 9																											14.287494																			-0.000001	-14.287493																																																																																																																																																												0.000000	
 2 	 10																											13.625022																			-0.000001	-13.625022																																																																																																																																																												0.000000	
 2 	 11																											13.254111																			-0.000001	-13.254111																																																																																																																																																												0.000000	
 2 	 12																											12.883164																			-0.000001	-12.883163																																																																																																																																																												0.000000	
 2 	 13																											12.421129																			-0.000001	-12.421128																																																																																																																																																												0.000000	
 2 	 14																											12.499194																			-0.000001	-12.499193																																																																																																																																																												0.000000	
 2 	 15																											12.741838																			-0.000001	-12.741837																																																																																																																																																												0.000000	
 2 	 16																											12.568648																			-0.000001	-12.568647																																																																																																																																																												0.000000	
 2 	 17																											12.568635																			-0.000001	-12.568635																																																																																																																																																												0.000000	
 2 	 18																											12.706767																			-0.000001	-12.706766																																																																																																																																																												0.000000	
 2 	 19																											13.061642																			-0.000001	-13.061641																																																																																																																																																												0.000000	
 2 	 20																											13.383315																			-0.000001	-13.383315																																																																																																																																																												0.000000	
 2 	 21																											13.581701																			-0.000001	-13.581700																																																																																																																																																												0.000000	
 2 	 22																											13.661865																			-0.000001	-13.661864																																																																																																																																																												0.000000	
 2 	 23																											13.853982																			-0.000001	-13.853982																																																																																																																																																												0.000000	
 2 	 24																											13.853603																			-0.000001	-13.853602																																																																																																																																																												0.000000	
 3 	 1																											1.266086																			-0.000000	-1.266086																																																																																																																																																												0.000000	
 3 	 2																											1.376879																			-0.000000	-1.376879																																																																																																																																																												0.000000	
 3 	 3																											1.385219																			-0.000000	-1.385219																																																																																																																																																												0.000000	
 3 	 4																											1.370185																			-0.000000	-1.370185																																																																																																																																																												0.000000	
 3 	 5																											1.123939																			-0.000000	-1.123939																																																																																																																																																												0.000000	
 3 	 6																											0.888141																			-0.000000	-0.888141																																																																																																																																																												0.000000	
 3 	 7																											1.104303																			-0.000000	-1.104303																																																																																																																																																												0.000000	
 3 	 8																											1.420602																			-0.000000	-1.420602																																																																																																																																																												0.000000	
 3 	 9																											1.761991																			-0.000000	-1.761991																																																																																																																																																												0.000000	
 3 	 10																											2.011768																			-0.000000	-2.011768																																																																																																																																																												0.000000	
 3 	 11																											2.051618																			-0.000000	-2.051618																																																																																																																																																												0.000000	
 3 	 12																											1.939294																			-0.000000	-1.939294																																																																																																																																																												0.000000	
 3 	 13																											1.824147																			-0.000000	-1.824147																																																																																																																																																												0.000000	
 3 	 14																											1.788132																			-0.000000	-1.788132																																																																																																																																																												0.000000	
 3 	 15																											1.725094																			-0.000000	-1.725094																																																																																																																																																												0.000000	
