Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	H2_EXPORT	GAS_RE_EXPORT	AMMONIA_EXPORT	METHANOL_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	PT_HEAT	ST_HEAT	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	BIOMASS_TO_POWER	PV_ROOFTOP	PV_UTILITY	PT_POWER_BLOCK	ST_POWER_BLOCK	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_DAM	HYDRO_RIVER	TIDAL	WAVE	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	COAL_STOVE	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	DEC_THHP_GAS_COLD	DEC_ELEC_COLD	IND_ELEC_COLD	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_GASOLINE	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	MOTORCYCLE	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	MOTORCYCLE_ELECTRIC	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_GASOLINE	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	SYN_METHANOLATION	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	EFFICIENCY	DHN	GRID	HVAC_LINE	PT_COLLECTOR	ST_COLLECTOR	H2_ELECTROLYSIS	SMR	H2_BIOMASS	GASIFICATION_SNG	SYN_METHANATION	BIOMETHANATION	BIO_HYDROLYSIS	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	AMMONIA_TO_H2	DAM_STORAGE_Pin	DAM_STORAGE_Pout	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_COAL_STOVE_Pin	TS_COAL_STOVE_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	PT_STORAGE_Pin	PT_STORAGE_Pout	ST_STORAGE_Pin	ST_STORAGE_Pout	TS_COLD_Pin	TS_COLD_Pout	CAES_Pin	CAES_Pout	END_USE	
 1 	 1																																																				0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000																																																							-0.000000		-0.130364	-0.608685										-2.857720											-0.000000																																					-28.584970	37.319364																									-5.137626	
 1 	 2																																																				0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000																																																							-0.000000		-0.130364	-0.608685										-2.771910											-0.000000																																					-28.624908	37.273492																									-5.137626	
 1 	 3																																																				0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000																																																							-0.000000		-0.130364	-0.608685										-2.743136											-0.000000																																					-28.647304	37.267115																									-5.137626	
 1 	 4																																																				0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000																																																							-0.000000		-0.130364	-0.608685										-3.058287											-0.000000																																					-28.498424	37.433385																									-5.137626	
 1 	 5																																																				0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000																																																							-0.000000		-0.130364	-0.608685										-3.165838											-0.000000																																					-28.453743	37.496255																									-5.137626	
 1 	 6																																																				0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000																																																							-0.000000		-0.130364	-0.608685										-2.068096											-0.000000																																					-28.953569	36.898340																									-5.137626	
 1 	 7																																																				0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000																																																							-0.000000		-0.130364	-0.608685										-3.287485											-0.000000																																					-28.406704	37.570863																									-5.137626	
 1 	 8																																																				0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	8.928246																																																							-0.000000		-0.130364	-0.608685										-4.048748											-0.000000																																					-32.257571	33.254748																									-5.137626	
 1 	 9																																																				0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	27.114974																																																							-0.000000		-0.130364	-0.608685										-4.048748											-0.000000																																					-42.195900	25.006348																									-5.137626	
 1 	 10																																																				0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	28.745793																																																							-0.000000		-0.130364	-0.608685										-4.048748											-0.000000																																					-43.141098	24.320728																									-5.137626	
 1 	 11																																																				0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	28.744255																																																							-0.000000		-0.130364	-0.608685										-4.048748											-0.000000																																					-43.145917	24.327085																									-5.137626	
 1 	 12																																																				0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	28.736460																																																							-0.000000		-0.130364	-0.608685										-4.048748											-0.000000																																					-43.130230	24.319193																									-5.137626	
 1 	 13																																																				0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	28.751210																																																							-0.000000		-0.130364	-0.608685										-4.048748											-0.000000																																					-43.144147	24.318360																									-5.137626	
 1 	 14																																																				0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	28.753527																																																							-0.000000		-0.130364	-0.608685										-4.048748											-0.000000																																					-43.154161	24.326057																									-5.137626	
 1 	 15																																																				0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	26.505172																																																							-0.000000		-0.130364	-0.608685										-4.048748											-0.000000																																					-41.834970	25.255221																									-5.137626	
 1 	 16																																																				0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	10.128432																																																							-0.000000		-0.130364	-0.608685										-4.048748											-0.000000																																					-32.840069	32.637059																									-5.137626	
 1 	 17																																																				0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000																																																							-0.000000		-0.130364	-0.608685										-3.793347											-0.000000																																					-28.173238	37.843259																									-5.137626	
 1 	 18																																																				0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000																																																							-0.000000		-0.130364	-0.608685										-2.956442											-0.000000																																					-28.551384	37.384501																									-5.137626	
 1 	 19																																																				0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000																																																							-0.000000		-0.130364	-0.608685										-2.671310											-0.000000																																					-28.675393	37.223377																									-5.137626	
 1 	 20																																																				0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000																																																							-0.000000		-0.130364	-0.608685										-2.697057											-0.000000																																					-28.660348	37.234080																									-5.137626	
 1 	 21																																																				0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000																																																							-0.000000		-0.130364	-0.608685										-2.225916											-0.000000																																					-28.876858	36.979448																									-5.137626	
 1 	 22																																																				0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000																																																							-0.000000		-0.130364	-0.608685										-1.599987											-0.000000																																					-29.162393	36.639054																									-5.137626	
 1 	 23																																																				0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000																																																							-0.000000		-0.130364	-0.608685										-1.320306											-0.000000																																					-29.294100	36.491080																									-5.137626	
