Name	C_inv	C_maint	C_op
NUCLEAR	0.000000	0.000000	0.000000
CCGT	0.000047	0.000015	0.000000
CCGT_AMMONIA	0.000048	0.000015	0.000000
COAL_US	0.000000	0.000000	0.000000
COAL_IGCC	0.000056	0.000012	0.000000
BIOMASS_TO_POWER	0.000046	0.000025	0.000000
PV_ROOFTOP	12.850112	2.558641	0.000000
PV_UTILITY	2019.949154	738.021149	0.000000
PT_POWER_BLOCK	0.000037	0.000028	0.000000
ST_POWER_BLOCK	0.000029	0.000029	0.000000
WIND_ONSHORE	0.000464	0.000102	0.000000
WIND_OFFSHORE	4217.449609	2219.575280	0.000000
HYDRO_DAM	2738.981967	196.056016	0.000000
HYDRO_RIVER	1330.785021	190.511883	0.000000
TIDAL	0.000000	0.000000	0.000000
WAVE	0.000000	0.000000	0.000000
GEOTHERMAL	0.000245	0.000060	0.000000
IND_COGEN_GAS	0.000037	0.000030	0.000000
IND_COGEN_WOOD	0.000051	0.000023	0.000000
IND_COGEN_WASTE	0.000058	0.000026	0.000000
IND_BOILER_GAS	0.000039	0.000008	0.000000
IND_BOILER_WOOD	0.000050	0.000010	0.000000
IND_BOILER_OIL	0.000038	0.000008	0.000000
IND_BOILER_COAL	0.000040	0.000008	0.000000
IND_BOILER_WASTE	2.417204	0.491486	0.000000
IND_DIRECT_ELEC	1024.074908	44.032352	0.000000
DHN_HP_ELEC	54.744200	22.854250	0.000000
DHN_COGEN_GAS	0.000036	0.000013	0.000000
DHN_COGEN_WOOD	0.000035	0.000016	0.000000
DHN_COGEN_WASTE	0.000050	0.000023	0.000000
DHN_COGEN_WET_BIOMASS	0.000024	0.000045	0.000000
DHN_COGEN_BIO_HYDROLYSIS	0.000076	0.000032	0.000000
DHN_BOILER_GAS	0.000006	0.000001	0.000000
DHN_BOILER_WOOD	0.000011	0.000002	0.000000
DHN_BOILER_OIL	0.000006	0.000001	0.000000
DHN_DEEP_GEO	0.000000	0.000000	0.000000
DHN_SOLAR	0.000046	0.000001	0.000000
DEC_HP_ELEC	478.961535	209.881763	0.000000
DEC_THHP_GAS	0.000086	0.000028	0.000000
DEC_COGEN_GAS	0.000073	0.000052	0.000000
DEC_COGEN_OIL	0.000071	0.000049	0.000000
DEC_ADVCOGEN_GAS	0.000112	0.000023	0.000000
DEC_ADVCOGEN_H2	0.000119	0.000025	0.000000
DEC_BOILER_GAS	0.000077	0.000023	0.000000
DEC_BOILER_WOOD	0.000093	0.000033	0.000000
COAL_STOVE	0.000079	0.000028	0.000000
DEC_BOILER_OIL	0.000062	0.000038	0.000000
DEC_SOLAR	0.003374	0.000416	0.000000
DEC_DIRECT_ELEC	50.979193	2.108557	0.000000
DEC_THHP_GAS_COLD	0.000087	0.000041	0.000000
DEC_ELEC_COLD	37.580731	12.522921	0.000000
IND_ELEC_COLD	2.912628	0.261632	0.000000
TRAMWAY_TROLLEY	228.761734	60.371120	0.000000
BUS_COACH_DIESEL	0.000385	0.000176	0.000000
BUS_COACH_GASOLINE	0.000136	0.000062	0.000000
BUS_COACH_HYDIESEL	0.000058	0.000021	0.000000
BUS_COACH_CNG_STOICH	10195.593777	4694.794138	0.000000
BUS_COACH_FC_HYBRIDH2	0.000058	0.000016	0.000000
TRAIN_PUB	0.000112	0.000058	0.000000
MOTORCYCLE	0.000068	0.000030	0.000000
CAR_GASOLINE	0.000008	0.000003	0.000000
CAR_DIESEL	0.000007	0.000003	0.000000
CAR_NG	0.000023	0.000009	0.000000
CAR_METHANOL	0.000007	0.000003	0.000000
CAR_HEV	0.000010	0.000005	0.000000
CAR_PHEV	0.003573	0.001901	0.000000
MOTORCYCLE_ELECTRIC	8709.458892	1025.076939	0.000000
CAR_BEV	10865.102693	1892.449608	0.000000
CAR_FUEL_CELL	0.000015	0.000002	0.000000
TRAIN_FREIGHT	121.227637	34.714159	0.000000
BOAT_FREIGHT_DIESEL	0.000386	0.000267	0.000000
BOAT_FREIGHT_NG	364.541639	253.963354	0.000000
BOAT_FREIGHT_METHANOL	0.000001	0.000000	0.000000
TRUCK_DIESEL	0.000000	0.000000	0.000000
TRUCK_GASOLINE	0.000000	0.000000	0.000000
TRUCK_METHANOL	0.000001	0.000000	0.000000
TRUCK_FUEL_CELL	2630.141288	741.890027	0.000000
TRUCK_ELEC	0.000002	0.000001	0.000000
TRUCK_NG	0.000003	0.000002	0.000000
HABER_BOSCH	0.000066	0.000014	0.000000
OIL_TO_HVC	0.000067	0.000003	0.000000
GAS_TO_HVC	0.000048	0.000011	0.000000
BIOMASS_TO_HVC	316.547426	104.887743	0.000000
METHANOL_TO_HVC	85.366325	85.331047	0.000000
SYN_METHANOLATION	69.376329	21.865976	0.000000
METHANE_TO_METHANOL	0.000044	0.000024	0.000000
BIOMASS_TO_METHANOL	168.292904	28.556566	0.000000
DAM_STORAGE	0.000000	0.000000	0.000000
PHS	0.000000	0.000000	0.000000
BATT_LI	0.001194	0.000017	0.000000
BEV_BATT	0.000000	0.000000	0.000000
PHEV_BATT	0.000000	0.000000	0.000000
TS_DEC_DIRECT_ELEC	52.574260	4.435700	0.000000
TS_DEC_HP_ELEC	126.286624	10.654827	0.000000
TS_DEC_THHP_GAS	0.000182	0.000015	0.000000
TS_DEC_COGEN_GAS	0.000183	0.000015	0.000000
TS_DEC_COGEN_OIL	0.000183	0.000015	0.000000
TS_DEC_ADVCOGEN_GAS	0.000182	0.000015	0.000000
TS_DEC_ADVCOGEN_H2	0.000185	0.000016	0.000000
TS_DEC_BOILER_GAS	0.000183	0.000015	0.000000
TS_DEC_BOILER_WOOD	0.000184	0.000016	0.000000
TS_COAL_STOVE	0.001828	0.000154	0.000000
TS_DEC_BOILER_OIL	0.000184	0.000015	0.000000
TS_DHN_DAILY	0.000209	0.000010	0.000000
TS_DHN_SEASONAL	130.344221	0.000000	0.000000
TS_HIGH_TEMP	290.272093	38.248681	0.000000
GAS_STORAGE	93.873641	0.000000	0.000000
H2_STORAGE	25.394598	1.366948	0.000000
DIESEL_STORAGE	0.001466	0.000000	0.000000
GASOLINE_STORAGE	0.001471	0.000000	0.000000
LFO_STORAGE	0.001453	0.000000	0.000000
AMMONIA_STORAGE	0.001450	0.000000	0.000000
METHANOL_STORAGE	0.182095	0.000000	0.000000
CO2_STORAGE	0.147582	0.016391	0.000000
PT_STORAGE	0.002421	0.000298	0.000000
ST_STORAGE	0.002213	0.000271	0.000000
TS_COLD	3.925549	0.523193	0.000000
CAES	0.000000	0.000000	0.000000
EFFICIENCY	0.000000	0.000000	0.000000
DHN	345.038774	0.000000	0.000000
GRID	32394.300543	0.000000	0.000000
HVAC_LINE	0.000048	0.000014	0.000000
PT_COLLECTOR	0.000630	0.000108	0.000000
ST_COLLECTOR	0.000592	0.000083	0.000000
H2_ELECTROLYSIS	1608.790577	418.774375	0.000000
SMR	0.000035	0.000036	0.000000
H2_BIOMASS	0.000043	0.000037	0.000000
GASIFICATION_SNG	0.000088	0.000038	0.000000
SYN_METHANATION	138.788345	507.737647	0.000000
BIOMETHANATION	0.000135	0.000021	0.000000
BIO_HYDROLYSIS	544.700506	308.810996	0.000000
PYROLYSIS_TO_LFO	0.000150	0.000044	0.000000
PYROLYSIS_TO_FUELS	0.000081	0.000015	0.000000
ATM_CCS	0.000086	0.000030	0.000000
INDUSTRY_CCS	481.868894	171.270165	0.000000
AMMONIA_TO_H2	0.000033	0.000038	0.000000
ELECTRICITY	0.000000	0.000000	0.000048
GASOLINE	0.000000	0.000000	0.000056
DIESEL	0.000000	0.000000	0.000080
BIOETHANOL	0.000000	0.000000	0.000280
BIODIESEL	0.000000	0.000000	0.001222
LFO	0.000000	0.000000	0.000096
GAS	0.000000	0.000000	0.000000
GAS_RE	0.000000	0.000000	0.000000
WOOD	0.000000	0.000000	1020.992803
WET_BIOMASS	0.000000	0.000000	945.857856
COAL	0.000000	0.000000	0.000028
URANIUM	0.000000	0.000000	0.000000
WASTE	0.000000	0.000000	10.719613
H2	0.000000	0.000000	0.000000
H2_RE	0.000000	0.000000	0.000000
AMMONIA	0.000000	0.000000	0.000052
METHANOL	0.000000	0.000000	0.000074
AMMONIA_RE	0.000000	0.000000	0.000000
METHANOL_RE	0.000000	0.000000	0.000000
ELEC_EXPORT	0.000000	0.000000	0.000000
H2_EXPORT	0.000000	0.000000	0.000000
GAS_RE_EXPORT	0.000000	0.000000	0.000000
AMMONIA_EXPORT	0.000000	0.000000	0.000000
METHANOL_EXPORT	0.000000	0.000000	0.000000
CO2_EMISSIONS	0.000000	0.000000	0.000000
RES_WIND	0.000000	0.000000	0.000000
RES_SOLAR	0.000000	0.000000	0.000000
RES_HYDRO	0.000000	0.000000	0.000000
RES_GEO	0.000000	0.000000	0.000000
CO2_ATM	0.000000	0.000000	0.000000
CO2_INDUSTRY	0.000000	0.000000	0.000000
CO2_CAPTURED	0.000000	0.000000	0.000000
PT_HEAT	0.000000	0.000000	0.000000
ST_HEAT	0.000000	0.000000	0.000000
