Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	GAS_RE	WOOD	WET_BIOMASS	IMPORTED_COAL	LOCAL_COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	PT_HEAT	ST_HEAT	NUCLEAR	CCGT	CCGT_AMMONIA	IMPORTED_COAL_CENTRAL	LOCAL_COAL_CENTRAL	BIOMASS_TO_POWER	PV_ROOFTOP	PV_UTILITY	PT_POWER_BLOCK	ST_POWER_BLOCK	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_DAM	HYDRO_RIVER	TIDAL	WAVE	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	COAL_STOVE	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	DEC_THHP_GAS_COLD	DEC_ELEC_COLD	IND_ELEC_COLD	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_GASOLINE	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	MOTORCYCLE	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	MOTORCYCLE_ELECTRIC	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_GASOLINE	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	SYN_METHANOLATION	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	EFFICIENCY	DHN	GRID	HVAC_LINE	PT_COLLECTOR	ST_COLLECTOR	H2_ELECTROLYSIS	SMR	H2_BIOMASS	GASIFICATION_SNG	SYN_METHANATION	BIOMETHANATION	BIO_HYDROLYSIS	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	AMMONIA_TO_H2	DAM_STORAGE_Pin	DAM_STORAGE_Pout	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_COAL_STOVE_Pin	TS_COAL_STOVE_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	PT_STORAGE_Pin	PT_STORAGE_Pout	ST_STORAGE_Pin	ST_STORAGE_Pout	TS_COLD_Pin	TS_COLD_Pout	CAES_Pin	CAES_Pout	END_USE	
 1 	 1			16.113668		0.000001																																																																																-0.177843								-0.278536												-15.657606																																																																										-0.008115	0.008432																			0.000000	
 1 	 2			15.840487		0.000001																																																																																-0.071198								-0.111509												-15.657606																																																																										-0.008433	0.008259																			0.000000	
 1 	 3			15.748719		0.000001																																																																																-0.035447								-0.055517												-15.657606																																																																										-0.008423	0.008275																			0.000000	
 1 	 4			16.753169		0.000001																																																																																-0.427188								-0.669056												-15.657606																																																																										-0.007938	0.008618																			0.000000	
 1 	 5			18.580051		0.000001																																																																																-1.139167								-1.784150												-15.657606																																																																										-0.007847	0.008718																			0.000000	
 1 	 6			22.964726		0.000001																																																																																-2.847918								-4.460375												-15.657606																																																																										-0.007710	0.008882																			0.000000	
 1 	 7			29.814927		0.000001																																																																																-5.517083								-8.640791												-15.657606																																																																										-0.007918	0.008470																			0.000000	
 1 	 8			27.988274		0.000001																																																																																-4.805195								-7.525839												-15.657606																																																																										-0.007997	0.008362																			0.000000	
 1 	 9			27.074253		0.000001																																																																																-4.449266								-6.968387												-15.657606																																																																										-0.007678	0.008683																			0.000000	
 1 	 10			28.445186		0.000001																																																																																-4.983190								-7.804613												-15.657606																																																																										-0.008058	0.008280																			0.000000	
 1 	 11			30.271958		0.000001																																																																																-5.695048								-8.919517												-15.657606																																																																										-0.008063	0.008275																			0.000000	
 1 	 12			31.733452		0.000001																																																																																-6.264571								-9.811497												-15.657606																																																																										-0.008060	0.008281																			0.000000	
 1 	 13			30.271906		0.000001																																																																																-5.695048								-8.919517												-15.657606																																																																										-0.008038	0.008302																			0.000000	
 1 	 14			30.454581		0.000001																																																																																-5.766246								-9.031026												-15.657606																																																																										-0.008024	0.008320																			0.000000	
 1 	 15			32.281413		0.000001																																																																																-6.478134								-10.145978												-15.657606																																																																										-0.008025	0.008329																			0.000000	
 1 	 16			33.012171		0.000001																																																																																-6.762896								-10.591968												-15.657606																																																																										-0.008034	0.008331																			0.000000	
 1 	 17			33.012208		0.000001																																																																																-6.762896								-10.591968												-15.657606																																																																										-0.008058	0.008319																			0.000000	
 1 	 18			28.445212		0.000001																																																																																-4.983190								-7.804613												-15.657606																																																																										-0.008097	0.008292																			0.000000	
 1 	 19			24.791064		0.000001																																																																																-3.559413								-5.574710												-15.657606																																																																										-0.007987	0.008651																			0.000000	
 1 	 20			22.506056		0.000001																																																																																-2.669166								-4.180415												-15.657606																																																																										-0.007734	0.008865																			0.000000	
 1 	 21			20.220110		0.000001																																																																																-1.778434								-2.785362												-15.657606																																																																										-0.007649	0.008941																			0.000000	
 1 	 22			18.579606		0.000001																																																																																-1.139167								-1.784150												-15.657606																																																																										-0.007634	0.008951																			0.000000	
 1 	 23			17.483397		0.000001																																																																																-0.711979								-1.115094												-15.657606																																																																										-0.007649	0.008931																			0.000000	
 1 	 24			16.387232		0.000001																																																																																-0.284792								-0.446038												-15.657606																																																																										-0.007687	0.008889																			0.000000	
 2 	 1			16.113884		0.000001																																																																																-0.177843								-0.278536												-15.657606																																																																										-0.008246	0.008347																			0.000000	
 2 	 2			15.840711		0.000001																																																																																-0.071198								-0.111509												-15.657606																																																																										-0.008568	0.008169																			0.000000	
 2 	 3			15.748947		0.000001																																																																																-0.035447								-0.055517												-15.657606																																																																										-0.008560	0.008183																			0.000000	
 2 	 4			16.753439		0.000001																																																																																-0.427188								-0.669056												-15.657606																																																																										-0.008094	0.008505																			0.000000	
 2 	 5			18.580319		0.000001																																																																																-1.139167								-1.784150												-15.657606																																																																										-0.008001	0.008604																			0.000000	
 2 	 6			22.964990		0.000001																																																																																-2.847918								-4.460375												-15.657606																																																																										-0.007860	0.008769																			0.000000	
 2 	 7			29.815287		0.000001																																																																																-5.517083								-8.640791												-15.657606																																																																										-0.008103	0.008296																			0.000000	
 2 	 8			27.988635		0.000001																																																																																-4.805195								-7.525839												-15.657606																																																																										-0.008184	0.008188																			0.000000	
 2 	 9			27.074506		0.000001																																																																																-4.449266								-6.968387												-15.657606																																																																										-0.007822	0.008574																			0.000000	
 2 	 10			28.445549		0.000001																																																																																-4.983190								-7.804613												-15.657606																																																																										-0.008246	0.008105																			0.000000	
 2 	 11			30.272321		0.000001																																																																																-5.695048								-8.919517												-15.657606																																																																										-0.008250	0.008100																			0.000000	
 2 	 12			31.733812		0.000001																																																																																-6.264571								-9.811497												-15.657606																																																																										-0.008245	0.008106																			0.000000	
 2 	 13			30.272248		0.000001																																																																																-5.695048								-8.919517												-15.657606																																																																										-0.008216	0.008137																			0.000000	
 2 	 14			30.454915		0.000001																																																																																-5.766246								-9.031026												-15.657606																																																																										-0.008198	0.008160																			0.000000	
 2 	 15			32.281746		0.000001																																																																																-6.478134								-10.145978												-15.657606																																																																										-0.008198	0.008169																			0.000000	
 2 	 16			33.012503		0.000001																																																																																-6.762896								-10.591968												-15.657606																																																																										-0.008205	0.008171																			0.000000	
 2 	 17			33.012535		0.000001																																																																																-6.762896								-10.591968												-15.657606																																																																										-0.008227	0.008161																			0.000000	
