Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	PT_HEAT	ST_HEAT	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	BIOMASS_TO_POWER	PV_ROOFTOP	PV_UTILITY	PT_POWER_BLOCK	ST_POWER_BLOCK	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_DAM	HYDRO_RIVER	TIDAL	WAVE	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	COAL_STOVE	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	DEC_THHP_GAS_COLD	DEC_ELEC_COLD	IND_ELEC_COLD	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_GASOLINE	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	MOTORCYCLE	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	MOTORCYCLE_ELECTRIC	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_GASOLINE	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	SYN_METHANOLATION	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	EFFICIENCY	DHN	GRID	HVAC_LINE	PT_COLLECTOR	ST_COLLECTOR	H2_ELECTROLYSIS	SMR	H2_BIOMASS	GASIFICATION_SNG	SYN_METHANATION	BIOMETHANATION	BIO_HYDROLYSIS	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	AMMONIA_TO_H2	DAM_STORAGE_Pin	DAM_STORAGE_Pout	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_COAL_STOVE_Pin	TS_COAL_STOVE_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	PT_STORAGE_Pin	PT_STORAGE_Pout	ST_STORAGE_Pin	ST_STORAGE_Pout	TS_COLD_Pin	TS_COLD_Pout	CAES_Pin	CAES_Pout	END_USE	
 1 	 1		0.075379		0.000001																																																																																							-0.076399					0.000000																																																																																				-0.005217	0.006235																	0.000000	
 1 	 2		0.031335		0.000001																																																																																							-0.030585					0.000000																																																																																				-0.006028	0.005277																	0.000000	
 1 	 3		0.018017		0.000001																																																																																							-0.015228					0.000000																																																																																				-0.007174	0.004383																	0.000000	
 1 	 4		0.182515		0.000001																																																																																							-0.183513					0.000000																																																																																				-0.005286	0.006282																	0.000000	
 1 	 5		0.487863		0.000001																																																																																							-0.489367					0.000000																																																																																				-0.004902	0.006405																	0.000000	
 1 	 6		1.222300		0.000001																																																																																							-1.223417					0.000000																																																																																				-0.005159	0.006275																	0.000000	
 1 	 7		2.369542		0.000001																																																																																							-2.370045					0.000000																																																																																				-0.005395	0.005897																	0.000000	
 1 	 8		2.063594		0.000001																																																																																							-2.064230					0.000000																																																																																				-0.005318	0.005953																	0.000000	
 1 	 9		1.910634		0.000001																																																																																							-1.911329					0.000000																																																																																				-0.005284	0.005978																	0.000000	
 1 	 10		2.140097		0.000001																																																																																							-2.140694					0.000000																																																																																				-0.005334	0.005930																	0.000000	
 1 	 11		2.446037		0.000001																																																																																							-2.446496					0.000000																																																																																				-0.005405	0.005863																	0.000000	
 1 	 12		2.690810		0.000001																																																																																							-2.691153					0.000000																																																																																				-0.005464	0.005807																	0.000000	
 1 	 13		2.446047		0.000001																																																																																							-2.446496					0.000000																																																																																				-0.005411	0.005858																	0.000000	
 1 	 14		2.476651		0.000001																																																																																							-2.477081					0.000000																																																																																				-0.005420	0.005850																	0.000000	
 1 	 15		2.782608		0.000001																																																																																							-2.782897					0.000000																																																																																				-0.005492	0.005780																	0.000000	
 1 	 16		2.904994		0.000001																																																																																							-2.905225					0.000000																																																																																				-0.005522	0.005751																	0.000000	
 1 	 17		2.904997		0.000001																																																																																							-2.905225					0.000000																																																																																				-0.005525	0.005752																	0.000000	
 1 	 18		2.140129		0.000001																																																																																							-2.140694					0.000000																																																																																				-0.005357	0.005920																	0.000000	
 1 	 19		1.528149		0.000001																																																																																							-1.529063					0.000000																																																																																				-0.005259	0.006172																	0.000000	
 1 	 20		1.145446		0.000001																																																																																							-1.146628					0.000000																																																																																				-0.005116	0.006296																	0.000000	
 1 	 21		0.762492		0.000001																																																																																							-0.763985					0.000000																																																																																				-0.004930	0.006422																	0.000000	
 1 	 22		0.487860		0.000001																																																																																							-0.489367					0.000000																																																																																				-0.004892	0.006397																	0.000000	
 1 	 23		0.304661		0.000001																																																																																							-0.305854					0.000000																																																																																				-0.005075	0.006267																	0.000000	
 1 	 24		0.121174		0.000001																																																																																							-0.122342					0.000000																																																																																				-0.005210	0.006376																	0.000000	
 2 	 1		0.075499		0.000001																																																																																							-0.076399					0.000000																																																																																				-0.005286	0.006184																	0.000000	
 2 	 2		0.031500		0.000001																																																																																							-0.030585					0.000000																																																																																				-0.006124	0.005208																	0.000000	
 2 	 3		0.018233		0.000001																																																																																							-0.015228					0.000000																																																																																				-0.007311	0.004305																	0.000000	
 2 	 4		0.182626		0.000001																																																																																							-0.183513					0.000000																																																																																				-0.005350	0.006236																	0.000000	
 2 	 5		0.488001		0.000001																																																																																							-0.489367					0.000000																																																																																				-0.004983	0.006348																	0.000000	
 2 	 6		1.222515		0.000001																																																																																							-1.223417					0.000000																																																																																				-0.005274	0.006175																	0.000000	
 2 	 7		2.369879		0.000001																																																																																							-2.370045					0.000000																																																																																				-0.005560	0.005726																	0.000000	
 2 	 8		2.063899		0.000001																																																																																							-2.064230					0.000000																																																																																				-0.005468	0.005799																	0.000000	
 2 	 9		1.910919		0.000001																																																																																							-1.911329					0.000000																																																																																				-0.005426	0.005834																	0.000000	
 2 	 10		2.140401		0.000001																																																																																							-2.140694					0.000000																																																																																				-0.005484	0.005775																	0.000000	
 2 	 11		2.446366		0.000001																																																																																							-2.446496					0.000000																																																																																				-0.005565	0.005694																	0.000000	
 2 	 12		2.691157		0.000001																																																																																							-2.691153					0.000000																																																																																				-0.005631	0.005626																	0.000000	
 2 	 13		2.446368		0.000001																																																																																							-2.446496					0.000000																																																																																				-0.005568	0.005694																	0.000000	
 2 	 14		2.476971		0.000001																																																																																							-2.477081					0.000000																																																																																				-0.005577	0.005686																	0.000000	
 2 	 15		2.782952		0.000001																																																																																							-2.782897					0.000000																																																																																				-0.005658	0.005601																	0.000000	
 2 	 16		2.905348		0.000001																																																																																							-2.905225					0.000000																																																																																				-0.005691	0.005567																	0.000000	
 2 	 17		2.905349		0.000001																																																																																							-2.905225					0.000000																																																																																				-0.005694	0.005569																	0.000000	
 2 	 18		2.140407		0.000001																																																																																							-2.140694					0.000000																																																																																				-0.005497	0.005782																	0.000000	
 2 	 19		1.528363		0.000001																																																																																							-1.529063					0.000000																																																																																				-0.005376	0.006075																	0.000000	
 2 	 20		1.145639		0.000001																																																																																							-1.146628					0.000000																																																																																				-0.005226	0.006214																	0.000000	
 2 	 21		0.762634		0.000001																																																																																							-0.763985					0.000000																																																																																				-0.005022	0.006372																	0.000000	
 2 	 22		0.487969		0.000001																																																																																							-0.489367					0.000000																																																																																				-0.004964	0.006361																	0.000000	
 2 	 23		0.304721		0.000001																																																																																							-0.305854					0.000000																																																																																				-0.005113	0.006245																	0.000000	
 2 	 24		0.121247		0.000001																																																																																							-0.122342					0.000000																																																																																				-0.005263	0.006357																	0.000000	
 3 	 1		0.075821		0.000000																																																																																							-0.076399					0.000000																																																																																				-0.005505	0.006083																	0.000000	
 3 	 2		0.031571		0.000000																																																																																							-0.030585					0.000000																																																																																				-0.006215	0.005230																	0.000000	
 3 	 3		0.018171		0.000000																																																																																							-0.015228					0.000000																																																																																				-0.007318	0.004375																	0.000000	
 3 	 4		0.183117		0.000000																																																																																							-0.183513					0.000000																																																																																				-0.005556	0.005951																	0.000000	
 3 	 5		0.488729		0.000000																																																																																							-0.489367					0.000000																																																																																				-0.005394	0.006032																	0.000000	
 3 	 6		1.223655		0.000000																																																																																							-1.223417					0.000000																																																																																				-0.005814	0.005576																	0.000000	
 3 	 7		2.370730		0.000000																																																																																							-2.370045					0.000000																																																																																				-0.005936	0.005251																	0.000000	
 3 	 8		2.064668		0.000000																																																																																							-2.064230					0.000000																																																																																				-0.005797	0.005359																	0.000000	
 3 	 9		1.911670		0.000000																																																																																							-1.911329					0.000000																																																																																				-0.005751	0.005410																	0.000000	
 3 	 10		2.141172		0.000000																																																																																							-2.140694					0.000000																																																																																				-0.005819	0.005341																	0.000000	
 3 	 11		2.447178		0.000000																																																																																							-2.446496					0.000000																																																																																				-0.005914	0.005231																	0.000000	
 3 	 12		2.691989		0.000000																																																																																							-2.691153					0.000000																																																																																				-0.005983	0.005148																	0.000000	
 3 	 13		2.447167		0.000000																																																																																							-2.446496					0.000000																																																																																				-0.005919	0.005248																	0.000000	
 3 	 14		2.477768		0.000000																																																																																							-2.477081					0.000000																																																																																				-0.005927	0.005240																	0.000000	
 3 	 15		2.783776		0.000000																																																																																							-2.782897					0.000000																																																																																				-0.006005	0.005126																	0.000000	
 3 	 16		2.906165		0.000000																																																																																							-2.905225					0.000000																																																																																				-0.006028	0.005089																	0.000000	
 3 	 17		2.906156		0.000000																																																																																							-2.905225					0.000000																																																																																				-0.006024	0.005094																	0.000000	
 3 	 18		2.141114		0.000000																																																																																							-2.140694					0.000000																																																																																				-0.005812	0.005392																	0.000000	
 3 	 19		1.529068		0.000000																																																																																							-1.529063					0.000000																																																																																				-0.005728	0.005724																	0.000000	
 3 	 20		1.146448		0.000000																																																																																							-1.146628					0.000000																																																																																				-0.005603	0.005783																	0.000000	
 3 	 21		0.763216		0.000000																																																																																							-0.763985					0.000000																																																																																				-0.005340	0.006109																	0.000000	
 3 	 22		0.488545		0.000000																																																																																							-0.489367					0.000000																																																																																				-0.005283	0.006105																	0.000000	
 3 	 23		0.305165		0.000000																																																																																							-0.305854					0.000000																																																																																				-0.005341	0.006030																	0.000000	
 3 	 24		0.121836		0.000000																																																																																							-0.122342					0.000000																																																																																				-0.005567	0.006073																	0.000000	
 4 	 1		0.075334		0.000002																																																																																							-0.076399					0.000000																																																																																				-0.005198	0.006260																	0.000000	
 4 	 2		0.031370		0.000002																																																																																							-0.030585					0.000000																																																																																				-0.006026	0.005239																	0.000000	
 4 	 3		0.018137		0.000002																																																																																							-0.015228					0.000000																																																																																				-0.007247	0.004336																	0.000000	
 4 	 4		0.182530		0.000002																																																																																							-0.183513					0.000000																																																																																				-0.005297	0.006278																	0.000000	
 4 	 5		0.487869		0.000002																																																																																							-0.489367					0.000000																																																																																				-0.004902	0.006398																	0.000000	
 4 	 6		1.222233		0.000002																																																																																							-1.223417					0.000000																																																																																				-0.005132	0.006314																	0.000000	
 4 	 7		2.369544		0.000002																																																																																							-2.370045					0.000000																																																																																				-0.005395	0.005894																	0.000000	
 4 	 8		2.063597		0.000002																																																																																							-2.064230					0.000000																																																																																				-0.005324	0.005955																	0.000000	
 4 	 9		1.910634		0.000002																																																																																							-1.911329					0.000000																																																																																				-0.005291	0.005984																	0.000000	
 4 	 10		2.140096		0.000002																																																																																							-2.140694					0.000000																																																																																				-0.005340	0.005936																	0.000000	
 4 	 11		2.446034		0.000002																																																																																							-2.446496					0.000000																																																																																				-0.005410	0.005870																	0.000000	
 4 	 12		2.690804		0.000002																																																																																							-2.691153					0.000000																																																																																				-0.005468	0.005815																	0.000000	
 4 	 13		2.446038		0.000002																																																																																							-2.446496					0.000000																																																																																				-0.005412	0.005868																	0.000000	
 4 	 14		2.476640		0.000002																																																																																							-2.477081					0.000000																																																																																				-0.005420	0.005860																	0.000000	
 4 	 15		2.782596		0.000002																																																																																							-2.782897					0.000000																																																																																				-0.005492	0.005791																	0.000000	
 4 	 16		2.904981		0.000002																																																																																							-2.905225					0.000000																																																																																				-0.005521	0.005763																	0.000000	
 4 	 17		2.904983		0.000002																																																																																							-2.905225					0.000000																																																																																				-0.005522	0.005763																	0.000000	
 4 	 18		2.140110		0.000002																																																																																							-2.140694					0.000000																																																																																				-0.005349	0.005931																	0.000000	
 4 	 19		1.528096		0.000002																																																																																							-1.529063					0.000000																																																																																				-0.005224	0.006190																	0.000000	
 4 	 20		1.145453		0.000002																																																																																							-1.146628					0.000000																																																																																				-0.005123	0.006296																	0.000000	
 4 	 21		0.762456		0.000002																																																																																							-0.763985					0.000000																																																																																				-0.004906	0.006434																	0.000000	
 4 	 22		0.487836		0.000002																																																																																							-0.489367					0.000000																																																																																				-0.004876	0.006405																	0.000000	
 4 	 23		0.304659		0.000002																																																																																							-0.305854					0.000000																																																																																				-0.005078	0.006271																	0.000000	
 4 	 24		0.121112		0.000002																																																																																							-0.122342					0.000000																																																																																				-0.005174	0.006402																	0.000000	
 5 	 1		0.075514		0.000001																																																																																							-0.076399					0.000000																																																																																				-0.005309	0.006193																	0.000000	
 5 	 2		0.031523		0.000001																																																																																							-0.030585					0.000000																																																																																				-0.006150	0.005212																	0.000000	
 5 	 3		0.018262		0.000001																																																																																							-0.015228					0.000000																																																																																				-0.007340	0.004304																	0.000000	
 5 	 4		0.182785		0.000001																																																																																							-0.183513					0.000000																																																																																				-0.005412	0.006139																	0.000000	
 5 	 5		0.488199		0.000001																																																																																							-0.489367					0.000000																																																																																				-0.005089	0.006256																	0.000000	
 5 	 6		1.222880		0.000001																																																																																							-1.223417					0.000000																																																																																				-0.005454	0.005990																	0.000000	
 5 	 7		2.370228		0.000001																																																																																							-2.370045					0.000000																																																																																				-0.005719	0.005535																	0.000000	
 5 	 8		2.064203		0.000001																																																																																							-2.064230					0.000000																																																																																				-0.005601	0.005628																	0.000000	
 5 	 9		1.911210		0.000001																																																																																							-1.911329					0.000000																																																																																				-0.005553	0.005671																	0.000000	
 5 	 10		2.140719		0.000001																																																																																							-2.140694					0.000000																																																																																				-0.005623	0.005597																	0.000000	
 5 	 11		2.446734		0.000001																																																																																							-2.446496					0.000000																																																																																				-0.005724	0.005485																	0.000000	
 5 	 12		2.691563		0.000001																																																																																							-2.691153					0.000000																																																																																				-0.005803	0.005393																	0.000000	
 5 	 13		2.446740		0.000001																																																																																							-2.446496					0.000000																																																																																				-0.005730	0.005485																	0.000000	
 5 	 14		2.477350		0.000001																																																																																							-2.477081					0.000000																																																																																				-0.005742	0.005473																	0.000000	
 5 	 15		2.783376		0.000001																																																																																							-2.782897					0.000000																																																																																				-0.005838	0.005358																	0.000000	
