Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	PT_HEAT	ST_HEAT	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	BIOMASS_TO_POWER	PV_ROOFTOP	PV_UTILITY	PT_POWER_BLOCK	ST_POWER_BLOCK	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_DAM	HYDRO_RIVER	TIDAL	WAVE	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	COAL_STOVE	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	DEC_THHP_GAS_COLD	DEC_ELEC_COLD	IND_ELEC_COLD	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_GASOLINE	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	MOTORCYCLE	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	MOTORCYCLE_ELECTRIC	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_GASOLINE	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	SYN_METHANOLATION	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	EFFICIENCY	DHN	GRID	HVAC_LINE	PT_COLLECTOR	ST_COLLECTOR	H2_ELECTROLYSIS	SMR	H2_BIOMASS	GASIFICATION_SNG	SYN_METHANATION	BIOMETHANATION	BIO_HYDROLYSIS	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	AMMONIA_TO_H2	DAM_STORAGE_Pin	DAM_STORAGE_Pout	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_COAL_STOVE_Pin	TS_COAL_STOVE_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	PT_STORAGE_Pin	PT_STORAGE_Pout	ST_STORAGE_Pin	ST_STORAGE_Pout	TS_COLD_Pin	TS_COLD_Pout	CAES_Pin	CAES_Pout	END_USE	
 1 	 1			0.000000		0.192077																																																																															-0.192076								-0.000000												-0.000000																												0.000000																																														-0.003691	0.003689																			0.000000	
 1 	 2			0.000000		0.077388																																																																															-0.076896								-0.000000												-0.000000																												0.000000																																														-0.004046	0.003554																			0.000000	
 1 	 3			0.000000		0.039132																																																																															-0.038284								-0.000000												-0.000000																												0.000000																																														-0.004191	0.003344																			0.000000	
 1 	 4			0.000000		0.460249																																																																															-0.461375								-0.000000												-0.000000																												0.000000																																														-0.003041	0.004167																			0.000000	
 1 	 5			0.000000		1.229119																																																																															-1.230333								-0.000000												-0.000000																												0.000000																																														-0.003061	0.004275																			0.000000	
 1 	 6			0.000000		3.075224																																																																															-3.075833								-0.000000												-0.000000																												0.000000																																														-0.003453	0.004062																			0.000000	
 1 	 7			0.000000		5.959815																																																																															-5.958608								-0.000000												-0.000000																												0.000000																																														-0.004347	0.003140																			0.000000	
 1 	 8			0.000000		5.190387																																																																															-5.189748								-0.000000												-0.000000																												0.000000																																														-0.004055	0.003417																			0.000000	
 1 	 9			0.000000		4.805584																																																																															-4.805335								-0.000000												-0.000000																												0.000000																																														-0.003856	0.003607																			0.000000	
 1 	 10			0.000000		5.382578																																																																															-5.381988								-0.000000												-0.000000																												0.000000																																														-0.004021	0.003431																			0.000000	
 1 	 11			0.000000		6.151886																																																																															-6.150815								-0.000000												-0.000000																												0.000000																																														-0.004254	0.003183																			0.000000	
 1 	 12			0.000000		6.767346																																																																															-6.765916								-0.000000												-0.000000																												0.000000																																														-0.004427	0.002997																			0.000000	
 1 	 13			0.000000		6.151868																																																																															-6.150815								-0.000000												-0.000000																												0.000000																																														-0.004244	0.003191																			0.000000	
 1 	 14			0.000000		6.228790																																																																															-6.227711								-0.000000												-0.000000																												0.000000																																														-0.004256	0.003176																			0.000000	
 1 	 15			0.000000		6.998031																																																																															-6.996571								-0.000000												-0.000000																												0.000000																																														-0.004433	0.002973																			0.000000	
 1 	 16			0.000000		7.305604																																																																															-7.304122								-0.000000												-0.000000																												0.000000																																														-0.004433	0.002950																			0.000000	
 1 	 17			0.000000		7.305593																																																																															-7.304122								-0.000000												-0.000000																												0.000000																																														-0.004430	0.002958																			0.000000	
 1 	 18			0.000000		5.381716																																																																															-5.381988								-0.000000												-0.000000																												0.000000																																														-0.003620	0.003892																			0.000000	
 1 	 19			0.000000		3.842437																																																																															-3.844268								-0.000000												-0.000000																												0.000000																																														-0.002916	0.004747																			0.000000	
 1 	 20			0.000000		2.881226																																																																															-2.882775								-0.000000												-0.000000																												0.000000																																														-0.003001	0.004550																			0.000000	
 1 	 21			0.000000		1.919053																																																																															-1.920760								-0.000000												-0.000000																												0.000000																																														-0.002853	0.004559																			0.000000	
 1 	 22			0.000000		1.228998																																																																															-1.230333								-0.000000												-0.000000																												0.000000																																														-0.003032	0.004367																			0.000000	
 1 	 23			0.000000		0.767755																																																																															-0.768958								-0.000000												-0.000000																												0.000000																																														-0.003097	0.004300																			0.000000	
 1 	 24			0.000000		0.307005																																																																															-0.307583								-0.000000												-0.000000																												0.000000																																														-0.003377	0.003955																			0.000000	
 2 	 1			0.000000		0.191843																																																																															-0.192076								-0.000000												-0.000000																												0.000000																																														-0.003517	0.003749																			0.000000	
 2 	 2			0.000000		0.077598																																																																															-0.076896								-0.000000												-0.000000																												0.000000																																														-0.004151	0.003448																			0.000000	
 2 	 3			0.000000		0.039257																																																																															-0.038284								-0.000000												-0.000000																												0.000000																																														-0.004271	0.003299																			0.000000	
 2 	 4			0.000000		0.460076																																																																															-0.461375								-0.000000												-0.000000																												0.000000																																														-0.002954	0.004253																			0.000000	
 2 	 5			0.000000		1.228683																																																																															-1.230333								-0.000000												-0.000000																												0.000000																																														-0.002830	0.004480																			0.000000	
 2 	 6			0.000000		3.074504																																																																															-3.075833								-0.000000												-0.000000																												0.000000																																														-0.003085	0.004414																			0.000000	
 2 	 7			0.000000		5.959270																																																																															-5.958608								-0.000000												-0.000000																												0.000000																																														-0.004049	0.003388																			0.000000	
 2 	 8			0.000000		5.189845																																																																															-5.189748								-0.000000												-0.000000																												0.000000																																														-0.003777	0.003680																			0.000000	
 2 	 9			0.000000		4.805106																																																																															-4.805335								-0.000000												-0.000000																												0.000000																																														-0.003620	0.003848																			0.000000	
 2 	 10			0.000000		5.382192																																																																															-5.381988								-0.000000												-0.000000																												0.000000																																														-0.003827	0.003623																			0.000000	
 2 	 11			0.000000		6.151562																																																																															-6.150815								-0.000000												-0.000000																												0.000000																																														-0.004085	0.003339																			0.000000	
 2 	 12			0.000000		6.767048																																																																															-6.765916								-0.000000												-0.000000																												0.000000																																														-0.004267	0.003134																			0.000000	
 2 	 13			0.000000		6.151468																																																																															-6.150815								-0.000000												-0.000000																												0.000000																																														-0.004038	0.003385																			0.000000	
 2 	 14			0.000000		6.228360																																																																															-6.227711								-0.000000												-0.000000																												0.000000																																														-0.004034	0.003385																			0.000000	
