Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	PT_HEAT	ST_HEAT	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	BIOMASS_TO_POWER	PV_ROOFTOP	PV_UTILITY	PT_POWER_BLOCK	ST_POWER_BLOCK	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_DAM	HYDRO_RIVER	TIDAL	WAVE	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	COAL_STOVE	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	DEC_THHP_GAS_COLD	DEC_ELEC_COLD	IND_ELEC_COLD	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_GASOLINE	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	MOTORCYCLE	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	MOTORCYCLE_ELECTRIC	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_GASOLINE	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	SYN_METHANOLATION	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	EFFICIENCY	DHN	GRID	HVAC_LINE	PT_COLLECTOR	ST_COLLECTOR	H2_ELECTROLYSIS	SMR	H2_BIOMASS	GASIFICATION_SNG	SYN_METHANATION	BIOMETHANATION	BIO_HYDROLYSIS	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	AMMONIA_TO_H2	DAM_STORAGE_Pin	DAM_STORAGE_Pout	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_COAL_STOVE_Pin	TS_COAL_STOVE_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	PT_STORAGE_Pin	PT_STORAGE_Pout	ST_STORAGE_Pin	ST_STORAGE_Pout	TS_COLD_Pin	TS_COLD_Pout	CAES_Pin	CAES_Pout	END_USE	
 1 	 1											3.197588																								-0.000002																			-3.197582																						-0.000005																																																																																																																										0.000000	
 1 	 2											3.362629																								-0.000002																			-3.362622																						-0.000005																																																																																																																										0.000000	
 1 	 3											3.363352																								-0.000001																			-3.363346																						-0.000005																																																																																																																										0.000000	
 1 	 4											3.363518																								-0.000001																			-3.363512																						-0.000005																																																																																																																										0.000000	
 1 	 5											3.201258																								-0.000002																			-3.201252																						-0.000005																																																																																																																										0.000000	
 1 	 6											3.362807																								-0.000002																			-3.362800																						-0.000005																																																																																																																										0.000000	
 1 	 7											3.363384																								-0.000002																			-3.363377																						-0.000005																																																																																																																										0.000000	
 1 	 8											3.363525																								-0.000001																			-3.363519																						-0.000005																																																																																																																										0.000000	
 1 	 9											3.363589																								-0.000002																			-3.363583																						-0.000005																																																																																																																										0.000000	
 1 	 10											3.363625																								-0.000001																			-3.363619																						-0.000005																																																																																																																										0.000000	
 1 	 11											3.363648																								-0.000001																			-3.363642																						-0.000005																																																																																																																										0.000000	
 1 	 12											0.547795																								-0.000000																			-0.547790																						-0.000005																																																																																																																										0.000000	
 1 	 13											0.001005																								-0.000000																			-0.001000																						-0.000005																																																																																																																										0.000000	
 1 	 14											0.493276																								-0.000000																			-0.493271																						-0.000005																																																																																																																										0.000000	
 1 	 15											2.475980																								-0.000001																			-2.475975																						-0.000005																																																																																																																										0.000000	
 1 	 16											3.362957																								-0.000001																			-3.362951																						-0.000005																																																																																																																										0.000000	
 1 	 17											3.146582																								-0.000002																			-3.146576																						-0.000005																																																																																																																										0.000000	
 1 	 18											2.173606																								-0.000002																			-2.173600																						-0.000005																																																																																																																										0.000000	
 1 	 19											2.173838																								-0.000002																			-2.173832																						-0.000005																																																																																																																										0.000000	
 1 	 20											2.174830																								-0.000002																			-2.174823																						-0.000005																																																																																																																										0.000000	
 1 	 21											2.178316																								-0.000002																			-2.178310																						-0.000005																																																																																																																										0.000000	
 1 	 22											2.189214																								-0.000002																			-2.189208																						-0.000005																																																																																																																										0.000000	
 1 	 23											2.315291																								-0.000002																			-2.315285																						-0.000005																																																																																																																										0.000000	
 1 	 24											2.471640																								-0.000002																			-2.471633																						-0.000005																																																																																																																										0.000000	
 2 	 1											2.237157																								-0.000001																			-2.237152																						-0.000003																																																																																																																										0.000000	
 2 	 2											2.301448																								-0.000001																			-2.301443																						-0.000003																																																																																																																										0.000000	
 2 	 3											2.303035																								-0.000001																			-2.303030																						-0.000003																																																																																																																										0.000000	
 2 	 4											2.303467																								-0.000001																			-2.303463																						-0.000003																																																																																																																										0.000000	
 2 	 5											2.303335																								-0.000001																			-2.303330																						-0.000003																																																																																																																										0.000000	
 2 	 6											2.302536																								-0.000001																			-2.302531																						-0.000003																																																																																																																										0.000000	
 2 	 7											2.300864																								-0.000001																			-2.300859																						-0.000003																																																																																																																										0.000000	
 2 	 8											2.295447																								-0.000001																			-2.295442																						-0.000003																																																																																																																										0.000000	
 2 	 9											3.119560																								-0.000001																			-3.119555																						-0.000003																																																																																																																										0.000000	
 2 	 10											1.844572																								-0.000001																			-1.844568																						-0.000003																																																																																																																										0.000000	
 2 	 11											0.000307																								-0.000001																			-0.000303																						-0.000003																																																																																																																										0.000000	
 2 	 12											0.000347																								-0.000001																			-0.000343																						-0.000003																																																																																																																										0.000000	
 2 	 13											0.000393																								-0.000001																			-0.000389																						-0.000003																																																																																																																										0.000000	
 2 	 14											0.000452																								-0.000001																			-0.000448																						-0.000003																																																																																																																										0.000000	
 2 	 15											0.000532																								-0.000001																			-0.000527																						-0.000003																																																																																																																										0.000000	
 2 	 16											0.000647																								-0.000001																			-0.000643																						-0.000003																																																																																																																										0.000000	
 2 	 17											0.000831																								-0.000001																			-0.000827																						-0.000003																																																																																																																										0.000000	
 2 	 18											0.000972																								-0.000001																			-0.000968																						-0.000003																																																																																																																										0.000000	
 2 	 19											0.563126																								-0.000001																			-0.563122																						-0.000003																																																																																																																										0.000000	
 2 	 20											0.003538																								-0.000001																			-0.003533																						-0.000003																																																																																																																										0.000000	
 2 	 21											0.961814																								-0.000001																			-0.961809																						-0.000003																																																																																																																										0.000000	
 2 	 22											0.997057																								-0.000001																			-0.997053																						-0.000003																																																																																																																										0.000000	
 2 	 23											0.913777																								-0.000001																			-0.913773																						-0.000003																																																																																																																										0.000000	
 2 	 24											0.888618																								-0.000001																			-0.888614																						-0.000003																																																																																																																										0.000000	
 3 	 1											1.381934																								-0.000001																			-1.381929																						-0.000004																																																																																																																										0.000000	
 3 	 2											2.945679																								-0.000001																			-2.945675																						-0.000004																																																																																																																										0.000000	
 3 	 3											2.876948																								-0.000001																			-2.876944																						-0.000004																																																																																																																										0.000000	
 3 	 4											2.587619																								-0.000001																			-2.587615																						-0.000004																																																																																																																										0.000000	
 3 	 5											2.483395																								-0.000001																			-2.483390																						-0.000004																																																																																																																										0.000000	
 3 	 6											2.621958																								-0.000001																			-2.621953																						-0.000004																																																																																																																										0.000000	
 3 	 7											2.559373																								-0.000001																			-2.559368																						-0.000004																																																																																																																										0.000000	
