Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	PT_HEAT	ST_HEAT	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	BIOMASS_TO_POWER	PV_ROOFTOP	PV_UTILITY	PT_POWER_BLOCK	ST_POWER_BLOCK	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_DAM	HYDRO_RIVER	TIDAL	WAVE	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	COAL_STOVE	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	DEC_THHP_GAS_COLD	DEC_ELEC_COLD	IND_ELEC_COLD	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_GASOLINE	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	MOTORCYCLE	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	MOTORCYCLE_ELECTRIC	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_GASOLINE	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	SYN_METHANOLATION	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	EFFICIENCY	DHN	GRID	HVAC_LINE	PT_COLLECTOR	ST_COLLECTOR	H2_ELECTROLYSIS	SMR	H2_BIOMASS	GASIFICATION_SNG	SYN_METHANATION	BIOMETHANATION	BIO_HYDROLYSIS	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	AMMONIA_TO_H2	DAM_STORAGE_Pin	DAM_STORAGE_Pout	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_COAL_STOVE_Pin	TS_COAL_STOVE_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	PT_STORAGE_Pin	PT_STORAGE_Pout	ST_STORAGE_Pin	ST_STORAGE_Pout	TS_COLD_Pin	TS_COLD_Pout	CAES_Pin	CAES_Pout	END_USE	
 1 	 1										33.575010																																																			-0.000004	-0.000001																																																																			-33.574998	-0.000006																																																																				0.000000	
 1 	 2										33.575010																																																			-0.000004	-0.000001																																																																			-33.574998	-0.000006																																																																				0.000000	
 1 	 3										33.575009																																																			-0.000004	-0.000001																																																																			-33.574997	-0.000006																																																																				0.000000	
 1 	 4										33.575009																																																			-0.000004	-0.000001																																																																			-33.574997	-0.000006																																																																				0.000000	
 1 	 5										33.575009																																																			-0.000004	-0.000001																																																																			-33.574998	-0.000006																																																																				0.000000	
 1 	 6										33.575010																																																			-0.000004	-0.000001																																																																			-33.574998	-0.000006																																																																				0.000000	
 1 	 7										33.575010																																																			-0.000004	-0.000001																																																																			-33.574998	-0.000006																																																																				0.000000	
 1 	 8										33.575009																																																			-0.000004	-0.000001																																																																			-33.574998	-0.000006																																																																				0.000000	
 1 	 9										33.575009																																																			-0.000004	-0.000001																																																																			-33.574998	-0.000006																																																																				0.000000	
 1 	 10										33.575009																																																			-0.000004	-0.000001																																																																			-33.574997	-0.000006																																																																				0.000000	
 1 	 11										33.575005																																																			-0.000003	-0.000001																																																																			-33.574995	-0.000006																																																																				0.000000	
 1 	 12										33.575004																																																			-0.000002	-0.000001																																																																			-33.574995	-0.000005																																																																				0.000000	
 1 	 13										33.575004																																																			-0.000002	-0.000001																																																																			-33.574995	-0.000005																																																																				0.000000	
 1 	 14										33.575004																																																			-0.000002	-0.000001																																																																			-33.574995	-0.000005																																																																				0.000000	
 1 	 15										33.575005																																																			-0.000003	-0.000001																																																																			-33.574995	-0.000006																																																																				0.000000	
 1 	 16										33.575008																																																			-0.000004	-0.000001																																																																			-33.574997	-0.000006																																																																				0.000000	
 1 	 17										33.575010																																																			-0.000004	-0.000001																																																																			-33.574998	-0.000006																																																																				0.000000	
 1 	 18										33.575010																																																			-0.000004	-0.000001																																																																			-33.574998	-0.000006																																																																				0.000000	
 1 	 19										33.575010																																																			-0.000004	-0.000001																																																																			-33.574998	-0.000006																																																																				0.000000	
 1 	 20										33.575010																																																			-0.000004	-0.000001																																																																			-33.574998	-0.000006																																																																				0.000000	
 1 	 21										33.575010																																																			-0.000004	-0.000001																																																																			-33.574998	-0.000006																																																																				0.000000	
 1 	 22										33.575010																																																			-0.000004	-0.000001																																																																			-33.574998	-0.000006																																																																				0.000000	
 1 	 23										33.575010																																																			-0.000004	-0.000001																																																																			-33.574999	-0.000006																																																																				0.000000	
 1 	 24										33.575011																																																			-0.000004	-0.000001																																																																			-33.574999	-0.000006																																																																				0.000000	
 2 	 1										33.574865																																																			-0.000004	-0.000001																																																																			-33.574855	-0.000005																																																																				0.000000	
 2 	 2										33.574865																																																			-0.000004	-0.000001																																																																			-33.574855	-0.000005																																																																				0.000000	
 2 	 3										33.574864																																																			-0.000004	-0.000001																																																																			-33.574854	-0.000005																																																																				0.000000	
 2 	 4										33.574864																																																			-0.000004	-0.000001																																																																			-33.574854	-0.000005																																																																				0.000000	
 2 	 5										33.574864																																																			-0.000004	-0.000001																																																																			-33.574854	-0.000005																																																																				0.000000	
 2 	 6										33.574864																																																			-0.000004	-0.000001																																																																			-33.574855	-0.000005																																																																				0.000000	
 2 	 7										33.574834																																																			-0.000004	-0.000001																																																																			-33.574825	-0.000005																																																																				0.000000	
 2 	 8										33.574835																																																			-0.000004	-0.000001																																																																			-33.574825	-0.000005																																																																				0.000000	
 2 	 9										33.574834																																																			-0.000003	-0.000001																																																																			-33.574825	-0.000004																																																																				0.000000	
 2 	 10										31.500298																																																			-0.000003	-0.000001																																																																			-31.500289	-0.000004																																																																				0.000000	
 2 	 11										30.107717																																																			-0.000003	-0.000001																																																																			-30.107710	-0.000004																																																																				0.000000	
 2 	 12										28.951744																																																			-0.000003	-0.000001																																																																			-28.951736	-0.000004																																																																				0.000000	
 2 	 13										27.785107																																																			-0.000003	-0.000001																																																																			-27.785099	-0.000004																																																																				0.000000	
 2 	 14										26.632429																																																			-0.000003	-0.000001																																																																			-26.632421	-0.000004																																																																				0.000000	
 2 	 15										25.541220																																																			-0.000003	-0.000001																																																																			-25.541212	-0.000004																																																																				0.000000	
 2 	 16										24.590341																																																			-0.000003	-0.000001																																																																			-24.590333	-0.000004																																																																				0.000000	
 2 	 17										23.834379																																																			-0.000003	-0.000001																																																																			-23.834371	-0.000004																																																																				0.000000	
 2 	 18										23.347701																																																			-0.000003	-0.000001																																																																			-23.347693	-0.000004																																																																				0.000000	
 2 	 19										23.698986																																																			-0.000003	-0.000001																																																																			-23.698978	-0.000004																																																																				0.000000	
 2 	 20										23.376124																																																			-0.000003	-0.000001																																																																			-23.376116	-0.000004																																																																				0.000000	
 2 	 21										23.122185																																																			-0.000003	-0.000001																																																																			-23.122177	-0.000004																																																																				0.000000	
 2 	 22										22.914918																																																			-0.000003	-0.000001																																																																			-22.914910	-0.000004																																																																				0.000000	
 2 	 23										22.783279																																																			-0.000003	-0.000001																																																																			-22.783270	-0.000004																																																																				0.000000	
 2 	 24										22.655897																																																			-0.000003	-0.000001																																																																			-22.655889	-0.000004																																																																				0.000000	
 3 	 1										17.330371																																																			-0.000003	-0.000001																																																																			-17.330362	-0.000005																																																																				0.000000	
 3 	 2										16.472177																																																			-0.000003	-0.000001																																																																			-16.472168	-0.000005																																																																				0.000000	
 3 	 3										15.944465																																																			-0.000003	-0.000001																																																																			-15.944456	-0.000005																																																																				0.000000	
 3 	 4										15.712018																																																			-0.000003	-0.000001																																																																			-15.712009	-0.000005																																																																				0.000000	
 3 	 5										15.322291																																																			-0.000003	-0.000001																																																																			-15.322282	-0.000005																																																																				0.000000	
 3 	 6										15.230077																																																			-0.000003	-0.000001																																																																			-15.230068	-0.000005																																																																				0.000000	
 3 	 7										15.599203																																																			-0.000003	-0.000001																																																																			-15.599195	-0.000005																																																																				0.000000	
 3 	 8										15.657186																																																			-0.000003	-0.000001																																																																			-15.657177	-0.000005																																																																				0.000000	
 3 	 9										16.143370																																																			-0.000003	-0.000001																																																																			-16.143362	-0.000005																																																																				0.000000	
 3 	 10										16.005942																																																			-0.000003	-0.000001																																																																			-16.005934	-0.000005																																																																				0.000000	
 3 	 11										16.027861																																																			-0.000003	-0.000001																																																																			-16.027853	-0.000005																																																																				0.000000	
 3 	 12										15.913924																																																			-0.000003	-0.000001																																																																			-15.913916	-0.000005																																																																				0.000000	
 3 	 13										15.673912																																																			-0.000003	-0.000001																																																																			-15.673904	-0.000005																																																																				0.000000	
 3 	 14										15.034706																																																			-0.000003	-0.000001																																																																			-15.034698	-0.000005																																																																				0.000000	
 3 	 15										15.019506																																																			-0.000003	-0.000001																																																																			-15.019498	-0.000005																																																																				0.000000	
 3 	 16										14.738582																																																			-0.000003	-0.000001																																																																			-14.738574	-0.000005																																																																				0.000000	
 3 	 17										14.438698																																																			-0.000003	-0.000001																																																																			-14.438690	-0.000005																																																																				0.000000	
 3 	 18										14.204377																																																			-0.000003	-0.000001																																																																			-14.204368	-0.000005																																																																				0.000000	
 3 	 19										14.721526																																																			-0.000003	-0.000001																																																																			-14.721516	-0.000005																																																																				0.000000	
 3 	 20										14.454575																																																			-0.000003	-0.000001																																																																			-14.454565	-0.000005																																																																				0.000000	
 3 	 21										25.186255																																																			-0.000003	-0.000001																																																																			-25.186246	-0.000005																																																																				0.000000	
 3 	 22										33.574729																																																			-0.000003	-0.000001																																																																			-33.574720	-0.000005																																																																				0.000000	
 3 	 23										33.574710																																																			-0.000003	-0.000001																																																																			-33.574701	-0.000005																																																																				0.000000	
 3 	 24										33.574712																																																			-0.000003	-0.000001																																																																			-33.574703	-0.000005																																																																				0.000000	
 4 	 1										33.574724																																																			-0.000003	-0.000001																																																																			-33.574716	-0.000004																																																																				0.000000	
 4 	 2										33.574725																																																			-0.000003	-0.000001																																																																			-33.574716	-0.000004																																																																				0.000000	
 4 	 3										33.574724																																																			-0.000003	-0.000001																																																																			-33.574716	-0.000004																																																																				0.000000	
 4 	 4										33.574723																																																			-0.000003	-0.000001																																																																			-33.574715	-0.000004																																																																				0.000000	
 4 	 5										33.574723																																																			-0.000003	-0.000001																																																																			-33.574715	-0.000004																																																																				0.000000	
 4 	 6										33.574723																																																			-0.000003	-0.000001																																																																			-33.574715	-0.000004																																																																				0.000000	
 4 	 7										33.574669																																																			-0.000003	-0.000001																																																																			-33.574661	-0.000004																																																																				0.000000	
 4 	 8										33.574671																																																			-0.000003	-0.000001																																																																			-33.574662	-0.000004																																																																				0.000000	
 4 	 9										33.574670																																																			-0.000003	-0.000001																																																																			-33.574662	-0.000004																																																																				0.000000	
 4 	 10										33.574669																																																			-0.000003	-0.000001																																																																			-33.574661	-0.000004																																																																				0.000000	
 4 	 11										33.574670																																																			-0.000003	-0.000001																																																																			-33.574662	-0.000004																																																																				0.000000	
 4 	 12										33.574670																																																			-0.000003	-0.000001																																																																			-33.574662	-0.000004																																																																				0.000000	
 4 	 13										33.574669																																																			-0.000003	-0.000001																																																																			-33.574662	-0.000004																																																																				0.000000	
 4 	 14										33.574669																																																			-0.000003	-0.000001																																																																			-33.574662	-0.000004																																																																				0.000000	
 4 	 15										33.574669																																																			-0.000003	-0.000001																																																																			-33.574662	-0.000004																																																																				0.000000	
 4 	 16										33.574668																																																			-0.000003	-0.000001																																																																			-33.574661	-0.000004																																																																				0.000000	
 4 	 17										33.574669																																																			-0.000003	-0.000001																																																																			-33.574661	-0.000004																																																																				0.000000	
 4 	 18										33.574669																																																			-0.000003	-0.000001																																																																			-33.574661	-0.000004																																																																				0.000000	
 4 	 19										33.574723																																																			-0.000003	-0.000001																																																																			-33.574715	-0.000004																																																																				0.000000	
 4 	 20										33.574724																																																			-0.000003	-0.000001																																																																			-33.574715	-0.000004																																																																				0.000000	
