;;;Availability;Direct and indirect emissions;Price;Direct emissions;
;;units;[GWh/y];[ktCO2-eq./GWh];[Meuro/GWh];[ktCO2-eq./GWh];
Category;Subcategory;parameter name;avail;gwp_op;c_op;CO2_op;Comment
Non-renewable;Other non-renewable;ELECTRICITY;120;0.413;0.089843;0;
Non-renewable;Fossil fuel;GASOLINE;63438;0.3448;0.0924284;0.25;
Non-renewable;Fossil fuel;DIESEL;70949;0.3148;0.0894863;0.27;
Renewable;Biofuel;BIOETHANOL;7166;0;0.1726925;0.25;
Renewable;Biofuel;BIODIESEL;2541;0;0.1852261;0.27;
Non-renewable;Fossil fuel;LFO;625000000000000;0.3115;0.0674993;0.26;
Non-renewable;Fossil fuel;GAS;667000000000000;0.2666;0.0474181;0.2;
Renewable;Biofuel;IMPORTED_GAS;0;0.2666;0.1865682;0.2;
Renewable;Biomass;WOOD;1000000000000;0.0118;0.0424658;0.39;
Renewable;Biomass;WET_BIOMASS;1000000000000;0.0118;0.0074503;0.39;
Non-renewable;Fossil fuel;IMPORTED_COAL;100000000000000;0.4014;0.0219138;0.36;
Non-renewable;Fossil fuel;LOCAL_COAL;100000000000000;0.4014;0.0219138;0.36;
Non-renewable;Other non-renewable;URANIUM;0;0.0039;0.005464;0;
Non-renewable;Other non-renewable;WASTE;10347;0.1501;0.0298687;0.26;
Non-renewable;Other non-renewable;H2;605000000000000;0.414;0.1094533;0;
Renewable;Biofuel;H2_RE;0;0;0.1943328;0;
Non-renewable;Other non-renewable;AMMONIA;635000000000000;0.285;0.1014871;0;
Non-renewable;Other non-renewable;METHANOL;620000000000000;0.35;0.1144465;0.25;
Renewable;Biofuel;AMMONIA_RE;0;0;0.1307511;0;
Renewable;Biofuel;METHANOL_RE;0;0;0.1726925;0;
Export;Export;ELEC_EXPORT;567000000000000;0;0;0;
Export;Export;CO2_EMISSIONS;689000000000000;0;0;0;
Renewable;Non-biomass;RES_WIND;683000000000000;0;0;0;
Renewable;Non-biomass;RES_SOLAR;624000000000000;0;0;0;
Renewable;Non-biomass;RES_HYDRO;612000000000000;0;0;0;
Renewable;Non-biomass;RES_GEO;602000000000000;0;0;0;
Others;Others;CO2_ATM ;617000000000000;0;0;0;
Others;Others;CO2_INDUSTRY ;0;0;0;0;
Others;Others;CO2_CAPTURED;0;0;0;0;
Others;Others;PT_HEAT;0;0;0;0;
Others;Others;ST_HEAT;0;0;0;0;
