Category;Subcategory;Technologies name;Technologies param;c_inv;c_maint;gwp_constr;lifetime;c_p;fmin_perc;fmax_perc;f_min;f_max;Comment
;;Name (simplified);Name (in model and documents);"[MUSD/GW]
[MUSD/GWh] 
[MUSD/(Mkmpass/h)] 
[MUSD/(Mtonkm/h)]";"[MUSD/GW]
[MUSD/GWh] 
[MUSD/(Mkmpass/h)] 
[MUSD/(Mtonkm/h)]";"[ktonCO2_eq/GW]
[ktonCO2_eq/GWh]
[ktonCO2_eq/(Mkmpass/h)]
[ktonCO2_eq/(Mtonkm/h)]";[years];[];[];[];[GW];[GW];
Electricity;Electricity;Nuclear;NUCLEAR;6844.0959;145.100421;707.88;60;0.843906;0;1;0;0;
Electricity;Electricity;Combined cycle gas turbine;CCGT;1060.5268;27.813381;183.79;25;0.85;0;1;0;1000000000000000;
Electricity;Electricity;Amonia combined cycle gas turbine;CCGT_AMMONIA ;1060.5268;27.559635;183.79;25;0.961538462;0;1;0;1000000000000000;
Electricity;Electricity;Power plant with imported coal;IMPORTED_COAL_CENTRAL;3438.679;40.1482;331.6;35;0.868;0;1;0;0;
Electricity;Electricity;Power plant with local coal;LOCAL_COAL_CENTRAL;3438.679;40.1482;331.6;35;0.856;0;1;0;1000000000000000;
Electricity;Electricity;Biomass power plant;BIOMASS_TO_POWER;2296.54297485;88.42427832;331.6;35;0.856;0;1;0;1000000000000000;
Electricity;Electricity;Photovoltaic rooftop;PV_ROOFTOP;864.58085148;12.02304936;2081.43;40;1;0;1;0.3;98.4;
Electricity;Electricity;Photovoltaic utility scale;PV_UTILITY;392.5193;10.0139;2081.43;40;1;0;1;0;708;
Electricity;Electricity;Parabolic trough power block;PT_POWER_BLOCK;1472.530329;88.317705;0;25;1;0;1;0;1000000000000000;
Electricity;Electricity;Solar tower power block;ST_POWER_BLOCK;1082.917443;88.8111;0;25;1;0;1;0;1000000000000000;
Electricity;Electricity;Wind onshore;WIND_ONSHORE;1355.9014;22.5213672;622.85;30;1;0;1;0;7.3;
Electricity;Electricity;Wind offshore;WIND_OFFSHORE;1610.6555;64.11752607;622.85;30;1;0;1;0;48.8;
Electricity;Electricity;Hydro dam;HYDRO_DAM;3116.1722;31.1617;1692.88;40;1;0;1;10.536;21.2;
Electricity;Electricity;Hydro river;HYDRO_RIVER;2825.1675;28.2522;1262.82;40;1;0;1;3.777;3.8;
Electricity;Electricity;Tidal;TIDAL;4041.6099;250.9266;0;20;1;0;1;0;0;
Electricity;Electricity;Wave;WAVE;2691.1173;59.2074;0;20;1;0;1;0;0;
Electricity;Electricity;Geothermal power plant;GEOTHERMAL;9854.9315;183.0828;24929.09;30;0.86;0;1;0;1.2;
Heat;Heat high temperature;Cogeneration gas (industry);IND_COGEN_GAS;1849.958;118.9132;1024.32;25;0.85;0;1;0;1000000000000000;
Heat;Heat high temperature;Cogeneration wood (industry);IND_COGEN_WOOD;1420.0101;51.9899;165.33;25;0.85;0;1;0;1000000000000000;
Heat;Heat high temperature;Cogeneration waste (industry);IND_COGEN_WASTE;3746.2708;138.1073;647.82;25;0.85;0;1;0;1000000000000000;
Heat;Heat high temperature;Boiler gas (industry);IND_BOILER_GAS;83.1761;1.6665;12.32;17;0.95;0;1;0;1000000000000000;
Heat;Heat high temperature;Boiler wood (industry);IND_BOILER_WOOD;162.6799;3.2536;28.87;17;0.9;0;1;0;1000000000000000;
Heat;Heat high temperature;Boiler oil (industry);IND_BOILER_OIL;77.4841;1.6665;12.32;17;0.95;0;1;0;1000000000000000;
Heat;Heat high temperature;Boiler coal (industry);IND_BOILER_COAL;162.6799;3.2536;48.18;17;0.9;0;1;0;1000000000000000;
Heat;Heat high temperature;Boiler waste (industry);IND_BOILER_WASTE;162.6799;3.2536;28.87;17;0.9;0;1;0;1000000000000000;
Heat;Heat high temperature;Electrical resistors (industry);IND_DIRECT_ELEC;469.3961;2.1294;1.47;15;0.95;0;1;0;1000000000000000;
Heat;Heat low temperature centralised;Heat pump (DHN);DHN_HP_ELEC;448.8316;15.2195;174.79;25;0.95;0;1;0;1000000000000000;
Heat;Heat low temperature centralised;Cogeneration gas (DHN);DHN_COGEN_GAS;1648.2253;48.1905;490.88;25;0.85;0;1;0;1000000000000000;
Heat;Heat low temperature centralised;Cogeneration wood (DHN);DHN_COGEN_WOOD;1420.0101;51.9899;165.33;25;0.85;0;1;0;1000000000000000;
Heat;Heat low temperature centralised;Cogeneration waste (DHN);DHN_COGEN_WASTE;3746.2708;138.1073;647.82;25;0.85;0;1;0;1000000000000000;
Heat;Heat low temperature centralised;Cogeneration wet biomass (DHN);DHN_COGEN_WET_BIOMASS;1805.8206;146.9658;1513;25;0.7455;0;1;0;1000000000000000;
Heat;Heat low temperature centralised;Cogeneration hydrolysis (DHN);DHN_COGEN_BIO_HYDROLYSIS;5960.8392;291.2684;988;15;0.8449;0;1;0;1000000000000000;
Heat;Heat low temperature centralised;Boiler gas (DHN);DHN_BOILER_GAS;83.1761;1.6665;12.32;17;0.95;0;1;0;1000000000000000;
Heat;Heat low temperature centralised;Boiler wood (DHN);DHN_BOILER_WOOD;162.6799;3.2536;28.87;17;0.9;0;1;0;1000000000000000;
Heat;Heat low temperature centralised;Boiler oil (DHN);DHN_BOILER_OIL;77.4841;1.6665;12.32;17;0.95;0;1;0;1000000000000000;
Heat;Heat low temperature centralised;Geothermal (DHN);DHN_DEEP_GEO;2023.7393;75.8241;808.76;30;0.85;0;1;0;0;
Heat;Heat low temperature centralised;Solar thermal (DHN);DHN_SOLAR;489.6781;0.5776;221.22;30;1;0;1;0;1000000000000000;
Heat;Heat low temperature decentralised;Electrical heat pump (decentralised);DEC_HP_ELEC;640.5645;26.7083;164.89;18;1;0;1;0;1000000000000000;
Heat;Heat low temperature decentralised;Thermal heat pump gas (decentralised);DEC_THHP_GAS;410.194506;12.0116;381.93;20;1;0;1;0;1000000000000000;
Heat;Heat low temperature decentralised;Cogeneration gas (decentralised);DEC_COGEN_GAS;1849.958;118.9132;1024.32;20;1;0;1;0;1000000000000000;
Heat;Heat low temperature decentralised;Cogeneration oil (decentralised);DEC_COGEN_OIL;1715.3283;105.2423;1024.32;20;1;0;1;0;1000000000000000;
Heat;Heat low temperature decentralised;Advanced cogeneration (Fuel cell) gas (decentralised);DEC_ADVCOGEN_GAS;7983.5898;148.7845;2193.45;20;1;0;1;0;1000000000000000;
Heat;Heat low temperature decentralised;Advanced cogeneration (Fuel cell) gas (decentralised);DEC_ADVCOGEN_H2;7983.5898;148.7845;2193.45;20;1;0;1;0;1000000000000000;
