Category;Subcategory;Technologies name;Technologies param;c_inv;c_maint;gwp_constr;lifetime;c_p;fmin_perc;fmax_perc;f_min;f_max;Comment
;;Name (simplified);Name (in model and documents);"[MUSD/GW]
[MUSD/GWh] 
[MUSD/(Mkmpass/h)] 
[MUSD/(Mtonkm/h)]";"[MUSD/GW]
[MUSD/GWh] 
[MUSD/(Mkmpass/h)] 
[MUSD/(Mtonkm/h)]";"[ktonCO2_eq/GW]
[ktonCO2_eq/GWh]
[ktonCO2_eq/(Mkmpass/h)]
[ktonCO2_eq/(Mtonkm/h)]";[years];[];[];[];[GW];[GW];
Electricity;Electricity;Nuclear;NUCLEAR;8750.617;145.1018109642;707.88;60;0.843906;0;1;0;0;
Electricity;Electricity;Combined cycle gas turbine;CCGT;875.062;27.813820586751;183.79;25;0.955769231;0;1;8.17;40;
Electricity;Electricity;Amonia combined cycle gas turbine;CCGT_AMMONIA ;875.062;27.562490883036;183.79;25;0.59;0;1;0;0;
Electricity;Electricity;Coal power plant;IMPORTED_COAL_CENTRAL;1283.424;42.8549;331.6;35;0.862792;0;1;0;0;
Electricity;Electricity;Lignite power plant;LOCAL_COAL_CENTRAL;1400.099;66.6678806474623;331.6;35;0.850864;0;1;12.24;12.24;
Electricity;Electricity;Biomass power plant;BIOMASS_TO_POWER;2526.60531;98.39706;331.6;35;0.868;0;1;0;0;
Electricity;Electricity;Photovoltaic rooftop;PV_ROOFTOP;1040.19888099;13.7117126318412;2081.43;25;1;0;1;5.995;5.995;
Electricity;Electricity;Photovoltaic utility scale;PV_UTILITY;756.501408;15.2963;2081.43;25;1;0;1;0;0;
Electricity;Electricity;Parabolic trough power block;PT_POWER_BLOCK;1472.530329;88.317705;0;25;1;0;1;0;0;
Electricity;Electricity;Solar tower power block;ST_POWER_BLOCK;70.485;7.0485;0;25;1;0;1;0;0;
Electricity;Electricity;Wind onshore;WIND_ONSHORE;1050.074;26.92527;622.85;30;1;0;1;7.591;7.591;
Electricity;Electricity;Wind offshore;WIND_OFFSHORE;1527.278;95.239332;622.85;30;1;0;1;0;0;
Electricity;Electricity;Hydro dam;HYDRO_DAM;2333.498;11.667;1692.88;40;1;0;1;15;15.677;
Electricity;Electricity;Hydro river;HYDRO_RIVER;1750.123;8.167;1262.82;40;1;0;1;12.8;12.826;
Electricity;Electricity;Tidal;TIDAL;4041.6099;138.656;0;40;1;0;1;0;0;
Electricity;Electricity;Wave;WAVE;2691.1173;59.2074;0;20;1;0;0;0;0;
Electricity;Electricity;Geothermal power plant;GEOTHERMAL;4375.309;229.9699;24929.09;30;0.85;0;1;1.2;1.2;
Heat;Heat high temperature;Cogeneration gas (industry);IND_COGEN_GAS;2154.16257;138.732;1024.32;25;0.8449;0;1;0;0;
Heat;Heat high temperature;Cogeneration wood (industry);IND_COGEN_WOOD;1653.507615;60.6549;165.33;25;0.8449;0;1;0;0;
Heat;Heat high temperature;Cogeneration waste (industry);IND_COGEN_WASTE;4486.948227;165.7288;647.82;25;0.8449;0;1;0;0;
Heat;Heat high temperature;Boiler gas (industry);IND_BOILER_GAS;99.623499;1.9998;12.32;17;0.9443;0;1;7.4363;7.436315;
Heat;Heat high temperature;Boiler wood (industry);IND_BOILER_WOOD;194.848734;3.9043;28.87;17;0.8946;0;1;0;0;
Heat;Heat high temperature;Boiler oil (industry);IND_BOILER_OIL;92.800551;1.9998;12.32;17;0.9443;0;1;0;1000000000000000;
Heat;Heat high temperature;Boiler coal (industry);IND_BOILER_COAL;194.848734;3.9043;48.18;17;0.8946;0;1;2.95;2.95;
Heat;Heat high temperature;Boiler waste (industry);IND_BOILER_WASTE;194.848734;3.9043;28.87;17;0.8946;0;1;0;1000000000000000;
Heat;Heat high temperature;Electrical resistors (industry);IND_DIRECT_ELEC;546.582981;2.4843;1.47;15;0.9443;0;1;0;0;
Heat;Heat low temperature centralised;Heat pump (DHN);DHN_HP_ELEC;557.860581;18.9525;174.79;25;0.9443;0;1;0;0;
