Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	IMPORTED_GAS	WOOD	WET_BIOMASS	IMPORTED_COAL	LOCAL_COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	PT_HEAT	ST_HEAT	NUCLEAR	CCGT	CCGT_AMMONIA	IMPORTED_COAL_CENTRAL	LOCAL_COAL_CENTRAL	BIOMASS_TO_POWER	PV_ROOFTOP	PV_UTILITY	PT_POWER_BLOCK	ST_POWER_BLOCK	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_DAM	HYDRO_RIVER	TIDAL	WAVE	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	COAL_STOVE	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	DEC_THHP_GAS_COLD	DEC_ELEC_COLD	IND_ELEC_COLD	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_GASOLINE	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	MOTORCYCLE	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	MOTORCYCLE_ELECTRIC	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_GASOLINE	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	EFFICIENCY	H2_INFRASTRUCTURE	DHN	GRID	HVAC_LINE	PT_COLLECTOR	ST_COLLECTOR	H2_ELECTROLYSIS	SMR	H2_BIOMASS	GASIFICATION_SNG	SYN_METHANATION	BIOMETHANATION	BIO_HYDROLYSIS	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	SYN_METHANOLATION	AMMONIA_TO_H2	DAM_STORAGE_Pin	DAM_STORAGE_Pout	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_COAL_STOVE_Pin	TS_COAL_STOVE_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	PT_STORAGE_Pin	PT_STORAGE_Pout	ST_STORAGE_Pin	ST_STORAGE_Pout	TS_COLD_Pin	TS_COLD_Pout	CAES_Pin	CAES_Pout	END_USE	
 1 	 1	0.034549																				0.000000												1.844532			0.450257	0.161158	0.000000				0.000826		2.512611	1.166790				0.286895								-0.000000			0.017397												0.000000								-0.000000		-0.125103	-0.015745							-0.000000											-0.180294										-0.000000	-0.054237				-0.000000	0.000000								-0.000000									-0.000000	-0.000000	-0.000000		-2.512611	4.944167			-0.000000	0.000000																																																							-0.000000	0.000000	-8.531192	
 1 	 2	0.034590																				0.000000												1.844782			0.450388	0.161208	0.000000				0.000832		2.512611	1.166790				0.287084								-0.000000			0.017397												0.000000								-0.000000		-0.120762	-0.015745							-0.000000											-0.180294										-0.000000	-0.054237				-0.000000	0.000000								-0.000000									-0.000000	-0.000000	-0.000000		-2.512611	4.885968			-0.000000	0.000000																																																							-0.000000	0.000000	-8.478002	
 1 	 3	0.034681																				-0.000000												1.831404			0.449553	0.160986	0.000000				0.000912		2.512611	1.166790				0.287988								-0.000000			0.110022												0.000000								-0.000000		-0.116421	-0.015745							-0.000000											-0.180294										-0.000000	-0.054237				-0.000000	0.000000								-0.000000									-0.000000	-0.000000	-0.000000		-2.512611	4.769384			-0.000000	0.000000																																																							-0.000000	0.000000	-8.445023	
 1 	 4	0.035499																				-0.000000												1.763728			0.456984	0.158224	0.000000				0.000949		2.512611	1.166790				0.286292								-0.000000			0.272629												0.000000								-0.000000		-0.113461	-0.015745							-0.000000											-0.180294										-0.000000	-0.054237				-0.000000	0.000000								-0.000000									-0.000000	-0.000000	-0.000000		-2.512611	4.653955			-0.000000	0.000000																																																							-0.000000	0.000000	-8.431312	
 1 	 5	0.035756																				-0.000000												1.744649			0.458469	0.158377	0.000000				0.001079		2.512611	1.166790				0.287071								-0.000000			0.297833												0.000000								-0.000000		-0.113066	-0.015745							-0.000000											-0.180294										-0.000000	-0.054237				-0.000000	0.000000								-0.000000									-0.000000	-0.000000	-0.000000		-2.512611	4.679920			-0.000000	0.000000																																																							-0.000000	0.000000	-8.466601	
 1 	 6	0.035947																				0.000000												1.751503			0.459692	0.158666	0.000000				0.001207		2.512611	1.166790				0.287309								-0.000000			0.317783												0.000000								-0.000000		-0.111488	-0.015745							-0.000000											-0.180294										-0.000000	-0.054237				-0.000000	0.000000								-0.000000									-0.000000	-0.000000	-0.000000		-2.512611	4.744420			-0.000000	0.000000																																																							-0.000000	0.000000	-8.561555	
 1 	 7	0.035930																				0.000000												1.769001			0.459963	0.158730	0.021684				0.001050		2.512611	1.166790				0.293824								-0.000000			0.299888												0.000000								-0.000000		-0.113658	-0.015745							-0.000000											-0.180294										-0.000000	-0.054237				-0.000000	0.000000								-0.000000									-0.000000	-0.000000	-0.000000		-2.512611	4.745636			-0.000000	0.000000																																																							-0.000000	0.000000	-8.588562	
 1 	 8	0.036102																				0.000000												1.850322			0.462171	0.159032	0.072009				0.001203		2.512611	1.166790				0.294766								-0.000000			0.017397												0.000000								-0.000000		-0.145427	-0.015745							-0.000000											-0.180294										-0.000000	-0.054237				-0.000000	0.000000								-0.000000									-0.000000	-0.000000	-0.000000		-2.512611	4.992804			-0.000000	0.000000																																																							-0.000000	0.000000	-8.656894	
 1 	 9	0.036108																				-0.000000												1.854606			0.462366	0.159077	0.117153				0.001611		2.512611	1.166790				0.294252								-0.000000			0.017397												0.000000								-0.000000		-0.193179	-0.015745							-0.000000											-0.180294										-0.000000	-0.054237				-0.000000	0.000000								-0.000000									-0.000000	-0.000000	-0.000000		-2.512611	5.068563			-0.000000	0.000000																																																							-0.000000	0.000000	-8.734467	
 1 	 10	0.036165																				0.000000												1.854346			0.462608	0.159138	0.146756				0.001689		2.512611	1.166790				0.294531								-0.000000			0.017397												0.000000								-0.000000		-0.237561	-0.015745							-0.000000											-0.180294										-0.000000	-0.054237				-0.000000	0.000000								-0.000000									-0.000000	-0.000000	-0.000000		-2.512611	5.133605			-0.000000	0.000000																																																							-0.000000	0.000000	-8.785189	
 1 	 11	0.036196																				0.000000												1.854281			0.462952	0.159176	0.163334				0.001525		2.512611	1.166790				0.294689								-0.000000			0.017397												0.000000								-0.000000		-0.269500	-0.015745							-0.000000											-0.180294										-0.000000	-0.054237				-0.000000	0.000000								-0.000000									-0.000000	-0.000000	-0.000000		-2.512611	5.209551			-0.000000	0.000000																																																							-0.000000	0.000000	-8.846114	
 1 	 12	0.036196																				0.000000												1.854381			0.463097	0.159188	0.170364				0.001245		2.512611	1.166790				0.294722								-0.000000			0.017397												0.000000								-0.000000		-0.284652	-0.015745							-0.000000											-0.180294										-0.000000	-0.054237				-0.000000	0.000000								-0.000000									-0.000000	-0.000000	-0.000000		-2.512611	5.266444			-0.000000	0.000000																																																							-0.000000	0.000000	-8.894894	
 1 	 13	0.036204																				0.000000												1.855692			0.463093	0.159182	0.162890				0.000953		2.512611	1.166790				0.294514								-0.000000			0.017397												0.000000								-0.000000		-0.283351	-0.015745							-0.000000											-0.180294										-0.000000	-0.054237				-0.000000	0.000000								-0.000000									-0.000000	-0.000000	-0.000000		-2.512611	5.260127			-0.000000	0.000000																																																							-0.000000	0.000000	-8.883216	
