Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	IMPORTED_GAS	WOOD	WET_BIOMASS	IMPORTED_COAL	LOCAL_COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	PT_HEAT	ST_HEAT	NUCLEAR	CCGT	CCGT_AMMONIA	IMPORTED_COAL_CENTRAL	LOCAL_COAL_CENTRAL	BIOMASS_TO_POWER	PV_ROOFTOP	PV_UTILITY	PT_POWER_BLOCK	ST_POWER_BLOCK	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_DAM	HYDRO_RIVER	TIDAL	WAVE	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	COAL_STOVE	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	DEC_THHP_GAS_COLD	DEC_ELEC_COLD	IND_ELEC_COLD	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_GASOLINE	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	MOTORCYCLE	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	MOTORCYCLE_ELECTRIC	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_GASOLINE	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	EFFICIENCY	H2_INFRASTRUCTURE	DHN	GRID	HVAC_LINE	PT_COLLECTOR	ST_COLLECTOR	H2_ELECTROLYSIS	SMR	H2_BIOMASS	GASIFICATION_SNG	SYN_METHANATION	BIOMETHANATION	BIO_HYDROLYSIS	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	SYN_METHANOLATION	AMMONIA_TO_H2	DAM_STORAGE_Pin	DAM_STORAGE_Pout	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_COAL_STOVE_Pin	TS_COAL_STOVE_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	PT_STORAGE_Pin	PT_STORAGE_Pout	ST_STORAGE_Pin	ST_STORAGE_Pout	TS_COLD_Pin	TS_COLD_Pout	CAES_Pin	CAES_Pout	END_USE	
 1 	 1		1.521147		1.081059																																																																																		-0.129722					-0.047588	-0.112434														-2.312462																																																																												-0.000000	0.000000																	0.000000	
 1 	 2		1.441938		0.986521																																																																																		-0.051933					-0.019051	-0.045012														-2.312462																																																																												-0.000000	0.000000																	0.000000	
 1 	 3		1.404243		0.965971																																																																																		-0.025856					-0.009485	-0.022410														-2.312462																																																																												-0.000000	0.000000																	0.000000	
 1 	 4		1.778062		1.230377																																																																																		-0.311598					-0.114307	-0.270071														-2.312462																																																																												-0.000000	0.000000																	0.000000	
 1 	 5		2.758997		1.409403																																																																																		-0.830928					-0.304820	-0.720191														-2.312462																																																																												-0.000000	0.000000																	0.000000	
 1 	 6		5.097435		1.854871																																																																																		-2.077319					-0.762049	-1.800476														-2.312462																																																																												-0.000000	0.000000																	0.000000	
 1 	 7		9.332837		1.968090																																																																																		-4.024253					-1.476267	-3.487944														-2.312462																																																																												-0.000000	0.000000																	0.000000	
 1 	 8		8.196399		1.944715																																																																																		-3.504990					-1.285779	-3.037882														-2.312462																																																																												-0.000000	0.000000																	0.000000	
 1 	 9		7.636608		1.924624																																																																																		-3.245369					-1.190539	-2.812861														-2.312462																																																																												-0.000000	0.000000																	0.000000	
 1 	 10		8.486227		1.944878																																																																																		-3.634822					-1.333407	-3.150412														-2.312462																																																																												-0.000000	0.000000																	0.000000	
 1 	 11		9.609629		1.981239																																																																																		-4.154064					-1.523887	-3.600455														-2.312462																																																																												-0.000000	0.000000																	0.000000	
 1 	 12		10.519845		1.998893																																																																																		-4.569483					-1.676281	-3.960512														-2.312462																																																																												-0.000000	0.000000																	0.000000	
 1 	 13		9.611623		1.979246																																																																																		-4.154064					-1.523887	-3.600455														-2.312462																																																																												-0.000000	0.000000																	0.000000	
 1 	 14		9.729371		1.977494																																																																																		-4.205997					-1.542938	-3.645467														-2.312462																																																																												-0.000000	0.000000																	0.000000	
 1 	 15		10.881665		1.985012																																																																																		-4.725260					-1.733426	-4.095528														-2.312462																																																																												-0.000000	0.000000																	0.000000	
 1 	 16		11.357680		1.972932																																																																																		-4.932970					-1.809623	-4.275557														-2.312462																																																																												-0.000000	0.000000																	0.000000	
 1 	 17		11.374219		1.956393																																																																																		-4.932970					-1.809623	-4.275557														-2.312462																																																																												-0.000000	0.000000																	0.000000	
 1 	 18		8.496541		1.934564																																																																																		-3.634822					-1.333407	-3.150412														-2.312462																																																																												-0.000000	0.000000																	0.000000	
 1 	 19		6.222568		1.888911																																																																																		-2.596295					-0.952431	-2.250289														-2.312462																																																																												-0.000000	0.000000																	0.000000	
 1 	 20		4.854004		1.807079																																																																																		-1.946934					-0.714218	-1.687468														-2.312462																																																																												-0.000000	0.000000																	0.000000	
 1 	 21		3.526979		1.682918																																																																																		-1.297220					-0.475875	-1.124340														-2.312462																																																																												-0.000000	0.000000																	0.000000	
 1 	 22		2.710573		1.457827																																																																																		-0.830928					-0.304820	-0.720191														-2.312462																																																																												-0.000000	0.000000																	0.000000	
 1 	 23		2.112731		1.359692																																																																																		-0.519330					-0.190512	-0.450119														-2.312462																																																																												-0.000000	0.000000																	0.000000	
 1 	 24		1.590715		1.185731																																																																																		-0.207732					-0.076205	-0.180048														-2.312462																																																																												-0.000000	0.000000																	0.000000	
 2 	 1		1.949773		0.652433																																																																																		-0.129722					-0.047588	-0.112434														-2.312462																																																																												-0.000000	0.000000																	0.000000	
 2 	 2		1.800824		0.627634																																																																																		-0.051933					-0.019051	-0.045012														-2.312462																																																																												-0.000000	0.000000																	0.000000	
 2 	 3		1.803147		0.567066																																																																																		-0.025856					-0.009485	-0.022410														-2.312462																																																																												-0.000000	0.000000																	0.000000	
 2 	 4		2.341777		0.666662																																																																																		-0.311598					-0.114307	-0.270071														-2.312462																																																																												-0.000000	0.000000																	0.000000	
 2 	 5		3.353695		0.814705																																																																																		-0.830928					-0.304820	-0.720191														-2.312462																																																																												-0.000000	0.000000																	0.000000	
 2 	 6		6.097075		0.855231																																																																																		-2.077319					-0.762049	-1.800476														-2.312462																																																																												-0.000000	0.000000																	0.000000	
 2 	 7		10.431278		0.869650																																																																																		-4.024253					-1.476267	-3.487944														-2.312462																																																																												-0.000000	0.000000																	0.000000	
 2 	 8		9.271537		0.869577																																																																																		-3.504990					-1.285779	-3.037882														-2.312462																																																																												-0.000000	0.000000																	0.000000	
 2 	 9		8.692424		0.868809																																																																																		-3.245369					-1.190539	-2.812861														-2.312462																																																																												-0.000000	0.000000																	0.000000	
 2 	 10		9.559266		0.871838																																																																																		-3.634822					-1.333407	-3.150412														-2.312462																																																																												-0.000000	0.000000																	0.000000	
 2 	 11		10.707103		0.883765																																																																																		-4.154064					-1.523887	-3.600455														-2.312462																																																																												-0.000000	0.000000																	0.000000	
 2 	 12		11.628477		0.890262																																																																																		-4.569483					-1.676281	-3.960512														-2.312462																																																																												-0.000000	0.000000																	0.000000	
 2 	 13		10.702277		0.888591																																																																																		-4.154064					-1.523887	-3.600455														-2.312462																																																																												-0.000000	0.000000																	0.000000	
