Name	Used	Potential
ELECTRICITY	120.000003	120.000000
GASOLINE	63437.999988	63438.000000
DIESEL	70948.999988	70949.000000
BIOETHANOL	6178.623298	7166.000000
BIODIESEL	2540.123908	2541.000000
LFO	40769.090920	Infinity
GAS	75918.774061	Infinity
GAS_RE	0.000000	0.000000
WOOD	38656.145868	1000000000000.000000
WET_BIOMASS	0.000000	1000000000000.000000
IMPORTED_COAL	0.000000	100000000000000.000000
LOCAL_COAL	41004.558790	100000000000000.000000
URANIUM	0.000000	0.000000
WASTE	0.000000	10347.000000
H2	0.000006	Infinity
H2_RE	0.000000	0.000000
AMMONIA	0.001158	Infinity
METHANOL	0.000022	Infinity
AMMONIA_RE	0.000000	0.000000
METHANOL_RE	0.000000	0.000000
ELEC_EXPORT	0.000203	Infinity
CO2_EMISSIONS	26707.120929	Infinity
RES_WIND	4.586796	Infinity
RES_SOLAR	350.753194	Infinity
RES_HYDRO	60721.229205	Infinity
RES_GEO	0.000000	Infinity
CO2_ATM	0.000168	Infinity
CO2_INDUSTRY	0.000000	0.000000
CO2_CAPTURED	0.000000	0.000000
PT_HEAT	0.000000	0.000000
ST_HEAT	0.000000	0.000000
