TECHNOLOGIES	 c_inv	 c_maint	 lifetime	  f_min	 f	 f_max	 fmin_perc	f_perc	 fmax_perc	 c_p	 c_p_max	 tau	 gwp_constr
 UNITS	[M€/GW]	 [M€/GW/y]	 [y]	 [GW or GWh]	 [GW or GWh]	 [GW or GWh]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [-]	 [ktCO2-eq./GW or GWh] 
NUCLEAR	0.000000	0.000000	60.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.843906	0.065586	0.000000
CCGT	0.000013	0.000000	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000021	0.850000	0.081224	0.000002
CCGT_AMMONIA	0.000011	0.000000	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000008	0.961538	0.081224	0.000002
IMPORTED_COAL_CENTRAL	0.000000	0.000000	35.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.868000	0.072238	0.000000
LOCAL_COAL_CENTRAL	0.000018	0.000000	35.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000013	0.856000	0.072238	0.000002
BIOMASS_TO_POWER	0.000012	0.000001	35.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000010	0.868000	0.072238	0.000002
PV_ROOFTOP	312.060011	4.110000	40.000000	0.300000	0.300000	98.400000	0.000000	0.002806	1.000000	0.177605	1.000000	0.069840	624.429022
PV_UTILITY	11409.468110	286.621639	25.000000	0.000000	24.085852	708.000000	0.000000	0.261870	1.000000	0.206478	1.000000	0.081224	50133.015004
PT_POWER_BLOCK	0.000008	0.000000	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000003	1.000000	0.081224	0.000000
ST_POWER_BLOCK	0.000007	0.000001	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000002	1.000000	0.081224	0.000000
WIND_ONSHORE	0.000049	0.000001	30.000000	0.000000	0.000000	7.300000	0.000000	0.000000	1.000000	0.000076	1.000000	0.075785	0.000021
WIND_OFFSHORE	5324.294709	214.100848	30.000000	0.000000	3.002817	48.800000	0.000000	0.077847	1.000000	0.492341	1.000000	0.075785	1870.304529
HYDRO_DAM	66063.439656	661.439997	40.000000	10.536000	21.200000	21.200000	0.000000	0.558155	1.000000	0.500000	1.000000	0.069840	35889.055813
HYDRO_RIVER	10735.759993	107.540000	40.000000	3.777000	3.800000	3.800000	0.000000	0.099321	1.000000	0.496374	1.000000	0.069840	4798.715997
TIDAL	0.000000	0.000000	20.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	1.000000	0.090037	0.000000
WAVE	0.000000	0.000000	20.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	1.000000	0.090037	0.000000
GEOTHERMAL	0.000034	0.000001	30.000000	0.000000	0.000000	1.200000	0.000000	0.000000	1.000000	0.000022	0.860000	0.075785	0.000080
IND_COGEN_GAS	0.000012	0.000001	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000025	0.850000	0.081224	0.000006
IND_COGEN_WOOD	0.000014	0.000001	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000029	0.850000	0.081224	0.000002
