Name	C_inv	C_maint	C_op
NUCLEAR	0.000000	0.000000	0.000000
CCGT	0.000001	0.000000	0.000000
CCGT_AMMONIA	0.000001	0.000000	0.000000
IMPORTED_COAL_CENTRAL	0.000000	0.000000	0.000000
LOCAL_COAL_CENTRAL	0.000001	0.000000	0.000000
BIOMASS_TO_POWER	0.000001	0.000000	0.000000
PV_ROOFTOP	21.794391	4.110000	0.000000
PV_UTILITY	917.018829	283.618697	0.000000
PT_POWER_BLOCK	0.000001	0.000000	0.000000
ST_POWER_BLOCK	0.000000	0.000000	0.000000
WIND_ONSHORE	0.000004	0.000001	0.000000
WIND_OFFSHORE	235.164706	124.779804	0.000000
HYDRO_DAM	4613.896065	661.439993	0.000000
HYDRO_RIVER	749.789614	107.540000	0.000000
TIDAL	0.000000	0.000000	0.000000
WAVE	0.000000	0.000000	0.000000
GEOTHERMAL	0.000002	0.000001	0.000000
IND_COGEN_GAS	0.000001	0.000001	0.000000
IND_COGEN_WOOD	0.000001	0.000000	0.000000
IND_COGEN_WASTE	0.000001	0.000001	0.000000
IND_BOILER_GAS	5.814771	1.209777	0.000000
IND_BOILER_WOOD	43.099355	8.901110	0.000000
IND_BOILER_OIL	0.000001	0.000000	0.000000
IND_BOILER_COAL	0.000001	0.000000	0.000000
IND_BOILER_WASTE	17.195967	3.551403	0.000000
IND_DIRECT_ELEC	11.516786	0.487588	0.000000
DHN_HP_ELEC	198.354654	82.756019	0.000000
DHN_COGEN_GAS	0.000001	0.000000	0.000000
DHN_COGEN_WOOD	0.000001	0.000000	0.000000
DHN_COGEN_WASTE	0.000001	0.000000	0.000000
DHN_COGEN_WET_BIOMASS	0.000001	0.000001	0.000000
DHN_COGEN_BIO_HYDROLYSIS	0.000002	0.000001	0.000000
DHN_BOILER_GAS	0.000000	0.000000	0.000000
DHN_BOILER_WOOD	0.000000	0.000000	0.000000
DHN_BOILER_OIL	0.000000	0.000000	0.000000
DHN_DEEP_GEO	0.000000	0.000000	0.000000
DHN_SOLAR	0.000001	0.000000	0.000000
DEC_HP_ELEC	764.953804	343.555860	0.000000
DEC_THHP_GAS	0.000010	0.000003	0.000000
DEC_COGEN_GAS	0.000002	0.000001	0.000000
DEC_COGEN_OIL	0.000001	0.000001	0.000000
DEC_ADVCOGEN_GAS	0.000002	0.000000	0.000000
DEC_ADVCOGEN_H2	0.000002	0.000000	0.000000
DEC_BOILER_GAS	0.000002	0.000001	0.000000
DEC_BOILER_WOOD	0.000002	0.000001	0.000000
COAL_STOVE	0.000002	0.000001	0.000000
DEC_BOILER_OIL	0.000001	0.000001	0.000000
DEC_SOLAR	0.000047	0.000006	0.000000
DEC_DIRECT_ELEC	0.000007	0.000000	0.000000
DEC_THHP_GAS_COLD	2.775551	0.925451	0.000000
DEC_ELEC_COLD	59.719068	26.803362	0.000000
IND_ELEC_COLD	3.670356	0.331879	0.000000
TRAMWAY_TROLLEY	266.069598	70.002033	0.000000
BUS_COACH_DIESEL	3050.586648	1441.601897	0.000000
BUS_COACH_GASOLINE	0.000000	0.000000	0.000000
BUS_COACH_HYDIESEL	0.000000	0.000000	0.000000
BUS_COACH_CNG_STOICH	8489.802358	4011.987397	0.000000
BUS_COACH_FC_HYBRIDH2	0.000000	0.000000	0.000000
TRAIN_PUB	0.000000	0.000000	0.000000
MOTORCYCLE	708.295956	287.021322	0.000000
CAR_GASOLINE	0.000000	0.000000	0.000000
CAR_DIESEL	0.000000	0.000000	0.000000
CAR_NG	0.000000	0.000000	0.000000
CAR_METHANOL	0.000000	0.000000	0.000000
CAR_HEV	0.000000	0.000000	0.000000
CAR_PHEV	0.000059	0.000032	0.000000
MOTORCYCLE_ELECTRIC	66.352173	10.714597	0.000000
CAR_BEV	12394.504891	2060.124755	0.000000
CAR_FUEL_CELL	0.000000	0.000000	0.000000
TRAIN_FREIGHT	141.022514	39.699753	0.000000
BOAT_FREIGHT_DIESEL	412.646216	295.694710	0.000000
BOAT_FREIGHT_NG	0.000000	0.000000	0.000000
BOAT_FREIGHT_METHANOL	0.000000	0.000000	0.000000
TRUCK_DIESEL	2804.670811	1326.575572	0.000000
TRUCK_GASOLINE	0.000000	0.000000	0.000000
TRUCK_METHANOL	0.000000	0.000000	0.000000
TRUCK_FUEL_CELL	0.000002	0.000000	0.000000
TRUCK_ELEC	0.000000	0.000000	0.000000
TRUCK_NG	0.000000	0.000000	0.000000
HABER_BOSCH	0.000001	0.000000	0.000000
OIL_TO_HVC	211.263959	10.750685	0.000000
GAS_TO_HVC	0.000001	0.000000	0.000000
BIOMASS_TO_HVC	0.000001	0.000000	0.000000
METHANOL_TO_HVC	0.000002	0.000002	0.000000
SYN_METHANOLATION	0.000001	0.000000	0.000000
METHANE_TO_METHANOL	0.000001	0.000001	0.000000
BIOMASS_TO_METHANOL	0.000002	0.000000	0.000000
DAM_STORAGE	0.000000	0.000000	0.000000
PHS	0.000000	0.000000	0.000000
BATT_LI	0.000005	0.000000	0.000000
BEV_BATT	0.000000	0.000000	0.000000
PHEV_BATT	0.000000	0.000000	0.000000
