Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	IMPORTED_GAS	WOOD	WET_BIOMASS	IMPORTED_COAL	LOCAL_COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	H2_EXPORT	GAS_RE_EXPORT	AMMONIA_EXPORT	METHANOL_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	PT_HEAT	ST_HEAT	NUCLEAR	CCGT	CCGT_AMMONIA	IMPORTED_COAL_CENTRAL	LOCAL_COAL_CENTRAL	BIOMASS_TO_POWER	PV_ROOFTOP	PV_UTILITY	PT_POWER_BLOCK	ST_POWER_BLOCK	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_DAM	HYDRO_RIVER	TIDAL	WAVE	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	COAL_STOVE	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	DEC_THHP_GAS_COLD	DEC_ELEC_COLD	IND_ELEC_COLD	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_GASOLINE	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	MOTORCYCLE	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	MOTORCYCLE_ELECTRIC	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_GASOLINE	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	SYN_METHANOLATION	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	EFFICIENCY	H2_INFRASTRUCTURE	DHN	GRID	HVAC_LINE	PT_COLLECTOR	ST_COLLECTOR	H2_ELECTROLYSIS	SMR	H2_BIOMASS	GASIFICATION_SNG	SYN_METHANATION	BIOMETHANATION	BIO_HYDROLYSIS	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	AMMONIA_TO_H2	DAM_STORAGE_Pin	DAM_STORAGE_Pout	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_COAL_STOVE_Pin	TS_COAL_STOVE_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	PT_STORAGE_Pin	PT_STORAGE_Pout	ST_STORAGE_Pin	ST_STORAGE_Pout	TS_COLD_Pin	TS_COLD_Pout	CAES_Pin	CAES_Pout	END_USE	
 1 	 1																											0.761698																			-0.000001	-0.761697																																																																																																																																																													0.000000	
 1 	 2																											0.715816																			-0.000001	-0.715815																																																																																																																																																													0.000000	
 1 	 3																											0.692750																			-0.000001	-0.692749																																																																																																																																																													0.000000	
 1 	 4																											0.701042																			-0.000001	-0.701041																																																																																																																																																													0.000000	
 1 	 5																											0.726437																			-0.000001	-0.726435																																																																																																																																																													0.000000	
 1 	 6																											0.748865																			-0.000002	-0.748863																																																																																																																																																													0.000000	
 1 	 7																											0.771996																			-0.000001	-0.771994																																																																																																																																																													0.000000	
 1 	 8																											0.794394																			-0.000002	-0.794392																																																																																																																																																													0.000000	
 1 	 9																											0.803869																			-0.000002	-0.803867																																																																																																																																																													0.000000	
 1 	 10																											0.794349																			-0.000002	-0.794347																																																																																																																																																													0.000000	
 1 	 11																											0.771106																			-0.000001	-0.771105																																																																																																																																																													0.000000	
 1 	 12																											0.632007																			-0.000001	-0.632006																																																																																																																																																													0.000000	
 1 	 13																											0.778076																			-0.000001	-0.778076																																																																																																																																																													0.000000	
 1 	 14																											0.767135																			-0.000001	-0.767134																																																																																																																																																													0.000000	
 1 	 15																											0.749612																			-0.000001	-0.749611																																																																																																																																																													0.000000	
 1 	 16																											0.753435																			-0.000001	-0.753434																																																																																																																																																													0.000000	
 1 	 17																											0.723777																			-0.000001	-0.723777																																																																																																																																																													0.000000	
 1 	 18																											0.673946																			-0.000001	-0.673945																																																																																																																																																													0.000000	
 1 	 19																											0.652069																			-0.000001	-0.652069																																																																																																																																																													0.000000	
 1 	 20																											0.644510																			-0.000001	-0.644509																																																																																																																																																													0.000000	
 1 	 21																											0.625027																			-0.000001	-0.625026																																																																																																																																																													0.000000	
 1 	 22																											0.585163																			-0.000000	-0.585162																																																																																																																																																													0.000000	
 1 	 23																											0.576758																			-0.000000	-0.576757																																																																																																																																																													0.000000	
 1 	 24																											0.568760																			-0.000000	-0.568760																																																																																																																																																													0.000000	
 2 	 1																											1.104061																			-0.000002	-1.104059																																																																																																																																																													0.000000	
 2 	 2																											1.069810																			-0.000002	-1.069808																																																																																																																																																													0.000000	
 2 	 3																											1.040785																			-0.000003	-1.040782																																																																																																																																																													0.000000	
 2 	 4																											1.048677																			-0.000003	-1.048674																																																																																																																																																													0.000000	
 2 	 5																											1.071929																			-0.000003	-1.071926																																																																																																																																																													0.000000	
 2 	 6																											1.095010																			-0.000003	-1.095007																																																																																																																																																													0.000000	
 2 	 7																											1.123285																			-0.000003	-1.123282																																																																																																																																																													0.000000	
 2 	 8																											1.153165																			-0.000004	-1.153161																																																																																																																																																													0.000000	
 2 	 9																											1.173892																			-0.000004	-1.173888																																																																																																																																																													0.000000	
 2 	 10																											0.994906																			-0.000003	-0.994904																																																																																																																																																													0.000000	
 2 	 11																											0.777752																			-0.000003	-0.777749																																																																																																																																																													0.000000	
 2 	 12																											0.748643																			-0.000002	-0.748640																																																																																																																																																													0.000000	
 2 	 13																											0.705274																			-0.000002	-0.705272																																																																																																																																																													0.000000	
 2 	 14																											0.847372																			-0.000002	-0.847370																																																																																																																																																													0.000000	
 2 	 15																											1.013322																			-0.000003	-1.013319																																																																																																																																																													0.000000	
 2 	 16																											0.999548																			-0.000002	-0.999546																																																																																																																																																													0.000000	
 2 	 17																											0.999547																			-0.000002	-0.999545																																																																																																																																																													0.000000	
 2 	 18																											1.010532																			-0.000002	-1.010530																																																																																																																																																													0.000000	
 2 	 19																											1.038754																			-0.000002	-1.038752																																																																																																																																																													0.000000	
 2 	 20																											1.064336																			-0.000002	-1.064334																																																																																																																																																													0.000000	
 2 	 21																											1.080113																			-0.000002	-1.080111																																																																																																																																																													0.000000	
 2 	 22																											1.086489																			-0.000002	-1.086486																																																																																																																																																													0.000000	
 2 	 23																											1.101767																			-0.000002	-1.101765																																																																																																																																																													0.000000	
 2 	 24																											1.101737																			-0.000003	-1.101734																																																																																																																																																													0.000000	
 3 	 1																											0.100687																			-0.000000	-0.100687																																																																																																																																																													0.000000	
 3 	 2																											0.109498																			-0.000000	-0.109498																																																																																																																																																													0.000000	
 3 	 3																											0.110161																			-0.000000	-0.110161																																																																																																																																																													0.000000	
 3 	 4																											0.108966																			-0.000000	-0.108966																																																																																																																																																													0.000000	
 3 	 5																											0.089382																			-0.000000	-0.089382																																																																																																																																																													0.000000	
 3 	 6																											0.070630																			-0.000000	-0.070630																																																																																																																																																													0.000000	
 3 	 7																											0.087821																			-0.000000	-0.087821																																																																																																																																																													0.000000	
 3 	 8																											0.112975																			-0.000000	-0.112975																																																																																																																																																													0.000000	
 3 	 9																											0.140125																			-0.000000	-0.140125																																																																																																																																																													0.000000	
 3 	 10																											0.159989																			-0.000000	-0.159989																																																																																																																																																													0.000000	
 3 	 11																											0.163158																			-0.000000	-0.163158																																																																																																																																																													0.000000	
 3 	 12																											0.154225																			-0.000000	-0.154225																																																																																																																																																													0.000000	
 3 	 13																											0.145068																			-0.000000	-0.145068																																																																																																																																																													0.000000	
 3 	 14																											0.142204																			-0.000000	-0.142204																																																																																																																																																													0.000000	
 3 	 15																											0.137190																			-0.000000	-0.137190																																																																																																																																																													0.000000	
