Name	Used	Potential
ELECTRICITY	0.000091	Infinity
GASOLINE	3019.598777	Infinity
DIESEL	0.000301	Infinity
BIOETHANOL	0.000603	50000.000000
BIODIESEL	49999.999977	50000.000000
LFO	57076.363484	Infinity
GAS	62289.460654	Infinity
IMPORTED_GAS	0.000000	0.000000
WOOD	24600.000002	24600.000000
WET_BIOMASS	29900.000000	29900.000000
IMPORTED_COAL	0.000000	Infinity
LOCAL_COAL	0.000211	Infinity
URANIUM	0.000000	0.000000
WASTE	10347.000000	10347.000000
H2	0.000000	Infinity
H2_RE	0.000000	0.000000
AMMONIA	0.000015	Infinity
METHANOL	0.000011	Infinity
AMMONIA_RE	0.000000	0.000000
METHANOL_RE	0.000000	0.000000
ELEC_EXPORT	77.550921	Infinity
H2_EXPORT	0.000000	Infinity
GAS_RE_EXPORT	0.000000	Infinity
AMMONIA_EXPORT	0.000004	Infinity
METHANOL_EXPORT	0.000000	Infinity
CO2_EMISSIONS	30113.473991	Infinity
RES_WIND	7534.294152	Infinity
RES_SOLAR	43612.806621	Infinity
RES_HYDRO	109385.328655	Infinity
RES_GEO	0.000018	Infinity
CO2_ATM	0.000004	Infinity
CO2_INDUSTRY	0.000000	0.000000
CO2_CAPTURED	0.000000	0.000000
PT_HEAT	0.000000	0.000000
ST_HEAT	0.000000	0.000000
