Name	C_inv	C_maint	C_op
NUCLEAR	0.000000	0.000000	0.000000
CCGT	0.000077	0.000025	0.000000
CCGT_AMMONIA	0.000065	0.000021	0.000000
IMPORTED_COAL_CENTRAL	0.000000	0.000000	0.000000
LOCAL_COAL_CENTRAL	0.000077	0.000012	0.000000
BIOMASS_TO_POWER	0.000066	0.000035	0.000000
PV_ROOFTOP	18.114810	3.606917	0.000000
PV_UTILITY	1005.997394	367.478947	0.000000
PT_POWER_BLOCK	0.000046	0.000034	0.000000
ST_POWER_BLOCK	0.000039	0.000039	0.000000
WIND_ONSHORE	0.000364	0.000080	0.000000
WIND_OFFSHORE	1835.008656	963.891322	0.000000
HYDRO_DAM	2544.152743	364.280771	0.000000
HYDRO_RIVER	4676.246072	669.574336	0.000000
TIDAL	0.000000	0.000000	0.000000
WAVE	0.000000	0.000000	0.000000
GEOTHERMAL	0.000206	0.000051	0.000000
IND_COGEN_GAS	0.000077	0.000061	0.000000
IND_COGEN_WOOD	0.000080	0.000036	0.000000
IND_COGEN_WASTE	0.000084	0.000038	0.000000
IND_BOILER_GAS	15.129984	3.086684	0.000000
IND_BOILER_WOOD	0.000125	0.000025	0.000000
IND_BOILER_OIL	0.000053	0.000012	0.000000
IND_BOILER_COAL	0.000054	0.000011	0.000000
IND_BOILER_WASTE	2.142131	0.436238	0.000000
IND_DIRECT_ELEC	292.644000	12.563285	0.000000
DHN_HP_ELEC	225.689896	94.219784	0.000000
DHN_COGEN_GAS	0.000058	0.000021	0.000000
DHN_COGEN_WOOD	0.000051	0.000023	0.000000
DHN_COGEN_WASTE	0.000068	0.000031	0.000000
DHN_COGEN_WET_BIOMASS	0.000072	0.000072	0.000000
DHN_COGEN_BIO_HYDROLYSIS	0.000153	0.000071	0.000000
DHN_BOILER_GAS	0.000009	0.000002	0.000000
DHN_BOILER_WOOD	0.000017	0.000003	0.000000
DHN_BOILER_OIL	0.000007	0.000002	0.000000
DHN_DEEP_GEO	0.000000	0.000000	0.000000
DHN_SOLAR	0.000050	0.000001	0.000000
DEC_HP_ELEC	837.750436	367.103520	0.000000
DEC_THHP_GAS	0.000746	0.000242	0.000000
DEC_COGEN_GAS	0.000129	0.000092	0.000000
DEC_COGEN_OIL	0.000103	0.000070	0.000000
DEC_ADVCOGEN_GAS	0.000181	0.000038	0.000000
DEC_ADVCOGEN_H2	0.000160	0.000033	0.000000
DEC_BOILER_GAS	0.000116	0.000036	0.000000
DEC_BOILER_WOOD	0.000142	0.000051	0.000000
COAL_STOVE	0.000125	0.000024	0.000000
