Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	IMPORTED_GAS	WOOD	WET_BIOMASS	IMPORTED_COAL	LOCAL_COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	H2_EXPORT	GAS_RE_EXPORT	AMMONIA_EXPORT	METHANOL_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	PT_HEAT	ST_HEAT	NUCLEAR	CCGT	CCGT_AMMONIA	IMPORTED_COAL_CENTRAL	LOCAL_COAL_CENTRAL	BIOMASS_TO_POWER	PV_ROOFTOP	PV_UTILITY	PT_POWER_BLOCK	ST_POWER_BLOCK	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_DAM	HYDRO_RIVER	TIDAL	WAVE	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	COAL_STOVE	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	DEC_THHP_GAS_COLD	DEC_ELEC_COLD	IND_ELEC_COLD	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_GASOLINE	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	MOTORCYCLE	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	MOTORCYCLE_ELECTRIC	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_GASOLINE	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	SYN_METHANOLATION	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	EFFICIENCY	H2_INFRASTRUCTURE	CHARGING_STATION	DHN	GRID	HVAC_LINE	PT_COLLECTOR	ST_COLLECTOR	H2_ELECTROLYSIS	SMR	H2_BIOMASS	GASIFICATION_SNG	SYN_METHANATION	BIOMETHANATION	BIO_HYDROLYSIS	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	AMMONIA_TO_H2	DAM_STORAGE_Pin	DAM_STORAGE_Pout	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_COAL_STOVE_Pin	TS_COAL_STOVE_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	PT_STORAGE_Pin	PT_STORAGE_Pout	ST_STORAGE_Pin	ST_STORAGE_Pout	TS_COLD_Pin	TS_COLD_Pout	CAES_Pin	CAES_Pout	END_USE	
 1 	 1																											20.110665																			-0.000000	-20.110665																																																																																																																																																														0.000000	
 1 	 2																											18.899275																			-0.000000	-18.899274																																																																																																																																																														0.000000	
 1 	 3																											18.290267																			-0.000000	-18.290267																																																																																																																																																														0.000000	
 1 	 4																											18.509189																			-0.000000	-18.509188																																																																																																																																																														0.000000	
 1 	 5																											19.179674																			-0.000000	-19.179673																																																																																																																																																														0.000000	
 1 	 6																											19.771827																			-0.000001	-19.771826																																																																																																																																																														0.000000	
 1 	 7																											20.382535																			-0.000000	-20.382534																																																																																																																																																														0.000000	
 1 	 8																											20.973899																			-0.000001	-20.973899																																																																																																																																																														0.000000	
 1 	 9																											21.224051																			-0.000001	-21.224051																																																																																																																																																														0.000000	
 1 	 10																											20.972704																			-0.000001	-20.972703																																																																																																																																																														0.000000	
 1 	 11																											20.952368																			-0.000001	-20.952367																																																																																																																																																														0.000000	
 1 	 12																											20.972934																			-0.000001	-20.972933																																																																																																																																																														0.000000	
 1 	 13																											20.577773																			-0.000000	-20.577772																																																																																																																																																														0.000000	
 1 	 14																											20.254204																			-0.000000	-20.254203																																																																																																																																																														0.000000	
 1 	 15																											19.791578																			-0.000000	-19.791577																																																																																																																																																														0.000000	
 1 	 16																											19.892496																			-0.000000	-19.892496																																																																																																																																																														0.000000	
 1 	 17																											19.109472																			-0.000000	-19.109472																																																																																																																																																														0.000000	
 1 	 18																											17.793798																			-0.000000	-17.793798																																																																																																																																																														0.000000	
 1 	 19																											17.216206																			-0.000000	-17.216206																																																																																																																																																														0.000000	
 1 	 20																											17.016629																			-0.000000	-17.016628																																																																																																																																																														0.000000	
 1 	 21																											16.502224																			-0.000000	-16.502224																																																																																																																																																														0.000000	
 1 	 22																											15.449722																			-0.000000	-15.449721																																																																																																																																																														0.000000	
 1 	 23																											15.227806																			-0.000000	-15.227806																																																																																																																																																														0.000000	
 1 	 24																											15.016661																			-0.000000	-15.016661																																																																																																																																																														0.000000	
 2 	 1																											29.149832																			-0.000001	-29.149831																																																																																																																																																														0.000000	
 2 	 2																											28.245527																			-0.000001	-28.245527																																																																																																																																																														0.000000	
 2 	 3																											27.479182																			-0.000001	-27.479181																																																																																																																																																														0.000000	
 2 	 4																											27.687546																			-0.000001	-27.687545																																																																																																																																																														0.000000	
 2 	 5																											28.301461																			-0.000001	-28.301459																																																																																																																																																														0.000000	
 2 	 6																											28.910840																			-0.000001	-28.910839																																																																																																																																																														0.000000	
 2 	 7																											29.657373																			-0.000001	-29.657372																																																																																																																																																														0.000000	
 2 	 8																											30.446269																			-0.000001	-30.446268																																																																																																																																																														0.000000	
 2 	 9																											29.029898																			-0.000001	-29.029897																																																																																																																																																														0.000000	
 2 	 10																											27.905142																			-0.000001	-27.905141																																																																																																																																																														0.000000	
 2 	 11																											27.082607																			-0.000001	-27.082606																																																																																																																																																														0.000000	
 2 	 12																											26.407286																			-0.000001	-26.407285																																																																																																																																																														0.000000	
 2 	 13																											25.268653																			-0.000001	-25.268653																																																																																																																																																														0.000000	
 2 	 14																											25.197590																			-0.000001	-25.197589																																																																																																																																																														0.000000	
 2 	 15																											26.754092																			-0.000001	-26.754091																																																																																																																																																														0.000000	
 2 	 16																											26.390445																			-0.000001	-26.390444																																																																																																																																																														0.000000	
 2 	 17																											26.390418																			-0.000001	-26.390417																																																																																																																																																														0.000000	
 2 	 18																											26.680454																			-0.000001	-26.680453																																																																																																																																																														0.000000	
 2 	 19																											27.425587																			-0.000001	-27.425586																																																																																																																																																														0.000000	
 2 	 20																											28.101006																			-0.000001	-28.101005																																																																																																																																																														0.000000	
 2 	 21																											28.517557																			-0.000001	-28.517556																																																																																																																																																														0.000000	
 2 	 22																											28.685878																			-0.000001	-28.685877																																																																																																																																																														0.000000	
 2 	 23																											29.089267																			-0.000001	-29.089266																																																																																																																																																														0.000000	
 2 	 24																											29.088470																			-0.000001	-29.088469																																																																																																																																																														0.000000	
 3 	 1																											2.658407																			-0.000000	-2.658407																																																																																																																																																														0.000000	
 3 	 2																											2.891040																			-0.000000	-2.891039																																																																																																																																																														0.000000	
 3 	 3																											2.908550																			-0.000000	-2.908550																																																																																																																																																														0.000000	
 3 	 4																											2.876983																			-0.000000	-2.876983																																																																																																																																																														0.000000	
 3 	 5																											2.359939																			-0.000000	-2.359939																																																																																																																																																														0.000000	
 3 	 6																											1.864834																			-0.000000	-1.864834																																																																																																																																																														0.000000	
 3 	 7																											2.318709																			-0.000000	-2.318709																																																																																																																																																														0.000000	
 3 	 8																											2.982844																			-0.000000	-2.982844																																																																																																																																																														0.000000	
 3 	 9																											3.699660																			-0.000000	-3.699660																																																																																																																																																														0.000000	
 3 	 10																											4.224118																			-0.000000	-4.224118																																																																																																																																																														0.000000	
 3 	 11																											4.307791																			-0.000000	-4.307791																																																																																																																																																														0.000000	
 3 	 12																											4.071943																			-0.000000	-4.071943																																																																																																																																																														0.000000	
 3 	 13																											3.830170																			-0.000000	-3.830170																																																																																																																																																														0.000000	
 3 	 14																											3.754548																			-0.000000	-3.754548																																																																																																																																																														0.000000	
 3 	 15																											3.622187																			-0.000000	-3.622187																																																																																																																																																														0.000000	
