Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	IMPORTED_GAS	WOOD	WET_BIOMASS	IMPORTED_COAL	LOCAL_COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	H2_EXPORT	GAS_RE_EXPORT	AMMONIA_EXPORT	METHANOL_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	PT_HEAT	ST_HEAT	NUCLEAR	CCGT	CCGT_AMMONIA	IMPORTED_COAL_CENTRAL	LOCAL_COAL_CENTRAL	BIOMASS_TO_POWER	PV_ROOFTOP	PV_UTILITY	PT_POWER_BLOCK	ST_POWER_BLOCK	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_DAM	HYDRO_RIVER	TIDAL	WAVE	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	COAL_STOVE	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	DEC_THHP_GAS_COLD	DEC_ELEC_COLD	IND_ELEC_COLD	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_GASOLINE	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	MOTORCYCLE	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	MOTORCYCLE_ELECTRIC	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_GASOLINE	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	SYN_METHANOLATION	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	EFFICIENCY	H2_INFRASTRUCTURE	CHARGING_STATION	DHN	GRID	HVAC_LINE	PT_COLLECTOR	ST_COLLECTOR	H2_ELECTROLYSIS	SMR	H2_BIOMASS	GASIFICATION_SNG	SYN_METHANATION	BIOMETHANATION	BIO_HYDROLYSIS	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	AMMONIA_TO_H2	DAM_STORAGE_Pin	DAM_STORAGE_Pout	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_COAL_STOVE_Pin	TS_COAL_STOVE_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	PT_STORAGE_Pin	PT_STORAGE_Pout	ST_STORAGE_Pin	ST_STORAGE_Pout	TS_COLD_Pin	TS_COLD_Pout	CAES_Pin	CAES_Pout	END_USE	
 1 	 1																																																																																					0.000000	0.000023																																																																																																																			-0.000019	0.537261			-0.537264	
 1 	 2																																																																																					0.000000	0.000100																																																																																																																			-0.000020	0.518541			-0.518621	
 1 	 3																																																																																					0.000000	0.394083																																																																																																																			-0.000022	0.105916			-0.499978	
 1 	 4																																																																																					0.000000	0.487098																																																																																																																			-0.000028	0.000196			-0.487266	
 1 	 5																																																																																					0.000000	0.485523																																																																																																																			-0.000036	0.000084			-0.485571	
 1 	 6																																																																																					0.000000	0.478788																																																																																																																			-0.000050	0.000053			-0.478792	
 1 	 7																																																																																					0.000000	0.488143																																																																																																																			-0.000071	0.000041			-0.488114	
 1 	 8																																																																																					0.000000	0.624642																																																																																																																			-0.000127	0.000033			-0.624548	
 1 	 9																																																																																					0.000000	0.830096																																																																																																																			-0.000499	0.000027			-0.829624	
 1 	 10																																																																																					0.000000	1.035136																																																																																																																			-0.014933	0.000021			-1.020223	
 1 	 11																																																																																					0.000000	1.194147																																																																																																																			-0.036778	0.000021			-1.157390	
 1 	 12																																																																																					0.000000	1.194189																																																																																																																			-0.000021	0.028294			-1.222462	
 1 	 13																																																																																					0.000000	1.194186																																																																																																																			-0.000022	0.022707			-1.216872	
 1 	 14																																																																																					0.000000	1.194174																																																																																																																			-0.031644	0.000020			-1.162550	
 1 	 15																																																																																					0.000000	1.194181																																																																																																																			-0.103317	0.000020			-1.090885	
 1 	 16																																																																																					0.000000	1.194185																																																																																																																			-0.201932	0.000021			-0.992274	
 1 	 17																																																																																					0.000000	1.194187																																																																																																																			-0.327493	0.000023			-0.866717	
 1 	 18																																																																																					0.000000	0.717594																																																																																																																			-0.000024	0.000195			-0.717764	
 1 	 19																																																																																					0.000000	0.619298																																																																																																																			-0.000023	0.000188			-0.619464	
 1 	 20																																																																																					0.000000	0.587954																																																																																																																			-0.000023	0.000177			-0.588109	
 1 	 21																																																																																					0.000000	0.576100																																																																																																																			-0.000023	0.000168			-0.576245	
 1 	 22																																																																																					0.000000	0.565940																																																																																																																			-0.000024	0.000160			-0.566076	
 1 	 23																																																																																					0.000000	0.555928																																																																																																																			-0.000051	0.000031			-0.555907	
 1 	 24																																																																																					0.000000	1.123217																																																																																																																			-0.580034	0.000013			-0.543196	
 2 	 1																																																																																					0.000000	0.000021																																																																																																																			-0.000006	0.577925			-0.577940	
 2 	 2																																																																																					0.000000	0.000546																																																																																																																			-0.000005	0.542655			-0.543196	
 2 	 3																																																																																					0.000000	0.474208																																																																																																																			-0.000006	0.040181			-0.514384	
 2 	 4																																																																																					0.000000	0.486371																																																																																																																			-0.000008	0.000056			-0.486419	
 2 	 5																																																																																					0.000000	0.469465																																																																																																																			-0.000013	0.000018			-0.469470	
 2 	 6																																																																																					0.000000	0.452538																																																																																																																			-0.000026	0.000010			-0.452522	
 2 	 7																																																																																					0.000000	1.067750																																																																																																																			-0.593202	0.000007			-0.474555	
 2 	 8																																																																																					0.000000	1.194192																																																																																																																			-0.501010	0.000008			-0.693189	
 2 	 9																																																																																					0.000000	1.194193																																																																																																																			-0.216402	0.000007			-0.977798	
 2 	 10																																																																																					0.000000	1.194193																																																																																																																			-0.000006	0.003336			-1.197523	
 2 	 11																																																																																					0.000000	1.194193																																																																																																																			-0.000007	0.161287			-1.355472	
 2 	 12																																																																																					0.000000	1.194193																																																																																																																			-0.000007	0.258035			-1.452220	
 2 	 13																																																																																					0.000000	1.194193																																																																																																																			-0.000007	0.289137			-1.483323	
 2 	 14																																																																																					0.000000	1.194193																																																																																																																			-0.000007	0.259898			-1.454083	
 2 	 15																																																																																					0.000000	1.194192																																																																																																																			-0.000007	0.185223			-1.379408	
 2 	 16																																																																																					0.000000	1.194192																																																																																																																			-0.000006	0.073425			-1.267611	
 2 	 17																																																																																					0.000000	1.117634																																																																																																																			-0.000670	0.000006			-1.116971	
 2 	 18																																																																																					0.000000	0.936456																																																																																																																			-0.000088	0.000007			-0.936375	
 2 	 19																																																																																					0.000000	0.800866																																																																																																																			-0.000062	0.000008			-0.800811	
 2 	 20																																																																																					0.000000	0.742402																																																																																																																			-0.000069	0.000007			-0.742340	
 2 	 21																																																																																					0.000000	0.710232																																																																																																																			-0.000101	0.000006			-0.710138	
 2 	 22																																																																																					0.000000	0.802974																																																																																																																			-0.118265	0.000006			-0.684715	
 2 	 23																																																																																					0.000000	1.194158																																																																																																																			-0.533177	0.000005			-0.660987	
 2 	 24																																																																																					0.000000	1.194184																																																																																																																			-0.556931	0.000006			-0.637260	
 3 	 1																																																																																					0.000000	0.000063																																																																																																																			-0.000035	0.599946			-0.599973	
 3 	 2																																																																																					0.000000	0.025590																																																																																																																			-0.000036	0.563403			-0.588957	
 3 	 3																																																																																					0.000000	0.578656																																																																																																																			-0.000049	0.000180			-0.578788	
 3 	 4																																																																																					0.000000	0.580455																																																																																																																			-0.000066	0.000094			-0.580482	
 3 	 5																																																																																					0.000000	0.585602																																																																																																																			-0.000099	0.000063			-0.585567	
 3 	 6																																																																																					0.000000	0.558597																																																																																																																			-0.000195	0.000047			-0.558450	
 3 	 7																																																																																					0.000000	0.978225																																																																																																																			-0.391001	0.000037			-0.587262	
