source,target,realValue,layerID,layerColor,layerUnit
Gas,Methane-to-Methanol,12.50,Gas,#FFD700,TWh
Methane-to-Methanol,Methanol,8.18,Methanol,#CC0066,TWh
Woody biomass,Gasifi. to HVC,75.07,Woody biomass,#CD853F,TWh
Elec,Gasifi. to HVC,0.90,Electricity,#00BFFF,TWh
Heat HT,Gasifi. to HVC,1.64,Heat HT,#DC143C,TWh
Gasifi. to HVC,HVC,31.53,HVC,#00FFFF,TWh
Methanol,MTO,8.18,Methanol,#CC0066,TWh
Heat HT,MTO,2.17,Heat HT,#DC143C,TWh
MTO,HVC,6.59,HVC,#00FFFF,TWh
HVC,Non-energy demand,38.12,HVC,#00FFFF,TWh
Bio-ethanol,Gasoline,76.39,Gasoline,#808080,TWh
Bio-diesel,Diesel,6.54,Diesel,#D3D3D3,TWh
Diesel,Freight,6.54,Diesel,#D3D3D3,TWh
Nat. gas,Gas sto.,0.00,GAS,#FFD700,TWh
Gas sto.,Gas,0.00,GAS,#FFD700,TWh
Gas,Boilers,2.37,GAS,#FFD700,TWh
Electricity,Elec,0.03,Electricity,#00BFFF,TWh
Wind,Elec,65.35,Wind,#27AE34,TWh
Hydro River,Elec,103.42,Hydro River,#0000FF,TWh
Hydro Dams,Elec,51.20,Hydro Dam,#0000FF,TWh
PV,Elec,0.50,PV,#FFFF00,TWh
PV,Elec,67.51,PV,#FFFF00,TWh
Waste,Boilers,1.29,Waste,#808000,TWh
Wet biomass,Biomethanation,49.78,Woody biomass,#CD853F,TWh
Biomethanation,Gas,14.88,GAS,#FFD700,TWh
Elec,Mob priv,36.05,Electricity,#00BFFF,TWh
Elec,Freight,3.06,Electricity,#00BFFF,TWh
Elec,Exp & Loss,13.48,Electricity,#00BFFF,TWh
Elec,Curt.,0.12,Electricity,#00BFFF,TWh
Elec,Elec demand,105.90,Electricity,#00BFFF,TWh
PV,Curt.,1.15,Solar,#FFFF00,TWh
Wind,Curt.,0.50,Wind,#27AE34,TWh
Elec,Storage,23.85,Electricity,#00BFFF,TWh
Storage,Elec demand,23.33,Electricity,#00BFFF,TWh
Elec,HPs,26.19,Electricity,#00BFFF,TWh
Elec,refrig. cycles,2.17,Electricity,#00BFFF,TWh
Elec,refrig. cycles,0.17,Electricity,#00BFFF,TWh
Elec,Dec. sto,0.94,Electricity,#00BFFF,TWh
Elec,Heat LT Dec,0.17,Electricity,#00BFFF,TWh
Elec,Heat HT,49.10,Electricity,#00BFFF,TWh
Elec,Electrolyser,20.04,Electricity,#00BFFF,TWh
Heat HT,Electrolyser,3.54,Heat HT,#DC143C,TWh
Electrolyser,H2 prod,18.62,Electricity,#00BFFF,TWh
Electrolyser,DHN,0.35,Heat LT,#FA8072,TWh
H2 prod,H2 sto.,0.17,H2,#FF00FF,TWh
H2 sto.,H2,0.15,H2,#FF00FF,TWh
H2 prod,H2,18.45,H2,#FF00FF,TWh
H2,Freight,18.60,H2,#FF00FF,TWh
HPs,Dec. sto,27.51,Heat LT,#FA8072,TWh
HPs,Heat LT Dec,18.14,Heat LT,#FA8072,TWh
HPs,DHN,46.44,Heat LT,#FA8072,TWh
refrig. cycles,Space cooling,8.70,SPACE_COOLING,#FA8072,TWh
refrig. cycles,Process cooling,0.47,PROCESS_COOLING,#FA8072,TWh
Dec. sto,Heat LT Dec,25.55,Heat LT,#FA8072,TWh
Boilers,Heat HT,3.26,Heat HT,#DC143C,TWh
DHN,Heat LT DHN,19.42,Heat LT,#FA8072,TWh
DHN,Loss DHN,2.34,Heat LT,#FA8072,TWh
DHN,DHN Sto,25.03,Heat LT,#FA8072,TWh
DHN Sto,Heat LT DHN,24.43,Heat LT,#FA8072,TWh
Heat HT,Ind Heat Demand,45.01,Heat HT,#DC143C,TWh
