Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	GAS_RE	WOOD	WET_BIOMASS	IMPORTED_COAL	LOCAL_COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	PT_HEAT	ST_HEAT	NUCLEAR	CCGT	CCGT_AMMONIA	IMPORTED_COAL_CENTRAL	LOCAL_COAL_CENTRAL	BIOMASS_TO_POWER	PV_ROOFTOP	PV_UTILITY	PT_POWER_BLOCK	ST_POWER_BLOCK	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_DAM	HYDRO_RIVER	TIDAL	WAVE	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	COAL_STOVE	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	DEC_THHP_GAS_COLD	DEC_ELEC_COLD	IND_ELEC_COLD	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_GASOLINE	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	MOTORCYCLE	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	MOTORCYCLE_ELECTRIC	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_GASOLINE	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	SYN_METHANOLATION	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	EFFICIENCY	DHN	GRID	HVAC_LINE	PT_COLLECTOR	ST_COLLECTOR	H2_ELECTROLYSIS	SMR	H2_BIOMASS	GASIFICATION_SNG	SYN_METHANATION	BIOMETHANATION	BIO_HYDROLYSIS	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	AMMONIA_TO_H2	DAM_STORAGE_Pin	DAM_STORAGE_Pout	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_COAL_STOVE_Pin	TS_COAL_STOVE_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	PT_STORAGE_Pin	PT_STORAGE_Pout	ST_STORAGE_Pin	ST_STORAGE_Pout	TS_COLD_Pin	TS_COLD_Pout	CAES_Pin	CAES_Pout	END_USE	
 1 	 1							52.569448	0.000000																									-0.075907																			-4.946719							-4.199995																-59.499506																			-0.167826																							-0.000000											0.000000	0.000001																																														-0.000098	16.320603																							0.000000	
 1 	 2							52.569448	0.000000																									-0.075477																			-4.946689							-4.199995																-59.499506																			-0.067187																							-0.000000											0.000000	0.000001																																														-0.000099	16.219505																							0.000000	
 1 	 3							52.569448	0.000000																									-0.074920																			-4.946674							-4.199995																-59.499506																			-0.033451																							-0.000000											0.000000	0.000001																																														-0.000099	16.185196																							0.000000	
 1 	 4							52.569448	0.000000																									-0.074538																			-4.946667							-4.199995																-59.499506																			-0.403125																							-0.000000											0.000000	0.000001																																														-0.000099	16.554482																							0.000000	
 1 	 5							52.569448	0.000000																									-0.074263																			-4.946663							-4.199995																-59.499506																			-1.074999																							-0.000000											0.000000	0.000001																																														-0.000099	17.226077																							0.000000	
 1 	 6							52.569448	0.000000																									-0.073936																			-4.946660							-4.199995																-59.499506																			-2.687499																							-0.000000											0.000000	0.000001																																														-0.000099	18.838247																							0.000000	
 1 	 7							52.569448	0.000000																									-0.073616																			-4.946659							-4.199995																-59.499506																			-5.206314																							-0.000000											0.000000	0.000001																																														-0.000098	21.356740																							0.000000	
 1 	 8							52.569448	0.000000																									-0.071668																			-4.946659							-4.199995																-59.499506																			-4.534525																							-0.000000											0.000000	0.000001																																														-0.000098	20.683004																							0.000000	
 1 	 9							52.569448	0.000000																									-0.071437																			-4.946658							-4.199995																-59.499506																			-4.198645																							-0.000000											0.000000	0.000001																																														-0.000099	20.346891																							0.000000	
 1 	 10							52.569448	0.000000																									-0.071202																			-4.946658							-4.199995																-59.499506																			-4.702494																							-0.000000											0.000000	0.000001																																														-0.000098	20.850505																							0.000000	
 1 	 11							52.569448	0.000000																									-0.071140																			-4.946658							-4.199995																-59.499506																			-5.374254																							-0.000000											0.000000	0.000001																																														-0.000098	21.522203																							0.000000	
 1 	 12							52.569448	0.000000																									-0.070730																			-4.946658							-4.199995																-59.499506																			-5.911697																							-0.000000											0.000000	0.000001																																														-0.000101	22.059237																							0.000000	
 1 	 13							52.569448	0.000000																									-0.070665																			-4.946658							-4.199995																-59.499506																			-5.374254																							-0.000000											0.000000	0.000001																																														-0.000098	21.521728																							0.000000	
 1 	 14							52.569448	0.000000																									-0.070453																			-4.946657							-4.199995																-59.499506																			-5.441442																							-0.000000											0.000000	0.000001																																														-0.000098	21.588702																							0.000000	
 1 	 15							52.569448	0.000000																									-0.070116																			-4.946657							-4.199995																-59.499506																			-6.113230																							-0.000000											0.000000	0.000001																																														-0.000100	22.260157																							0.000000	
 1 	 16							52.569448	0.000000																									-0.070044																			-4.946657							-4.199995																-59.499506																			-6.381952																							-0.000000											0.000000	0.000001																																														-0.000100	22.528806																							0.000000	
 1 	 17							52.569448	0.000000																									-0.069763																			-4.946657							-4.199995																-59.499506																			-6.381952																							-0.000000											0.000000	0.000001																																														-0.000100	22.528524																							0.000000	
 1 	 18							52.569448	0.000000																									-0.069568																			-4.946656							-4.199995																-59.499506																			-4.702494																							-0.000000											0.000000	0.000001																																														-0.000097	20.848868																							0.000000	
 1 	 19							52.569448	0.000000																									-0.069067																			-4.946655							-4.199995																-59.499506																			-3.358916																							-0.000000											0.000000	0.000001																																														-0.000097	19.504788																							0.000000	
 1 	 20							52.569448	0.000000																									-0.068610																			-4.946653							-4.199995																-59.499506																			-2.518815																							-0.000000											0.000000	0.000001																																														-0.000098	18.664229																							0.000000	
 1 	 21							52.569448	0.000000																									-0.068047																			-4.946649							-4.199995																-59.499506																			-1.678257																							-0.000000											0.000000	0.000001																																														-0.000098	17.823104																							0.000000	
 1 	 22							52.569448	0.000000																									-0.067345																			-4.946641							-4.199995																-59.499506																			-1.074999																							-0.000000											0.000000	0.000001																																														-0.000098	17.219137																							0.000000	
 1 	 23							52.569448	0.000000																									-0.066711																			-4.946626							-4.199995																-59.499506																			-0.671875																							-0.000000											0.000000	0.000001																																														-0.000099	16.815364																							0.000000	
 1 	 24							52.569448	0.000000																									-0.066230																			-4.946596							-4.199995																-59.499506																			-0.268750																							-0.000000											0.000000	0.000001																																														-0.000099	16.411728																							0.000000	
 2 	 1							52.569448	0.000000																									-0.000012																			-4.946718							-4.199993																-45.422367																			-0.167826																							-0.000000											0.000000	0.000001																																														-0.000093	2.167560																							0.000000	
 2 	 2							52.569448	0.000000																									-0.000012																			-4.946688							-4.199993																-45.973649																			-0.067187																							-0.000000											0.000000	0.000001																																														-0.000096	2.618177																							0.000000	
 2 	 3							52.569448	0.000000																									-0.000012																			-4.946674							-4.199993																-54.463301																			-0.033451																							-0.000000											0.000000	0.000001																																														-0.000099	11.074081																							0.000000	
 2 	 4							52.569448	0.000000																									-0.000012																			-4.946667							-4.199993																-56.811727																			-0.403125																							-0.000000											0.000000	0.000001																																														-0.000100	13.792175																							0.000000	
 2 	 5							52.569448	0.000000																									-0.000012																			-4.946662							-4.199993																-57.515289																			-1.074999																							-0.000000											0.000000	0.000001																																														-0.000100	15.167607																							0.000000	
