Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	IMPORTED_GAS	WOOD	WET_BIOMASS	IMPORTED_COAL	LOCAL_COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	PT_HEAT	ST_HEAT	NUCLEAR	CCGT	CCGT_AMMONIA	IMPORTED_COAL_CENTRAL	LOCAL_COAL_CENTRAL	BIOMASS_TO_POWER	PV_ROOFTOP	PV_UTILITY	PT_POWER_BLOCK	ST_POWER_BLOCK	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_DAM	HYDRO_RIVER	TIDAL	WAVE	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	COAL_STOVE	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	DEC_THHP_GAS_COLD	DEC_ELEC_COLD	IND_ELEC_COLD	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_GASOLINE	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	MOTORCYCLE	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	MOTORCYCLE_ELECTRIC	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_GASOLINE	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	SYN_METHANOLATION	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	EFFICIENCY	H2_INFRASTRUCTURE	CHARGING_STATION	DHN	GRID	HVAC_LINE	PT_COLLECTOR	ST_COLLECTOR	H2_ELECTROLYSIS	SMR	H2_BIOMASS	GASIFICATION_SNG	SYN_METHANATION	BIOMETHANATION	BIO_HYDROLYSIS	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	AMMONIA_TO_H2	DAM_STORAGE_Pin	DAM_STORAGE_Pout	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_COAL_STOVE_Pin	TS_COAL_STOVE_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	PT_STORAGE_Pin	PT_STORAGE_Pout	ST_STORAGE_Pin	ST_STORAGE_Pout	TS_COLD_Pin	TS_COLD_Pout	CAES_Pin	CAES_Pout	END_USE	
 1 	 1		0.073872		0.000001																																																																																								-0.076398					0.000000																																																																																						-0.003866	0.006392																	0.000000	
 1 	 2		0.029228		0.000001																																																																																								-0.030585					0.000000																																																																																						-0.004374	0.005731																	0.000000	
 1 	 3		0.016068		0.000001																																																																																								-0.015228					0.000000																																																																																						-0.005576	0.004735																	0.000000	
 1 	 4		0.183045		0.000001																																																																																								-0.183513					0.000000																																																																																						-0.005055	0.005521																	0.000000	
 1 	 5		0.490326		0.000001																																																																																								-0.489367					0.000000																																																																																						-0.005777	0.004817																	0.000000	
 1 	 6		1.224658		0.000001																																																																																								-1.223417					0.000000																																																																																						-0.005889	0.004647																	0.000000	
 1 	 7		2.371434		0.000001																																																																																								-2.370045					0.000000																																																																																						-0.005895	0.004505																	0.000000	
 1 	 8		2.065608		0.000001																																																																																								-2.064230					0.000000																																																																																						-0.005967	0.004589																	0.000000	
 1 	 9		1.912693		0.000001																																																																																								-1.911329					0.000000																																																																																						-0.005969	0.004604																	0.000000	
 1 	 10		2.142014		0.000001																																																																																								-2.140694					0.000000																																																																																						-0.005881	0.004560																	0.000000	
 1 	 11		2.447334		0.000001																																																																																								-2.446496					0.000000																																																																																						-0.005627	0.004788																	0.000000	
 1 	 12		2.692004		0.000001																																																																																								-2.691153					0.000000																																																																																						-0.005630	0.004779																	0.000000	
 1 	 13		2.447269		0.000001																																																																																								-2.446496					0.000000																																																																																						-0.005592	0.004818																	0.000000	
 1 	 14		2.477651		0.000001																																																																																								-2.477081					0.000000																																																																																						-0.005502	0.004932																	0.000000	
 1 	 15		2.783210		0.000001																																																																																								-2.782897					0.000000																																																																																						-0.005402	0.005087																	0.000000	
 1 	 16		2.905416		0.000001																																																																																								-2.905225					0.000000																																																																																						-0.005375	0.005183																	0.000000	
 1 	 17		2.905477		0.000001																																																																																								-2.905225					0.000000																																																																																						-0.005431	0.005179																	0.000000	
 1 	 18		2.140716		0.000001																																																																																								-2.140694					0.000000																																																																																						-0.005379	0.005355																	0.000000	
 1 	 19		1.528510		0.000001																																																																																								-1.529063					0.000000																																																																																						-0.005043	0.005595																	0.000000	
 1 	 20		1.145605		0.000001																																																																																								-1.146628					0.000000																																																																																						-0.004822	0.005844																	0.000000	
 1 	 21		0.763187		0.000001																																																																																								-0.763985					0.000000																																																																																						-0.004722	0.005519																	0.000000	
 1 	 22		0.489273		0.000001																																																																																								-0.489367					0.000000																																																																																						-0.005062	0.005154																	0.000000	
 1 	 23		0.305658		0.000001																																																																																								-0.305854					0.000000																																																																																						-0.005127	0.005322																	0.000000	
 1 	 24		0.120573		0.000001																																																																																								-0.122342					0.000000																																																																																						-0.004176	0.005944																	0.000000	
 2 	 1		0.074149		0.000000																																																																																								-0.076398					0.000000																																																																																						-0.003997	0.006246																	0.000000	
 2 	 2		0.028743		0.000000																																																																																								-0.030585					0.000000																																																																																						-0.004106	0.005947																	0.000000	
 2 	 3		0.016344		0.000000																																																																																								-0.015228					0.000000																																																																																						-0.005727	0.004610																	0.000000	
 2 	 4		0.183989		0.000000																																																																																								-0.183513					0.000000																																																																																						-0.005506	0.005030																	0.000000	
 2 	 5		0.490631		0.000000																																																																																								-0.489367					0.000000																																																																																						-0.005920	0.004655																	0.000000	
 2 	 6		1.224762		0.000000																																																																																								-1.223417					0.000000																																																																																						-0.005922	0.004577																	0.000000	
 2 	 7		2.371328		0.000000																																																																																								-2.370045					0.000000																																																																																						-0.005892	0.004609																	0.000000	
 2 	 8		2.065610		0.000000																																																																																								-2.064230					0.000000																																																																																						-0.005949	0.004569																	0.000000	
 2 	 9		1.912873		0.000000																																																																																								-1.911329					0.000000																																																																																						-0.006072	0.004528																	0.000000	
 2 	 10		2.142337		0.000000																																																																																								-2.140694					0.000000																																																																																						-0.006170	0.004526																	0.000000	
 2 	 11		2.447083		0.000000																																																																																								-2.446496					0.000000																																																																																						-0.005498	0.004911																	0.000000	
 2 	 12		2.691573		0.000000																																																																																								-2.691153					0.000000																																																																																						-0.005423	0.005003																	0.000000	
 2 	 13		2.446470		0.000000																																																																																								-2.446496					0.000000																																																																																						-0.005220	0.005245																	0.000000	
 2 	 14		2.476517		0.000000																																																																																								-2.477081					0.000000																																																																																						-0.005000	0.005564																	0.000000	
 2 	 15		2.781951		0.000000																																																																																								-2.782897					0.000000																																																																																						-0.004838	0.005784																	0.000000	
 2 	 16		2.904406		0.000000																																																																																								-2.905225					0.000000																																																																																						-0.004910	0.005730																	0.000000	
 2 	 17		2.904633		0.000000																																																																																								-2.905225					0.000000																																																																																						-0.005025	0.005617																	0.000000	
 2 	 18		2.140229		0.000000																																																																																								-2.140694					0.000000																																																																																						-0.004993	0.005457																	0.000000	
 2 	 19		1.528585		0.000000																																																																																								-1.529063					0.000000																																																																																						-0.004974	0.005452																	0.000000	
 2 	 20		1.145718		0.000000																																																																																								-1.146628					0.000000																																																																																						-0.004812	0.005723																	0.000000	
 2 	 21		0.762828		0.000000																																																																																								-0.763985					0.000000																																																																																						-0.004586	0.005743																	0.000000	
 2 	 22		0.489050		0.000000																																																																																								-0.489367					0.000000																																																																																						-0.004842	0.005159																	0.000000	
 2 	 23		0.305787		0.000000																																																																																								-0.305854					0.000000																																																																																						-0.005111	0.005178																	0.000000	
 2 	 24		0.120861		0.000000																																																																																								-0.122342					0.000000																																																																																						-0.004369	0.005849																	0.000000	
 3 	 1		0.074584		0.000002																																																																																								-0.076398					0.000000																																																																																						-0.004263	0.006075																	0.000000	
 3 	 2		0.029449		0.000002																																																																																								-0.030585					0.000000																																																																																						-0.004429	0.005564																	0.000000	
 3 	 3		0.015878		0.000002																																																																																								-0.015228					0.000000																																																																																						-0.005385	0.004732																	0.000000	
 3 	 4		0.182568		0.000002																																																																																								-0.183513					0.000000																																																																																						-0.004777	0.005720																	0.000000	
 3 	 5		0.489995		0.000002																																																																																								-0.489367					0.000000																																																																																						-0.005558	0.004927																	0.000000	
 3 	 6		1.223915		0.000002																																																																																								-1.223417					0.000000																																																																																						-0.005517	0.005016																	0.000000	
 3 	 7		2.371296		0.000002																																																																																								-2.370045					0.000000																																																																																						-0.005840	0.004587																	0.000000	
 3 	 8		2.065034		0.000002																																																																																								-2.064230					0.000000																																																																																						-0.005668	0.004862																	0.000000	
 3 	 9		1.912082		0.000002																																																																																								-1.911329					0.000000																																																																																						-0.005645	0.004889																	0.000000	
 3 	 10		2.141807		0.000002																																																																																								-2.140694					0.000000																																																																																						-0.005781	0.004666																	0.000000	
 3 	 11		2.447334		0.000002																																																																																								-2.446496					0.000000																																																																																						-0.005644	0.004804																	0.000000	
 3 	 12		2.691992		0.000002																																																																																								-2.691153					0.000000																																																																																						-0.005638	0.004798																	0.000000	
 3 	 13		2.447349		0.000002																																																																																								-2.446496					0.000000																																																																																						-0.005648	0.004793																	0.000000	
 3 	 14		2.477893		0.000002																																																																																								-2.477081					0.000000																																																																																						-0.005631	0.004817																	0.000000	
 3 	 15		2.783627		0.000002																																																																																								-2.782897					0.000000																																																																																						-0.005596	0.004863																	0.000000	
 3 	 16		2.905917		0.000002																																																																																								-2.905225					0.000000																																																																																						-0.005587	0.004893																	0.000000	
 3 	 17		2.905944		0.000002																																																																																								-2.905225					0.000000																																																																																						-0.005618	0.004897																	0.000000	
 3 	 18		2.141253		0.000002																																																																																								-2.140694					0.000000																																																																																						-0.005545	0.004984																	0.000000	
 3 	 19		1.528792		0.000002																																																																																								-1.529063					0.000000																																																																																						-0.005109	0.005379																	0.000000	
 3 	 20		1.145998		0.000002																																																																																								-1.146628					0.000000																																																																																						-0.004929	0.005557																	0.000000	
 3 	 21		0.763317		0.000002																																																																																								-0.763985					0.000000																																																																																						-0.004854	0.005520																	0.000000	
 3 	 22		0.489323		0.000002																																																																																								-0.489367					0.000000																																																																																						-0.005179	0.005222																	0.000000	
 3 	 23		0.305418		0.000002																																																																																								-0.305854					0.000000																																																																																						-0.005077	0.005511																	0.000000	
 3 	 24		0.120367		0.000002																																																																																								-0.122342					0.000000																																																																																						-0.004224	0.006197																	0.000000	
 4 	 1		0.073921		0.000001																																																																																								-0.076398					0.000000																																																																																						-0.003877	0.006354																	0.000000	
 4 	 2		0.029091		0.000001																																																																																								-0.030585					0.000000																																																																																						-0.004295	0.005788																	0.000000	
 4 	 3		0.015733		0.000001																																																																																								-0.015228					0.000000																																																																																						-0.005342	0.004836																	0.000000	
 4 	 4		0.182859		0.000001																																																																																								-0.183513					0.000000																																																																																						-0.004947	0.005599																	0.000000	
 4 	 5		0.490192		0.000001																																																																																								-0.489367					0.000000																																																																																						-0.005685	0.004859																	0.000000	
 4 	 6		1.224478		0.000001																																																																																								-1.223417					0.000000																																																																																						-0.005793	0.004731																	0.000000	
 4 	 7		2.371288		0.000001																																																																																								-2.370045					0.000000																																																																																						-0.005821	0.004578																	0.000000	
 4 	 8		2.065473		0.000001																																																																																								-2.064230					0.000000																																																																																						-0.005890	0.004647																	0.000000	
 4 	 9		1.912554		0.000001																																																																																								-1.911329					0.000000																																																																																						-0.005887	0.004660																	0.000000	
 4 	 10		2.141857		0.000001																																																																																								-2.140694					0.000000																																																																																						-0.005795	0.004631																	0.000000	
 4 	 11		2.447188		0.000001																																																																																								-2.446496					0.000000																																																																																						-0.005557	0.004863																	0.000000	
 4 	 12		2.691847		0.000001																																																																																								-2.691153					0.000000																																																																																						-0.005555	0.004860																	0.000000	
 4 	 13		2.447152		0.000001																																																																																								-2.446496					0.000000																																																																																						-0.005536	0.004879																	0.000000	
 4 	 14		2.477593		0.000001																																																																																								-2.477081					0.000000																																																																																						-0.005474	0.004962																	0.000000	
 4 	 15		2.783191		0.000001																																																																																								-2.782897					0.000000																																																																																						-0.005387	0.005091																	0.000000	
 4 	 16		2.905418		0.000001																																																																																								-2.905225					0.000000																																																																																						-0.005366	0.005172																	0.000000	
 4 	 17		2.905468		0.000001																																																																																								-2.905225					0.000000																																																																																						-0.005413	0.005170																	0.000000	
 4 	 18		2.140740		0.000001																																																																																								-2.140694					0.000000																																																																																						-0.005358	0.005311																	0.000000	
 4 	 19		1.528603		0.000001																																																																																								-1.529063					0.000000																																																																																						-0.005064	0.005524																	0.000000	
 4 	 20		1.145678		0.000001																																																																																								-1.146628					0.000000																																																																																						-0.004835	0.005784																	0.000000	
 4 	 21		0.763153		0.000001																																																																																								-0.763985					0.000000																																																																																						-0.004702	0.005533																	0.000000	
 4 	 22		0.489264		0.000001																																																																																								-0.489367					0.000000																																																																																						-0.005046	0.005148																	0.000000	
 4 	 23		0.305588		0.000001																																																																																								-0.305854					0.000000																																																																																						-0.005094	0.005359																	0.000000	
 4 	 24		0.120490		0.000001																																																																																								-0.122342					0.000000																																																																																						-0.004231	0.006082																	0.000000	
 5 	 1		0.074124		0.000000																																																																																								-0.076398					0.000000																																																																																						-0.003990	0.006265																	0.000000	
 5 	 2		0.029070		0.000000																																																																																								-0.030585					0.000000																																																																																						-0.004284	0.005800																	0.000000	
 5 	 3		0.016434		0.000000																																																																																								-0.015228					0.000000																																																																																						-0.005785	0.004578																	0.000000	
 5 	 4		0.183989		0.000000																																																																																								-0.183513					0.000000																																																																																						-0.005498	0.005021																	0.000000	
 5 	 5		0.490750		0.000000																																																																																								-0.489367					0.000000																																																																																						-0.005962	0.004578																	0.000000	
 5 	 6		1.224798		0.000000																																																																																								-1.223417					0.000000																																																																																						-0.005909	0.004528																	0.000000	
 5 	 7		2.371387		0.000000																																																																																								-2.370045					0.000000																																																																																						-0.005891	0.004549																	0.000000	
 5 	 8		2.065688		0.000000																																																																																								-2.064230					0.000000																																																																																						-0.005954	0.004496																	0.000000	
 5 	 9		1.912910		0.000000																																																																																								-1.911329					0.000000																																																																																						-0.006041	0.004460																	0.000000	
 5 	 10		2.142218		0.000000																																																																																								-2.140694					0.000000																																																																																						-0.006040	0.004515																	0.000000	
 5 	 11		2.446902		0.000000																																																																																								-2.446496					0.000000																																																																																						-0.005408	0.005001																	0.000000	
 5 	 12		2.691487		0.000000																																																																																								-2.691153					0.000000																																																																																						-0.005391	0.005057																	0.000000	
 5 	 13		2.446504		0.000000																																																																																								-2.446496					0.000000																																																																																						-0.005240	0.005231																	0.000000	
 5 	 14		2.476611		0.000000																																																																																								-2.477081					0.000000																																																																																						-0.005033	0.005502																	0.000000	
 5 	 15		2.782095		0.000000																																																																																								-2.782897					0.000000																																																																																						-0.004886	0.005688																	0.000000	
 5 	 16		2.904493		0.000000																																																																																								-2.905225					0.000000																																																																																						-0.004934	0.005667																	0.000000	
 5 	 17		2.904711		0.000000																																																																																								-2.905225					0.000000																																																																																						-0.005049	0.005563																	0.000000	
 5 	 18		2.140208		0.000000																																																																																								-2.140694					0.000000																																																																																						-0.005002	0.005487																	0.000000	
 5 	 19		1.528501		0.000000																																																																																								-1.529063					0.000000																																																																																						-0.004946	0.005509																	0.000000	
 5 	 20		1.145674		0.000000																																																																																								-1.146628					0.000000																																																																																						-0.004783	0.005738																	0.000000	
 5 	 21		0.762964		0.000000																																																																																								-0.763985					0.000000																																																																																						-0.004644	0.005665																	0.000000	
 5 	 22		0.489159		0.000000																																																																																								-0.489367					0.000000																																																																																						-0.004911	0.005118																	0.000000	
 5 	 23		0.305727		0.000000																																																																																								-0.305854					0.000000																																																																																						-0.005085	0.005212																	0.000000	
 5 	 24		0.120915		0.000000																																																																																								-0.122342					0.000000																																																																																						-0.004390	0.005816																	0.000000	
 6 	 1		0.073491		0.000001																																																																																								-0.076398					0.000000																																																																																						-0.003687	0.006594																	0.000000	
 6 	 2		0.028927		0.000001																																																																																								-0.030585					0.000000																																																																																						-0.004236	0.005894																	0.000000	
 6 	 3		0.015926		0.000001																																																																																								-0.015228					0.000000																																																																																						-0.005531	0.004832																	0.000000	
 6 	 4		0.183413		0.000001																																																																																								-0.183513					0.000000																																																																																						-0.005182	0.005281																	0.000000	
