Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	IMPORTED_GAS	WOOD	WET_BIOMASS	IMPORTED_COAL	LOCAL_COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	PT_HEAT	ST_HEAT	NUCLEAR	CCGT	CCGT_AMMONIA	IMPORTED_COAL_CENTRAL	LOCAL_COAL_CENTRAL	BIOMASS_TO_POWER	PV_ROOFTOP	PV_UTILITY	PT_POWER_BLOCK	ST_POWER_BLOCK	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_DAM	HYDRO_RIVER	TIDAL	WAVE	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	COAL_STOVE	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	DEC_THHP_GAS_COLD	DEC_ELEC_COLD	IND_ELEC_COLD	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_GASOLINE	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	MOTORCYCLE	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	MOTORCYCLE_ELECTRIC	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_GASOLINE	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	SYN_METHANOLATION	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	EFFICIENCY	H2_INFRASTRUCTURE	CHARGING_STATION	DHN	GRID	HVAC_LINE	PT_COLLECTOR	ST_COLLECTOR	H2_ELECTROLYSIS	SMR	H2_BIOMASS	GASIFICATION_SNG	SYN_METHANATION	BIOMETHANATION	BIO_HYDROLYSIS	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	AMMONIA_TO_H2	DAM_STORAGE_Pin	DAM_STORAGE_Pout	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_COAL_STOVE_Pin	TS_COAL_STOVE_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	PT_STORAGE_Pin	PT_STORAGE_Pout	ST_STORAGE_Pin	ST_STORAGE_Pout	TS_COLD_Pin	TS_COLD_Pout	CAES_Pin	CAES_Pout	END_USE	
 1 	 1																																																											1.679997	0.000002	0.016342				5.850373		3.049997	0.000000																																																0.000000		0.000000												0.000000	0.000000																																								-0.000036	0.000021	-0.199315	3.690812																											-14.088193	
 1 	 2																																																											1.679997	0.000002	0.016342				5.850373		3.049997	0.000000																																																0.000000		0.000000												0.000000	0.000000																																								-0.000030	0.000025	-0.161879	3.797249																											-14.232077	
 1 	 3																																																											1.679997	0.000002	0.016342				5.850373		3.049997	0.000000																																																0.000000		0.000000												0.000000	0.000000																																								-0.000028	0.000027	-0.154172	3.820332																											-14.262870	
 1 	 4																																																											1.679997	0.000002	0.016342				5.850373		3.049997	0.000000																																																0.000000		0.000000												0.000000	0.000000																																								-0.000028	0.000027	-0.166527	3.787151																											-14.217334	
 1 	 5																																																											1.679997	0.000002	0.016342				5.850373		3.049997	0.000000																																																0.000000		0.000000												0.000000	0.000000																																								-0.000028	0.000027	-0.147608	3.840533																											-14.289636	
 1 	 6																																																											1.679997	0.000002	0.016342				5.850373		3.049997	0.000000																																																0.000000		0.000000												0.000000	0.000000																																								-0.000028	0.000027	-0.115049	3.931649																											-14.413310	
 1 	 7																																																											1.679997	0.000002	0.016342				5.850373		3.049997	0.000000																																																0.000000		0.000000												0.000000	0.000000																																								-0.000028	0.000027	-0.096440	3.984252																											-14.484523	
 1 	 8																																																											1.679997	0.000002	0.016342				5.850373		3.049997	0.000342																																																0.000000		0.000000												0.000000	0.000000																																								-0.000028	0.000027	-0.069108	4.061074																											-14.589017	
 1 	 9																																																											1.679997	0.000002	0.016342				5.850373		3.049997	0.005152																																																0.000000		0.000000												0.000000	0.000000																																								-0.000028	0.000027	-0.066727	4.067847																											-14.602982	
 1 	 10																																																											1.679997	0.000002	0.016342				5.850373		3.049997	0.020017																																																0.000000		0.000000												0.000000	0.000000																																								-0.000027	0.000028	-0.224889	3.621555																											-14.013394	
 1 	 11																																																											1.679997	0.000002	0.016342				5.850373		3.049997	0.038705																																																0.000000		0.000000												0.000000	0.000000																																								-0.000028	0.000027	-0.386028	3.191347																											-13.440736	
 1 	 12																																																											1.679997	0.000002	0.016342				5.850373		3.049997	0.056514																																																0.000000		0.000000												0.000000	0.000000																																								-0.000028	0.000028	-0.537098	2.813491																											-12.929618	
 1 	 13																																																											1.679997	0.000002	0.016342				5.850373		3.049997	0.063502																																																0.000000		0.000000												0.000000	0.000000																																								-0.000028	0.000028	-0.660587	2.531788																											-12.531414	
 1 	 14																																																											1.679997	0.000002	0.016342				5.850373		3.049997	0.062062																																																0.000000		0.000000												0.000000	0.000000																																								-0.000028	0.000028	-0.723047	2.400398																											-12.336124	
 1 	 15																																																											1.679997	0.000002	0.016342				5.850373		3.049997	0.053570																																																0.000000		0.000000												0.000000	0.000000																																								-0.000028	0.000028	-0.714408	2.421228																											-12.357101	
 1 	 16																																																											1.679997	0.000002	0.016342				5.850373		3.049997	0.037394																																																0.000000		0.000000												0.000000	0.000000																																								-0.000028	0.000027	-0.663204	2.534187																											-12.505089	
 1 	 17																																																											1.679997	0.000002	0.016342				5.850373		3.049997	0.018896																																																0.000000		0.000000												0.000000	0.000000																																								-0.000028	0.000027	-0.559539	2.768951																											-12.825018	
 1 	 18																																																											1.679997	0.000002	0.016342				5.850373		3.049997	0.003114																																																0.000000		0.000000												0.000000	0.000000																																								-0.000028	0.000027	-0.334157	3.334846																											-13.600514	
 1 	 19																																																											1.679997	0.000002	0.016342				5.850373		3.049997	0.000000																																																0.000000		0.000000												0.000000	0.000000																																								-0.000028	0.000027	-0.200108	3.701237																											-14.097840	
 1 	 20																																																											1.679997	0.000002	0.016342				5.850373		3.049997	0.000000																																																0.000000		0.000000												0.000000	0.000000																																								-0.000029	0.000026	-0.152247	3.836038																											-14.280500	
 1 	 21																																																											1.679997	0.000002	0.016342				5.850373		3.049997	0.000000																																																0.000000		0.000000												0.000000	0.000000																																								-0.000031	0.000024	-0.120194	3.924223																											-14.400733	
 1 	 22																																																											1.679997	0.000002	0.016342				5.850373		3.049997	0.000000																																																0.000000		0.000000												0.000000	0.000000																																								-0.000038	0.000019	-0.100655	3.979145																											-14.475183	
 1 	 23																																																											1.679997	0.000002	0.016342				5.850373		3.049997	0.000000																																																0.000000		0.000000												0.000000	0.000000																																								-0.000050	0.000013	-0.068845	4.070104																											-14.597933	
 1 	 24																																																											1.680000	0.000013	0.016350				5.850376		3.050000	0.000000																																																0.000000		0.000000												0.000000	0.000000																																								-0.000000	0.000085	-0.000001	4.257668																											-14.854489	
 2 	 1																																																											1.679999	0.000001	0.016349				5.850375		3.049999	0.000000																																																0.000000		0.000000												0.000000	0.000000																																								-0.000024	0.000031	-0.531420	2.837233																											-12.902544	
 2 	 2																																																											1.679999	0.000001	0.016349				5.850375		3.049999	0.000000																																																0.000000		0.000000												0.000000	0.000000																																								-0.000028	0.000028	-0.492804	2.918526																											-13.022446	
 2 	 3																																																											1.679999	0.000001	0.016349				5.850375		3.049999	0.000000																																																0.000000		0.000000												0.000000	0.000000																																								-0.000028	0.000028	-0.461723	3.001575																											-13.136576	
