Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	IMPORTED_GAS	WOOD	WET_BIOMASS	IMPORTED_COAL	LOCAL_COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	PT_HEAT	ST_HEAT	NUCLEAR	CCGT	CCGT_AMMONIA	IMPORTED_COAL_CENTRAL	LOCAL_COAL_CENTRAL	BIOMASS_TO_POWER	PV_ROOFTOP	PV_UTILITY	PT_POWER_BLOCK	ST_POWER_BLOCK	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_DAM	HYDRO_RIVER	TIDAL	WAVE	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	COAL_STOVE	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	DEC_THHP_GAS_COLD	DEC_ELEC_COLD	IND_ELEC_COLD	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_GASOLINE	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	MOTORCYCLE	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	MOTORCYCLE_ELECTRIC	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_GASOLINE	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	SYN_METHANOLATION	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	EFFICIENCY	H2_INFRASTRUCTURE	CHARGING_STATION	DHN	GRID	HVAC_LINE	PT_COLLECTOR	ST_COLLECTOR	H2_ELECTROLYSIS	SMR	H2_BIOMASS	GASIFICATION_SNG	SYN_METHANATION	BIOMETHANATION	BIO_HYDROLYSIS	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	AMMONIA_TO_H2	DAM_STORAGE_Pin	DAM_STORAGE_Pout	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_COAL_STOVE_Pin	TS_COAL_STOVE_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	PT_STORAGE_Pin	PT_STORAGE_Pout	ST_STORAGE_Pin	ST_STORAGE_Pout	TS_COLD_Pin	TS_COLD_Pout	CAES_Pin	CAES_Pout	END_USE	
 1 	 1																								0.000000														0.000000																														0.000000											0.000000																																																																																																																										0.000000	
 1 	 2																								0.000000														0.000000																														0.000000											0.000000																																																																																																																										0.000000	
 1 	 3																								0.000000														0.000000																														0.000000											0.000000																																																																																																																										0.000000	
 1 	 4																								0.000000														0.000000																														0.000000											0.000000																																																																																																																										0.000000	
 1 	 5																								0.000000														0.000000																														0.000000											0.000000																																																																																																																										0.000000	
 1 	 6																								0.000000														0.000000																														0.000000											0.000000																																																																																																																										0.000000	
 1 	 7																								0.000000														0.000000																														0.000000											0.000000																																																																																																																										0.000000	
 1 	 8																								0.022208														-0.012854																														-0.000342											-0.009013																																																																																																																										0.000000	
 1 	 9																								0.327244														-0.186329																														-0.005152											-0.135763																																																																																																																										0.000000	
 1 	 10																								1.188568														-0.641097																														-0.020017											-0.527454																																																																																																																										0.000000	
 1 	 11																								2.341558														-1.282971																														-0.038705											-1.019882																																																																																																																										0.000000	
 1 	 12																								3.484469														-1.938805																														-0.056514											-1.489150																																																																																																																										0.000000	
 1 	 13																								3.874504														-2.137712																														-0.063502											-1.673290																																																																																																																										0.000000	
 1 	 14																								3.823033														-2.125633																														-0.062062											-1.635339																																																																																																																										0.000000	
 1 	 15																								3.380172														-1.915037																														-0.053569											-1.411565																																																																																																																										0.000000	
 1 	 16																								2.380122														-1.357380																														-0.037394											-0.985347																																																																																																																										0.000000	
 1 	 17																								1.214638														-0.697833																														-0.018896											-0.497909																																																																																																																										0.000000	
 1 	 18																								0.184742														-0.099564																														-0.003114											-0.082065																																																																																																																										0.000000	
 1 	 19																								0.000000														0.000000																														0.000000											0.000000																																																																																																																										0.000000	
 1 	 20																								0.000000														0.000000																														0.000000											0.000000																																																																																																																										0.000000	
 1 	 21																								0.000000														0.000000																														0.000000											0.000000																																																																																																																										0.000000	
 1 	 22																								0.000000														0.000000																														0.000000											0.000000																																																																																																																										0.000000	
 1 	 23																								0.000000														0.000000																														0.000000											0.000000																																																																																																																										0.000000	
 1 	 24																								0.000000														0.000000																														0.000000											0.000000																																																																																																																										0.000000	
 2 	 1																								0.000000														0.000000																														0.000000											0.000000																																																																																																																										0.000000	
 2 	 2																								0.000000														0.000000																														0.000000											0.000000																																																																																																																										0.000000	
 2 	 3																								0.000000														0.000000																														0.000000											0.000000																																																																																																																										0.000000	
 2 	 4																								0.000000														0.000000																														0.000000											0.000000																																																																																																																										0.000000	
 2 	 5																								0.000000														0.000000																														0.000000											0.000000																																																																																																																										0.000000	
 2 	 6																								0.000000														0.000000																														0.000000											0.000000																																																																																																																										0.000000	
 2 	 7																								0.000128														0.000000																														-0.000005											-0.000124																																																																																																																										0.000000	
 2 	 8																								0.116059														-0.054796																														-0.002240											-0.059023																																																																																																																										0.000000	
 2 	 9																								1.508858														-0.906213																														-0.022034											-0.580611																																																																																																																										0.000000	
 2 	 10																								3.611278														-2.108568																														-0.054944											-1.447766																																																																																																																										0.000000	
 2 	 11																								5.717180														-3.283166																														-0.088995											-2.345020																																																																																																																										0.000000	
 2 	 12																								6.871799														-3.858441																														-0.110177											-2.903180																																																																																																																										0.000000	
 2 	 13																								7.390585														-4.098791																														-0.120358											-3.171437																																																																																																																										0.000000	
 2 	 14																								7.293355														-4.041667																														-0.118892											-3.132796																																																																																																																										0.000000	
 2 	 15																								6.503030														-3.635988																														-0.104828											-2.762214																																																																																																																										0.000000	
 2 	 16																								5.003716														-2.839478																														-0.079131											-2.085107																																																																																																																										0.000000	
 2 	 17																								2.789584														-1.577451																														-0.044319											-1.167814																																																																																																																										0.000000	
 2 	 18																								0.766900														-0.407120																														-0.013155											-0.346625																																																																																																																										0.000000	
 2 	 19																								0.007569														0.000000																														-0.000277											-0.007293																																																																																																																										0.000000	
 2 	 20																								0.000000														0.000000																														0.000000											0.000000																																																																																																																										0.000000	
 2 	 21																								0.000000														0.000000																														0.000000											0.000000																																																																																																																										0.000000	
 2 	 22																								0.000000														0.000000																														0.000000											0.000000																																																																																																																										0.000000	
 2 	 23																								0.000000														0.000000																														0.000000											0.000000																																																																																																																										0.000000	
 2 	 24																								0.000000														0.000000																														0.000000											0.000000																																																																																																																										0.000000	
 3 	 1																								0.000000														0.000000																														0.000000											0.000000																																																																																																																										0.000000	
 3 	 2																								0.000000														0.000000																														0.000000											0.000000																																																																																																																										0.000000	
 3 	 3																								0.000000														0.000000																														0.000000											0.000000																																																																																																																										0.000000	
 3 	 4																								0.000000														0.000000																														0.000000											0.000000																																																																																																																										0.000000	
 3 	 5																								0.000000														0.000000																														0.000000											0.000000																																																																																																																										0.000000	
 3 	 6																								0.000000														0.000000																														0.000000											0.000000																																																																																																																										0.000000	
 3 	 7																								0.000631														0.000000																														-0.000023											-0.000608																																																																																																																										0.000000	
 3 	 8																								0.165762														-0.084050																														-0.002987											-0.078725																																																																																																																										0.000000	
 3 	 9																								1.349784														-0.758890																														-0.021604											-0.569290																																																																																																																										0.000000	
 3 	 10																								3.202829														-1.794419																														-0.051495											-1.356915																																																																																																																										0.000000	
 3 	 11																								4.677646														-2.562338																														-0.077341											-2.037967																																																																																																																										0.000000	
