Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	IMPORTED_GAS	WOOD	WET_BIOMASS	IMPORTED_COAL	LOCAL_COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	PT_HEAT	ST_HEAT	NUCLEAR	CCGT	CCGT_AMMONIA	IMPORTED_COAL_CENTRAL	LOCAL_COAL_CENTRAL	BIOMASS_TO_POWER	PV_ROOFTOP	PV_UTILITY	PT_POWER_BLOCK	ST_POWER_BLOCK	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_DAM	HYDRO_RIVER	TIDAL	WAVE	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	COAL_STOVE	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	DEC_THHP_GAS_COLD	DEC_ELEC_COLD	IND_ELEC_COLD	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_GASOLINE	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	MOTORCYCLE	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	MOTORCYCLE_ELECTRIC	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_GASOLINE	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	SYN_METHANOLATION	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	EFFICIENCY	H2_INFRASTRUCTURE	CHARGING_STATION	DHN	GRID	HVAC_LINE	PT_COLLECTOR	ST_COLLECTOR	H2_ELECTROLYSIS	SMR	H2_BIOMASS	GASIFICATION_SNG	SYN_METHANATION	BIOMETHANATION	BIO_HYDROLYSIS	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	AMMONIA_TO_H2	DAM_STORAGE_Pin	DAM_STORAGE_Pout	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_COAL_STOVE_Pin	TS_COAL_STOVE_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	PT_STORAGE_Pin	PT_STORAGE_Pout	ST_STORAGE_Pin	ST_STORAGE_Pout	TS_COLD_Pin	TS_COLD_Pout	CAES_Pin	CAES_Pout	END_USE	
 1 	 1																							3.526770																			-3.526770																																																																																																																																																															0.000000	
 1 	 2																							3.587013																			-3.587013																																																																																																																																																															0.000000	
 1 	 3																							3.927364																			-3.927364																																																																																																																																																															0.000000	
 1 	 4																							4.087861																			-4.087861																																																																																																																																																															0.000000	
 1 	 5																							3.804140																			-3.804140																																																																																																																																																															0.000000	
 1 	 6																							3.582151																			-3.582151																																																																																																																																																															0.000000	
 1 	 7																							3.607333																			-3.607333																																																																																																																																																															0.000000	
 1 	 8																							3.871406																			-3.871406																																																																																																																																																															0.000000	
 1 	 9																							3.818440																			-3.818440																																																																																																																																																															0.000000	
 1 	 10																							3.743748																			-3.743748																																																																																																																																																															0.000000	
 1 	 11																							3.715995																			-3.715995																																																																																																																																																															0.000000	
 1 	 12																							3.700651																			-3.700651																																																																																																																																																															0.000000	
 1 	 13																							3.648302																			-3.648302																																																																																																																																																															0.000000	
 1 	 14																							3.567242																			-3.567242																																																																																																																																																															0.000000	
 1 	 15																							3.352773																			-3.352773																																																																																																																																																															0.000000	
 1 	 16																							2.835285																			-2.835285																																																																																																																																																															0.000000	
 1 	 17																							2.543744																			-2.543744																																																																																																																																																															0.000000	
 1 	 18																							2.877748																			-2.877748																																																																																																																																																															0.000000	
 1 	 19																							3.224839																			-3.224839																																																																																																																																																															0.000000	
 1 	 20																							3.332654																			-3.332654																																																																																																																																																															0.000000	
 1 	 21																							3.272204																			-3.272204																																																																																																																																																															0.000000	
 1 	 22																							3.056617																			-3.056617																																																																																																																																																															0.000000	
 1 	 23																							2.791846																			-2.791846																																																																																																																																																															0.000000	
 1 	 24																							2.621308																			-2.621308																																																																																																																																																															0.000000	
 2 	 1																							0.686214																			-0.686214																																																																																																																																																															0.000000	
 2 	 2																							0.744449																			-0.744449																																																																																																																																																															0.000000	
 2 	 3																							0.822841																			-0.822841																																																																																																																																																															0.000000	
 2 	 4																							0.990782																			-0.990782																																																																																																																																																															0.000000	
 2 	 5																							1.220150																			-1.220150																																																																																																																																																															0.000000	
 2 	 6																							1.422889																			-1.422889																																																																																																																																																															0.000000	
 2 	 7																							1.608250																			-1.608250																																																																																																																																																															0.000000	
 2 	 8																							1.785169																			-1.785169																																																																																																																																																															0.000000	
 2 	 9																							1.839571																			-1.839571																																																																																																																																																															0.000000	
 2 	 10																							1.530623																			-1.530623																																																																																																																																																															0.000000	
 2 	 11																							1.930040																			-1.930040																																																																																																																																																															0.000000	
 2 	 12																							2.909575																			-2.909575																																																																																																																																																															0.000000	
 2 	 13																							3.309142																			-3.309142																																																																																																																																																															0.000000	
 2 	 14																							3.557502																			-3.557502																																																																																																																																																															0.000000	
 2 	 15																							3.833206																			-3.833206																																																																																																																																																															0.000000	
 2 	 16																							4.093063																			-4.093063																																																																																																																																																															0.000000	
 2 	 17																							4.087348																			-4.087348																																																																																																																																																															0.000000	
 2 	 18																							4.220583																			-4.220583																																																																																																																																																															0.000000	
 2 	 19																							4.711282																			-4.711282																																																																																																																																																															0.000000	
 2 	 20																							5.080979																			-5.080979																																																																																																																																																															0.000000	
 2 	 21																							5.318836																			-5.318836																																																																																																																																																															0.000000	
 2 	 22																							5.513708																			-5.513708																																																																																																																																																															0.000000	
 2 	 23																							5.568257																			-5.568257																																																																																																																																																															0.000000	
 2 	 24																							5.518565																			-5.518565																																																																																																																																																															0.000000	
 3 	 1																							4.798303																			-4.798303																																																																																																																																																															0.000000	
 3 	 2																							4.700957																			-4.700957																																																																																																																																																															0.000000	
 3 	 3																							4.784592																			-4.784592																																																																																																																																																															0.000000	
 3 	 4																							4.897274																			-4.897274																																																																																																																																																															0.000000	
 3 	 5																							4.887418																			-4.887418																																																																																																																																																															0.000000	
 3 	 6																							4.853770																			-4.853770																																																																																																																																																															0.000000	
 3 	 7																							4.833187																			-4.833187																																																																																																																																																															0.000000	
 3 	 8																							4.738235																			-4.738235																																																																																																																																																															0.000000	
 3 	 9																							4.404535																			-4.404535																																																																																																																																																															0.000000	
 3 	 10																							4.423776																			-4.423776																																																																																																																																																															0.000000	
 3 	 11																							4.306971																			-4.306971																																																																																																																																																															0.000000	
 3 	 12																							4.160602																			-4.160602																																																																																																																																																															0.000000	
 3 	 13																							3.948607																			-3.948607																																																																																																																																																															0.000000	
 3 	 14																							3.745741																			-3.745741																																																																																																																																																															0.000000	
 3 	 15																							3.635418																			-3.635418																																																																																																																																																															0.000000	
 3 	 16																							3.609097																			-3.609097																																																																																																																																																															0.000000	
 3 	 17																							3.575891																			-3.575891																																																																																																																																																															0.000000	
 3 	 18																							3.494481																			-3.494481																																																																																																																																																															0.000000	
 3 	 19																							3.439560																			-3.439560																																																																																																																																																															0.000000	
 3 	 20																							3.397407																			-3.397407																																																																																																																																																															0.000000	
 3 	 21																							3.396987																			-3.396987																																																																																																																																																															0.000000	
 3 	 22																							3.398610																			-3.398610																																																																																																																																																															0.000000	
 3 	 23																							3.383402																			-3.383402																																																																																																																																																															0.000000	
 3 	 24																							3.286470																			-3.286470																																																																																																																																																															0.000000	
 4 	 1																							3.015722																			-3.015722																																																																																																																																																															0.000000	
