Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	IMPORTED_GAS	WOOD	WET_BIOMASS	IMPORTED_COAL	LOCAL_COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	PT_HEAT	ST_HEAT	NUCLEAR	CCGT	CCGT_AMMONIA	IMPORTED_COAL_CENTRAL	LOCAL_COAL_CENTRAL	BIOMASS_TO_POWER	PV_ROOFTOP	PV_UTILITY	PT_POWER_BLOCK	ST_POWER_BLOCK	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_DAM	HYDRO_RIVER	TIDAL	WAVE	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	COAL_STOVE	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	DEC_THHP_GAS_COLD	DEC_ELEC_COLD	IND_ELEC_COLD	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_GASOLINE	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	MOTORCYCLE	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	MOTORCYCLE_ELECTRIC	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_GASOLINE	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	SYN_METHANOLATION	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	EFFICIENCY	H2_INFRASTRUCTURE	CHARGING_STATION	DHN	GRID	HVAC_LINE	PT_COLLECTOR	ST_COLLECTOR	H2_ELECTROLYSIS	SMR	H2_BIOMASS	GASIFICATION_SNG	SYN_METHANATION	BIOMETHANATION	BIO_HYDROLYSIS	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	AMMONIA_TO_H2	DAM_STORAGE_Pin	DAM_STORAGE_Pout	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_COAL_STOVE_Pin	TS_COAL_STOVE_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	PT_STORAGE_Pin	PT_STORAGE_Pout	ST_STORAGE_Pin	ST_STORAGE_Pout	TS_COLD_Pin	TS_COLD_Pout	CAES_Pin	CAES_Pout	END_USE	
 1 	 1																							23.166177																			-23.166160	-0.000017																																																																																																																																																														0.000000	
 1 	 2																							23.561879																			-23.561866	-0.000013																																																																																																																																																														0.000000	
 1 	 3																							25.797538																			-25.797524	-0.000014																																																																																																																																																														0.000000	
 1 	 4																							26.851787																			-26.851768	-0.000019																																																																																																																																																														0.000000	
 1 	 5																							24.988122																			-24.988104	-0.000018																																																																																																																																																														0.000000	
 1 	 6																							23.529953																			-23.529937	-0.000016																																																																																																																																																														0.000000	
 1 	 7																							23.695363																			-23.695347	-0.000016																																																																																																																																																														0.000000	
 1 	 8																							25.429971																			-25.429954	-0.000017																																																																																																																																																														0.000000	
 1 	 9																							25.082051																			-25.082035	-0.000016																																																																																																																																																														0.000000	
 1 	 10																							24.591428																			-24.591412	-0.000015																																																																																																																																																														0.000000	
 1 	 11																							24.409123																			-24.409108	-0.000015																																																																																																																																																														0.000000	
 1 	 12																							24.308335																			-24.308320	-0.000015																																																																																																																																																														0.000000	
 1 	 13																							23.964477																			-23.964463	-0.000014																																																																																																																																																														0.000000	
 1 	 14																							23.432014																			-23.432000	-0.000014																																																																																																																																																														0.000000	
 1 	 15																							22.023243																			-22.023230	-0.000013																																																																																																																																																														0.000000	
 1 	 16																							18.624048																			-18.624034	-0.000014																																																																																																																																																														0.000000	
 1 	 17																							16.709008																			-16.708994	-0.000013																																																																																																																																																														0.000000	
 1 	 18																							18.902964																			-18.902951	-0.000013																																																																																																																																																														0.000000	
 1 	 19																							21.182893																			-21.182880	-0.000012																																																																																																																																																														0.000000	
 1 	 20																							21.891094																			-21.891081	-0.000012																																																																																																																																																														0.000000	
 1 	 21																							21.494011																			-21.493998	-0.000013																																																																																																																																																														0.000000	
 1 	 22																							20.077892																			-20.077878	-0.000013																																																																																																																																																														0.000000	
 1 	 23																							18.338704																			-18.338691	-0.000013																																																																																																																																																														0.000000	
 1 	 24																							17.218496																			-17.218483	-0.000013																																																																																																																																																														0.000000	
 2 	 1																							4.507513																			-4.507509	-0.000004																																																																																																																																																														0.000000	
 2 	 2																							4.890039																			-4.890033	-0.000006																																																																																																																																																														0.000000	
 2 	 3																							5.404971																			-5.404965	-0.000006																																																																																																																																																														0.000000	
 2 	 4																							6.508120																			-6.508114	-0.000006																																																																																																																																																														0.000000	
 2 	 5																							8.014761																			-8.014754	-0.000007																																																																																																																																																														0.000000	
 2 	 6																							9.346483																			-9.346475	-0.000007																																																																																																																																																														0.000000	
 2 	 7																							10.564055																			-10.564048	-0.000008																																																																																																																																																														0.000000	
 2 	 8																							11.726179																			-11.726171	-0.000008																																																																																																																																																														0.000000	
 2 	 9																							12.083524																			-12.083516	-0.000008																																																																																																																																																														0.000000	
 2 	 10																							10.054150																			-10.054143	-0.000007																																																																																																																																																														0.000000	
 2 	 11																							12.677782																			-12.677775	-0.000007																																																																																																																																																														0.000000	
 2 	 12																							19.112020																			-19.112011	-0.000009																																																																																																																																																														0.000000	
 2 	 13																							21.736643																			-21.736629	-0.000014																																																																																																																																																														0.000000	
 2 	 14																							23.368041																			-23.368027	-0.000015																																																																																																																																																														0.000000	
 2 	 15																							25.179046																			-25.179031	-0.000015																																																																																																																																																														0.000000	
 2 	 16																							26.885960																			-26.885944	-0.000016																																																																																																																																																														0.000000	
 2 	 17																							26.848418																			-26.848403	-0.000016																																																																																																																																																														0.000000	
 2 	 18																							27.723595																			-27.723578	-0.000017																																																																																																																																																														0.000000	
 2 	 19																							30.946828																			-30.946810	-0.000018																																																																																																																																																														0.000000	
 2 	 20																							33.375244																			-33.375225	-0.000019																																																																																																																																																														0.000000	
 2 	 21																							34.937650																			-34.937630	-0.000020																																																																																																																																																														0.000000	
 2 	 22																							36.217698																			-36.217676	-0.000021																																																																																																																																																														0.000000	
 2 	 23																							36.576013																			-36.575991	-0.000022																																																																																																																																																														0.000000	
 2 	 24																							36.249599																			-36.249577	-0.000022																																																																																																																																																														0.000000	
 3 	 1																							31.518435																			-31.518418	-0.000018																																																																																																																																																														0.000000	
 3 	 2																							30.879002																			-30.878985	-0.000017																																																																																																																																																														0.000000	
 3 	 3																							31.428364																			-31.428350	-0.000014																																																																																																																																																														0.000000	
 3 	 4																							32.168562																			-32.168536	-0.000026																																																																																																																																																														0.000000	
 3 	 5																							32.103830																			-32.103804	-0.000026																																																																																																																																																														0.000000	
 3 	 6																							31.882797																			-31.882771	-0.000026																																																																																																																																																														0.000000	
 3 	 7																							31.747598																			-31.747572	-0.000026																																																																																																																																																														0.000000	
 3 	 8																							31.123889																			-31.123863	-0.000026																																																																																																																																																														0.000000	
 3 	 9																							28.931929																			-28.931904	-0.000025																																																																																																																																																														0.000000	
 3 	 10																							29.058319																			-29.058296	-0.000024																																																																																																																																																														0.000000	
 3 	 11																							28.291059																			-28.291036	-0.000023																																																																																																																																																														0.000000	
 3 	 12																							27.329608																			-27.329585	-0.000023																																																																																																																																																														0.000000	
 3 	 13																							25.937095																			-25.937073	-0.000022																																																																																																																																																														0.000000	
 3 	 14																							24.604528																			-24.604506	-0.000022																																																																																																																																																														0.000000	
