"Category","Subcategory","parameter_name","HOUSEHOLDS","SERVICES","INDUSTRY","TRANSPORTATION","Units"
"Electricity","baseload","ELECTRICITY",7662,9991,35324,0,"[GWh]"
"Electricity","variable","ELECTRICITY_VAR",3947,7537,11155,0,"[GWh]"
"Heat","high temperature","HEAT_HIGH_T",0,0,26304,0,"[GWh]"
"Heat","space heating","HEAT_LOW_T_SH",13382,4061,21812,0,"[GWh]"
"Heat","hot water","HEAT_LOW_T_HW",1115,0,10907,0,"[GWh]"
"Cold","process cooling","PROCESS_COOLING",0,0,276,0,"[GWh]"
"Cold","space cooling","SPACE_COOLING",2508,2546,0,0,"[GWh]"
"Mobility","passenger","MOBILITY_PASSENGER",0,0,0,341305,"[Mpkm]"
"Mobility","freight","MOBILITY_FREIGHT",0,0,0,97050,"[Mtkm]"
"Non energy","Non energy","NON_ENERGY",0,0,22352,0,"[GWh]"
