Category,Subcategory,parameter_name,HOUSEHOLDS,SERVICES,INDUSTRY,TRANSPORTATION,Units
Electricity,baseload,ELECTRICITY,10880.7,19982.0,47236.6,0.0,[GWh]
Electricity,variable,ELECTRICITY_VAR,3342.4,6138.3,14510.6,0.0,[GWh]
Heat,high temperature,HEAT_HIGH_T,0.0,0.0,35086.1,0.0,[GWh]
Heat,space heating,HEAT_LOW_T_SH,16401.5,6048.3,23454.6,0.0,[GWh]
Heat,hot water,HEAT_LOW_T_HW,1364.9,0.0,11727.1,0.0,[GWh]
Cold,process cooling,PROCESS_COOLING,0.0,0.0,368.8,0.0,[GWh]
Cold,space cooling,SPACE_COOLING,3076.3,3790.9,0.0,0.0,[GWh]
Mobility,passenger,MOBILITY_PASSENGER,0.0,0.0,0.0,418287.8,[Mpkm]
Mobility,freight,MOBILITY_FREIGHT,0.0,0.0,0.0,125431.3,[Mtkm]
Non energy,Non energy,NON_ENERGY,0.0,0.0,31352.5,0.0,[GWh]
