,en
2019.0,1.195
2019.1,1.232
2019.2,1.262
2019.3,1.285
2019.4,1.302
2019.5,1.315
2019.6,1.325
2019.7,1.331
2019.8,1.335
2019.9,1.337
2020.0,1.337
2020.1,1.336
2020.2,1.335
2020.3,1.333
2020.4,1.333
2020.5,1.333
2020.6,1.335
2020.7,1.339
2020.8,1.344
2020.9,1.35
2021.0,1.358
2021.1,1.367
2021.2,1.377
2021.3,1.387
2021.4,1.398
2021.5,1.409
2021.6,1.42
2021.7,1.432
2021.8,1.443
2021.9,1.454
2022.0,1.465
2022.1,1.475
2022.2,1.486
2022.3,1.496
2022.4,1.506
2022.5,1.516
2022.6,1.525
2022.7,1.534
2022.8,1.543
2022.9,1.552
2023.0,1.561
2023.1,1.569
2023.2,1.577
2023.3,1.585
2023.4,1.592
2023.5,1.599
2023.6,1.605
2023.7,1.611
2023.8,1.616
2023.9,1.621
2024.0,1.626
2024.1,1.631
2024.2,1.636
2024.3,1.642
2024.4,1.648
2024.5,1.654
2024.6,1.661
2024.7,1.668
2024.8,1.675
2024.9,1.683
2025.0,1.691
2025.1,1.699
2025.2,1.708
2025.3,1.716
2025.4,1.726
2025.5,1.736
2025.6,1.747
2025.7,1.759
2025.8,1.772
2025.9,1.786
2026.0,1.801
2026.1,1.816
2026.2,1.832
2026.3,1.848
2026.4,1.864
2026.5,1.879
2026.6,1.895
2026.7,1.909
2026.8,1.924
2026.9,1.938
2027.0,1.951
2027.1,1.963
2027.2,1.976
2027.3,1.987
2027.4,1.998
2027.5,2.009
2027.6,2.019
2027.7,2.028
2027.8,2.037
2027.9,2.046
2028.0,2.053
2028.1,2.061
2028.2,2.067
2028.3,2.074
2028.4,2.079
2028.5,2.083
2028.6,2.087
2028.7,2.09
2028.8,2.092
2028.9,2.094
2029.0,2.094
2029.1,2.095
2029.2,2.095
2029.3,2.096
2029.4,2.097
2029.5,2.098
2029.6,2.1
2029.7,2.103
2029.8,2.106
2029.9,2.11
2030.0,2.113
2030.1,2.117
2030.2,2.122
2030.3,2.126
2030.4,2.131
2030.5,2.135
2030.6,2.141
2030.7,2.146
2030.8,2.153
2030.9,2.16
2031.0,2.168
2031.1,2.176
2031.2,2.185
2031.3,2.194
2031.4,2.204
2031.5,2.213
2031.6,2.223
2031.7,2.233
2031.8,2.243
2031.9,2.252
2032.0,2.261
2032.1,2.27
2032.2,2.279
2032.3,2.287
2032.4,2.295
2032.5,2.302
2032.6,2.31
2032.7,2.317
2032.8,2.323
2032.9,2.33
2033.0,2.336
2033.1,2.342
2033.2,2.348
2033.3,2.354
2033.4,2.359
2033.5,2.365
2033.6,2.37
2033.7,2.375
2033.8,2.38
2033.9,2.385
2034.0,2.39
2034.1,2.395
2034.2,2.399
2034.3,2.403
2034.4,2.406
2034.5,2.41
2034.6,2.413
2034.7,2.415
2034.8,2.417
2034.9,2.419
2035.0,2.421
2035.1,2.422
2035.2,2.424
2035.3,2.425
2035.4,2.426
2035.5,2.427
2035.6,2.428
2035.7,2.428
2035.8,2.429
2035.9,2.431
2036.0,2.432
2036.1,2.434
2036.2,2.436
2036.3,2.438
2036.4,2.441
2036.5,2.444
2036.6,2.446
2036.7,2.449
2036.8,2.452
2036.9,2.455
2037.0,2.458
2037.1,2.461
2037.2,2.463
2037.3,2.466
2037.4,2.468
2037.5,2.471
2037.6,2.473
2037.7,2.475
2037.8,2.477
2037.9,2.478
2038.0,2.48
2038.1,2.482
2038.2,2.483
2038.3,2.484
2038.4,2.485
2038.5,2.486
2038.6,2.487
2038.7,2.488
2038.8,2.488
2038.9,2.489
2039.0,2.489
2039.1,2.489
2039.2,2.489
2039.3,2.489
2039.4,2.488
2039.5,2.488
2039.6,2.487
2039.7,2.487
2039.8,2.486
2039.9,2.486
2040.0,2.486
2040.1,2.486
2040.2,2.486
2040.3,2.486
2040.4,2.486
2040.5,2.486
2040.6,2.486
2040.7,2.486
2040.8,2.486
2040.9,2.488
2041.0,2.49
2041.1,2.495
2041.2,2.501
2041.3,2.509
2041.4,2.518
2041.5,2.529
2041.6,2.541
2041.7,2.555
2041.8,2.569
2041.9,2.583
2042.0,2.598
2042.1,2.612
2042.2,2.627
2042.3,2.641
2042.4,2.654
2042.5,2.668
2042.6,2.68
2042.7,2.692
2042.8,2.704
2042.9,2.715
2043.0,2.726
2043.1,2.736
2043.2,2.746
2043.3,2.756
2043.4,2.765
2043.5,2.774
2043.6,2.782
2043.7,2.79
2043.8,2.798
2043.9,2.806
2044.0,2.814
2044.1,2.821
2044.2,2.827
2044.3,2.833
2044.4,2.839
2044.5,2.844
2044.6,2.849
2044.7,2.853
2044.8,2.857
2044.9,2.86
2045.0,2.863
2045.1,2.866
2045.2,2.868
2045.3,2.871
2045.4,2.873
2045.5,2.875
2045.6,2.876
2045.7,2.878
2045.8,2.88
2045.9,2.881
2046.0,2.883
2046.1,2.884
2046.2,2.887
2046.3,2.889
2046.4,2.893
2046.5,2.896
2046.6,2.9
2046.7,2.905
2046.8,2.909
2046.9,2.914
2047.0,2.919
2047.1,2.923
2047.2,2.928
2047.3,2.932
2047.4,2.936
2047.5,2.94
2047.6,2.943
2047.7,2.946
2047.8,2.949
2047.9,2.952
2048.0,2.954
2048.1,2.955
2048.2,2.957
2048.3,2.958
2048.4,2.959
2048.5,2.959
2048.6,2.96
2048.7,2.959
2048.8,2.959
2048.9,2.958
2049.0,2.957
2049.1,2.955
2049.2,2.953
2049.3,2.951
2049.4,2.948
2049.5,2.944
2049.6,2.941
2049.7,2.937
2049.8,2.933
2049.9,2.928
2050.0,2.924
2050.1,2.92
2050.2,2.916
2050.3,2.912
2050.4,2.908
2050.5,2.904
2050.6,2.901
2050.7,2.897
2050.8,2.894
2050.9,2.89
2051.0,2.887
2051.1,2.884
2051.2,2.88
2051.3,2.877
2051.4,2.874
2051.5,2.871
2051.6,2.868
2051.7,2.865
2051.8,2.862
2051.9,2.859
2052.0,2.857
