Category,Subcategory,parameter_name,HOUSEHOLDS,SERVICES,INDUSTRY,TRANSPORTATION,Units
Electricity,baseload,ELECTRICITY,7474.9,10000.5,34892.6,0.0,[GWh]
Electricity,variable,ELECTRICITY_VAR,3850.7,7544.3,11018.7,0.0,[GWh]
Heat,high temperature,HEAT_HIGH_T,0.0,0.0,25983.0,0.0,[GWh]
Heat,space heating,HEAT_LOW_T_SH,13055.3,4065.4,21554.5,0.0,[GWh]
Heat,hot water,HEAT_LOW_T_HW,1088.1,0.0,10777.6,0.0,[GWh]
Cold,process cooling,PROCESS_COOLING,0.0,0.0,272.5,0.0,[GWh]
Cold,space cooling,SPACE_COOLING,2446.5,2548.3,0.0,0.0,[GWh]
Mobility,passenger,MOBILITY_PASSENGER,0.0,0.0,0.0,332961.6,[Mpkm]
Mobility,freight,MOBILITY_FREIGHT,0.0,0.0,0.0,95697.6,[Mtkm]
Non energy,Non energy,NON_ENERGY,0.0,0.0,22091.8,0.0,[GWh]
