,en,p,pw
2019.0,1.19513,1.087,0.9513
2019.1,1.2098585613197494,1.0894476923320304,0.9541581851340547
2019.2,1.2222482633171678,1.090855554494965,0.9570249576982215
2019.3,1.2329981327331816,1.0920910313707743,0.9599003434934673
2019.4,1.242400353359046,1.0933301036103074,0.9627843683982819
2019.5,1.2506190329916669,1.0946027038126454,0.9656770583689102
2019.6,1.2577682893760658,1.0959086454012275,0.9685784394395874
2019.7,1.2639376991137294,1.0972422293908544,0.9714885377227576
2019.8,1.2692025398658942,1.0985974040904918,0.9744073794093248
2019.9,1.273628946555349,1.0999687482587197,0.9773349907688839
2020.0,1.2772769522950609,1.1013515727393903,0.9802713981499569
2020.1,1.2802024180298954,1.102741858728161,0.9832166279802301
2020.2,1.2824582592628637,1.1041361748675929,0.9861707067667919
2020.3,1.284095191783247,1.1055316019777115,0.9891336610963712
2020.4,1.285162143467805,1.1069256691837528,0.9921055176355771
2020.5,1.2857064389681598,1.1083163000798806,0.9950863031311383
2020.6,1.2857738365931584,1.1097017669082025,0.9980760444101446
2020.7,1.2854084757364335,1.111080651005205,1.0010747683802876
2020.8,1.2846527768297118,1.1124518081648291,1.0040825020301034
2020.9,1.2835473231294012,1.1138143379137713,1.007099272429215
2021.0,1.282130744017606,1.115167555964138,1.0101251067285761
2021.1,1.2804372698107256,1.1165109629728447,1.0131600321607164
2021.2,1.278390387979633,1.1178430143168243,1.0162040760399849
2021.3,1.2758020423410084,1.1191597701847815,1.0192572657627972
2021.4,1.2725295887646066,1.1204590104633079,1.0223196288078813
2021.5,1.2684744085738942,1.1217414127591379,1.0253911927365253
2021.6,1.2635777340140217,1.1230096999684567,1.0284719851928255
2021.7,1.257825743182433,1.1242677595361121,1.0315620339039298
2021.8,1.2512621500989145,1.1255200832819312,1.0346613666803024
2021.9,1.2440053935674205,1.1267715160322724,1.037770011415962
2022.0,1.236266598498448,1.1280272479702018,1.040887996088731
2022.1,1.2283634169995226,1.129292932649373,1.0440153487604906
2022.2,1.2206515590358284,1.1305740889754914,1.0471520975774347
2022.3,1.2132900658216883,1.1318720116695125,1.0502982707703212
2022.4,1.2063519397355957,1.1331845937482892,1.0534538966547398
2022.5,1.1998809804707133,1.1345094255931276,1.056619003631339
2022.6,1.1939006224857935,1.1358445499874805,1.0597936201861031
2022.7,1.1884188139495526,1.1371885546656535,1.0629777748906024
2022.8,1.1834313270068921,1.1385404979441163,1.0661714964022508
2022.9,1.178924360587035,1.1398998078606162,1.0693748134645635
2023.0,1.1748767294215359,1.1412661872482797,1.0725877549074159
2023.1,1.1712617498106954,1.1426395325258654,1.0758103496473022
2023.2,1.1680488698937352,1.144019867140114,1.079042626687597
2023.3,1.165205070399732,1.145407288616905,1.0822846151188157
