Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	PT_HEAT	ST_HEAT	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	BIOMASS_TO_POWER	PV_ROOFTOP	PV_UTILITY	PT_POWER_BLOCK	ST_POWER_BLOCK	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_DAM	HYDRO_RIVER	TIDAL	WAVE	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	COAL_STOVE	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	DEC_THHP_GAS_COLD	DEC_ELEC_COLD	IND_ELEC_COLD	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_GASOLINE	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	MOTORCYCLE	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	MOTORCYCLE_ELECTRIC	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_GASOLINE	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	EFFICIENCY	DHN	GRID	HVAC_LINE	PT_COLLECTOR	ST_COLLECTOR	H2_ELECTROLYSIS	SMR	H2_BIOMASS	GASIFICATION_SNG	SYN_METHANATION	BIOMETHANATION	BIO_HYDROLYSIS	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	SYN_METHANOLATION	AMMONIA_TO_H2	DAM_STORAGE_Pin	DAM_STORAGE_Pout	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_COAL_STOVE_Pin	TS_COAL_STOVE_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	PT_STORAGE_Pin	PT_STORAGE_Pout	ST_STORAGE_Pin	ST_STORAGE_Pout	TS_COLD_Pin	TS_COLD_Pout	CAES_Pin	CAES_Pout	END_USE	
 1 	 1											3.720954																								-0.916672																			-2.804281																																																																																																																																																0.000000	
 1 	 2											3.716151																								-0.911861																			-2.804290																																																																																																																																																0.000000	
 1 	 3											3.759131																								-0.954820																			-2.804311																																																																																																																																																0.000000	
 1 	 4											4.010611																								-0.910309																			-3.100302																																																																																																																																																0.000000	
 1 	 5											4.202709																								-0.920316																			-3.282393																																																																																																																																																0.000000	
 1 	 6											4.416295																								-0.919256																			-3.497039																																																																																																																																																0.000000	
 1 	 7											4.489474																								-0.919253																			-3.570221																																																																																																																																																0.000000	
 1 	 8											3.880077																								-0.904246																			-2.975832																																																																																																																																																0.000000	
 1 	 9											3.864457																								-0.905483																			-2.958975																																																																																																																																																0.000000	
 1 	 10											3.892162																								-0.907919																			-2.984243																																																																																																																																																0.000000	
 1 	 11											3.931026																								-0.911174																			-3.019852																																																																																																																																																0.000000	
 1 	 12											3.962799																								-0.914984																			-3.047814																																																																																																																																																0.000000	
 1 	 13											3.941720																								-0.916999																			-3.024721																																																																																																																																																0.000000	
 1 	 14											3.949025																								-0.917770																			-3.031255																																																																																																																																																0.000000	
 1 	 15											3.978670																								-0.916633																			-3.062038																																																																																																																																																0.000000	
 1 	 16											3.988736																								-0.917250																			-3.071486																																																																																																																																																0.000000	
 1 	 17											3.993705																								-0.918647																			-3.075058																																																																																																																																																0.000000	
 1 	 18											3.933398																								-0.922215																			-3.011182																																																																																																																																																0.000000	
 1 	 19											4.329499																								-1.047109																			-3.282390																																																																																																																																																0.000000	
 1 	 20											4.534042																								-1.100783																			-3.433259																																																																																																																																																0.000000	
 1 	 21											4.526836																								-1.064669																			-3.462167																																																																																																																																																0.000000	
 1 	 22											4.480892																								-1.029345																			-3.451548																																																																																																																																																0.000000	
 1 	 23											4.436613																								-0.989225																			-3.447388																																																																																																																																																0.000000	
 1 	 24											4.411886																								-0.969080																			-3.442806																																																																																																																																																0.000000	
 2 	 1											4.267245																								-1.462982																			-2.804263																																																																																																																																																0.000000	
 2 	 2											4.735009																								-1.463776																			-3.271233																																																																																																																																																0.000000	
 2 	 3											4.750723																								-1.468306																			-3.282417																																																																																																																																																0.000000	
 2 	 4											5.000055																								-1.468977																			-3.531078																																																																																																																																																0.000000	
 2 	 5											5.009937																								-1.468191																			-3.541746																																																																																																																																																0.000000	
 2 	 6											5.023712																								-1.469025																			-3.554688																																																																																																																																																0.000000	
 2 	 7											5.040967																								-1.470736																			-3.570231																																																																																																																																																0.000000	
 2 	 8											4.365028																								-1.464684																			-2.900344																																																																																																																																																0.000000	
 2 	 9											4.330867																								-1.465321																			-2.865546																																																																																																																																																0.000000	
 2 	 10											4.398679																								-1.466333																			-2.932346																																																																																																																																																0.000000	
 2 	 11											4.549707																								-1.467053																			-3.082654																																																																																																																																																0.000000	
 2 	 12											4.669369																								-1.467366																			-3.202003																																																																																																																																																0.000000	
 2 	 13											4.550119																								-1.466749																			-3.083370																																																																																																																																																0.000000	
 2 	 14											4.565196																								-1.466358																			-3.098838																																																																																																																																																0.000000	
 2 	 15											4.705941																								-1.466608																			-3.239333																																																																																																																																																0.000000	
 2 	 16											4.727596																								-1.466771																			-3.260825																																																																																																																																																0.000000	
 2 	 17											4.727611																								-1.467361																			-3.260250																																																																																																																																																0.000000	
 2 	 18											4.401100																								-1.466874																			-2.934225																																																																																																																																																0.000000	
 2 	 19											4.342180																								-1.465607																			-2.876573																																																																																																																																																0.000000	
 2 	 20											4.916996																								-1.634578																			-3.282419																																																																																																																																																0.000000	
 2 	 21											5.055663																								-1.564609																			-3.491054																																																																																																																																																0.000000	
 2 	 22											5.052171																								-1.518385																			-3.533786																																																																																																																																																0.000000	
 2 	 23											5.021326																								-1.490816																			-3.530511																																																																																																																																																0.000000	
 2 	 24											5.011032																								-1.481227																			-3.529805																																																																																																																																																0.000000	
 3 	 1											4.110913																								-1.306651																			-2.804262																																																																																																																																																0.000000	
 3 	 2											4.110531																								-1.306266																			-2.804265																																																																																																																																																0.000000	
 3 	 3											4.104322																								-1.300056																			-2.804267																																																																																																																																																0.000000	
 3 	 4											4.105962																								-1.301694																			-2.804268																																																																																																																																																0.000000	
 3 	 5											4.104875																								-1.300607																			-2.804268																																																																																																																																																0.000000	
 3 	 6											4.105272																								-1.301004																			-2.804268																																																																																																																																																0.000000	
 3 	 7											4.112879																								-1.308610																			-2.804269																																																																																																																																																0.000000	
 3 	 8											4.106820																								-1.302551																			-2.804269																																																																																																																																																0.000000	
 3 	 9											4.107518																								-1.303249																			-2.804269																																																																																																																																																0.000000	
 3 	 10											4.115903																								-1.311634																			-2.804269																																																																																																																																																0.000000	
 3 	 11											4.120020																								-1.315750																			-2.804269																																																																																																																																																0.000000	
 3 	 12											4.144003																								-1.316492																			-2.827511																																																																																																																																																0.000000	
 3 	 13											4.118778																								-1.314506																			-2.804271																																																																																																																																																0.000000	
 3 	 14											4.119396																								-1.315121																			-2.804275																																																																																																																																																0.000000	
