Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	PT_HEAT	ST_HEAT	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	BIOMASS_TO_POWER	PV_ROOFTOP	PV_UTILITY	PT_POWER_BLOCK	ST_POWER_BLOCK	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_DAM	HYDRO_RIVER	TIDAL	WAVE	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	COAL_STOVE	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	DEC_THHP_GAS_COLD	DEC_ELEC_COLD	IND_ELEC_COLD	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_GASOLINE	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	MOTORCYCLE	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	MOTORCYCLE_ELECTRIC	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_GASOLINE	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	EFFICIENCY	DHN	GRID	HVAC_LINE	PT_COLLECTOR	ST_COLLECTOR	H2_ELECTROLYSIS	SMR	H2_BIOMASS	GASIFICATION_SNG	SYN_METHANATION	BIOMETHANATION	BIO_HYDROLYSIS	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	SYN_METHANOLATION	AMMONIA_TO_H2	DAM_STORAGE_Pin	DAM_STORAGE_Pout	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_COAL_STOVE_Pin	TS_COAL_STOVE_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	PT_STORAGE_Pin	PT_STORAGE_Pout	ST_STORAGE_Pin	ST_STORAGE_Pout	TS_COLD_Pin	TS_COLD_Pout	CAES_Pin	CAES_Pout	END_USE	
 1 	 1						31.979532																																																																	-0.000000																																								-4.654006																																																																							-27.325526	0.000000															0.000000	
 1 	 2						33.615471																																																																	-0.000000																																								-4.654006																																																																							-28.961465	0.000000															0.000000	
 1 	 3						33.662862																																																																	-0.000000																																								-4.654006																																																																							-29.008856	0.000000															0.000000	
 1 	 4						33.556947																																																																	-0.000000																																								-4.654006																																																																							-28.902941	0.000000															0.000000	
 1 	 5						33.335144																																																																	-0.000000																																								-4.654006																																																																							-28.681138	0.000000															0.000000	
 1 	 6						32.972654																																																																	-0.000000																																								-4.654006																																																																							-28.318648	0.000000															0.000000	
 1 	 7						32.473210																																																																	-0.000000																																								-4.654006																																																																							-27.819204	0.000000															0.000000	
 1 	 8						31.807096																																																																	-0.000000																																								-4.654006																																																																							-27.153090	0.000000															0.000000	
 1 	 9						31.235441																																																																	-0.000000																																								-4.654006																																																																							-26.581435	0.000000															0.000000	
 1 	 10						30.934676																																																																	-0.000000																																								-4.654006																																																																							-26.280671	0.000000															0.000000	
 1 	 11						30.783651																																																																	-0.000000																																								-4.654006																																																																							-26.129645	0.000000															0.000000	
 1 	 12						30.616100																																																																	-0.000000																																								-4.654006																																																																							-25.962094	0.000000															0.000000	
 1 	 13						30.451221																																																																	-0.000000																																								-4.654006																																																																							-25.797216	0.000000															0.000000	
 1 	 14						30.290780																																																																	-0.000000																																								-4.654006																																																																							-25.636774	0.000000															0.000000	
 1 	 15						30.132010																																																																	-0.000000																																								-4.654006																																																																							-25.478005	0.000000															0.000000	
 1 	 16						29.944337																																																																	-0.000000																																								-4.654006																																																																							-25.290331	0.000000															0.000000	
 1 	 17						29.710468																																																																	-0.000000																																								-4.654006																																																																							-25.056462	0.000000															0.000000	
 1 	 18						29.420655																																																																	-0.000000																																								-4.654006																																																																							-24.766649	0.000000															0.000000	
 1 	 19						29.149177																																																																	-0.000000																																								-4.654006																																																																							-24.495171	0.000000															0.000000	
 1 	 20						28.944125																																																																	-0.000000																																								-4.654006																																																																							-24.290120	0.000000															0.000000	
 1 	 21						28.845093																																																																	-0.000000																																								-4.654006																																																																							-24.191087	0.000000															0.000000	
 1 	 22						28.911608																																																																	-0.000000																																								-4.654006																																																																							-24.257602	0.000000															0.000000	
 1 	 23						29.571054																																																																	-0.000000																																								-4.654006																																																																							-24.917048	0.000000															0.000000	
 1 	 24						31.428922																																																																	-0.000000																																								-4.654006																																																																							-26.774916	0.000000															0.000000	
 2 	 1						3.590763																																																																	-0.000000																																								-4.654006																																																																							0.000000	1.063242															0.000000	
 2 	 2						6.667673																																																																	-0.000000																																								-4.654006																																																																							-2.013668	0.000000															0.000000	
 2 	 3						7.108812																																																																	-0.000000																																								-4.654006																																																																							-2.454806	0.000000															0.000000	
 2 	 4						6.781408																																																																	-0.000000																																								-4.654006																																																																							-2.127402	0.000000															0.000000	
 2 	 5						3.916088																																																																	-0.000000																																								-4.654006																																																																							0.000000	0.737918															0.000000	
 2 	 6						6.769789																																																																	-0.000000																																								-4.654006																																																																							-2.115783	0.000000															0.000000	
 2 	 7						6.617066																																																																	-0.000000																																								-4.654006																																																																							-1.963060	0.000000															0.000000	
 2 	 8						3.661123																																																																	-0.000000																																								-4.654006																																																																							0.000000	0.992882															0.000000	
 2 	 9						6.570173																																																																	-0.000000																																								-4.654006																																																																							-1.916167	0.000000															0.000000	
 2 	 10						6.958720																																																																	-0.000000																																								-4.654006																																																																							-2.304715	0.000000															0.000000	
 2 	 11						7.011781																																																																	-0.000000																																								-4.654006																																																																							-2.357775	0.000000															0.000000	
 2 	 12						6.999913																																																																	-0.000000																																								-4.654006																																																																							-2.345907	0.000000															0.000000	
 2 	 13						6.576555																																																																	-0.000000																																								-4.654006																																																																							-1.922550	0.000000															0.000000	
 2 	 14						3.609756																																																																	-0.000000																																								-4.654006																																																																							0.000000	1.044250															0.000000	
 2 	 15						3.544066																																																																	-0.000000																																								-4.654006																																																																							0.000000	1.109939															0.000000	
 2 	 16						3.617615																																																																	-0.000000																																								-4.654006																																																																							0.000000	1.036390															0.000000	
 2 	 17						6.639718																																																																	-0.000000																																								-4.654006																																																																							-1.985713	0.000000															0.000000	
 2 	 18						7.025424																																																																	-0.000000																																								-4.654006																																																																							-2.371418	0.000000															0.000000	
 2 	 19						7.034281																																																																	-0.000000																																								-4.654006																																																																							-2.380276	0.000000															0.000000	
 2 	 20						7.024967																																																																	-0.000000																																								-4.654006																																																																							-2.370962	0.000000															0.000000	
 2 	 21						7.005653																																																																	-0.000000																																								-4.654006																																																																							-2.351648	0.000000															0.000000	
 2 	 22						6.601612																																																																	-0.000000																																								-4.654006																																																																							-1.947606	0.000000															0.000000	
 2 	 23						3.720850																																																																	-0.000000																																								-4.654006																																																																							0.000000	0.933155															0.000000	
 2 	 24						6.714344																																																																	-0.000000																																								-4.654006																																																																							-2.060338	0.000000															0.000000	
 3 	 1						5.943203																																																																	-0.000000																																								-4.654006																																																																							-1.289197	0.000000															0.000000	
