Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	H2_EXPORT	GAS_RE_EXPORT	AMMONIA_EXPORT	METHANOL_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	PT_HEAT	ST_HEAT	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	BIOMASS_TO_POWER	PV_ROOFTOP	PV_UTILITY	PT_POWER_BLOCK	ST_POWER_BLOCK	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_DAM	HYDRO_RIVER	TIDAL	WAVE	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	COAL_STOVE	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	DEC_THHP_GAS_COLD	DEC_ELEC_COLD	IND_ELEC_COLD	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_GASOLINE	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	MOTORCYCLE	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	MOTORCYCLE_ELECTRIC	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_GASOLINE	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	SYN_METHANOLATION	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	EFFICIENCY	DHN	GRID	HVAC_LINE	PT_COLLECTOR	ST_COLLECTOR	H2_ELECTROLYSIS	SMR	H2_BIOMASS	GASIFICATION_SNG	SYN_METHANATION	BIOMETHANATION	BIO_HYDROLYSIS	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	AMMONIA_TO_H2	DAM_STORAGE_Pin	DAM_STORAGE_Pout	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_COAL_STOVE_Pin	TS_COAL_STOVE_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	PT_STORAGE_Pin	PT_STORAGE_Pout	ST_STORAGE_Pin	ST_STORAGE_Pout	TS_COLD_Pin	TS_COLD_Pout	CAES_Pin	CAES_Pout	END_USE	
 1 	 1																																																																																				0.000000	0.000043																																																																																																																	-0.000014	0.440098			-0.440128	
 1 	 2																																																																																				0.000000	0.108434																																																																																																																	-0.000014	0.316435			-0.424855	
 1 	 3																																																																																				0.000000	0.409519																																																																																																																	-0.000015	0.000078			-0.409583	
 1 	 4																																																																																				0.000000	0.399131																																																																																																																	-0.000016	0.000055			-0.399170	
 1 	 5																																																																																				0.000000	0.397750																																																																																																																	-0.000017	0.000048			-0.397781	
 1 	 6																																																																																				0.000000	0.392196																																																																																																																	-0.000017	0.000049			-0.392228	
 1 	 7																																																																																				0.000000	0.399821																																																																																																																	-0.000016	0.000059			-0.399864	
 1 	 8																																																																																				0.000000	0.511408																																																																																																																	-0.000014	0.000237			-0.511631	
 1 	 9																																																																																				0.000000	0.901373																																																																																																																	-0.221758	0.000014			-0.679630	
 1 	 10																																																																																				0.000000	0.872188																																																																																																																	-0.036434	0.000014			-0.835769	
 1 	 11																																																																																				0.000000	0.913324																																																																																																																	-0.000015	0.034827			-0.948137	
 1 	 12																																																																																				0.000000	0.913324																																																																																																																	-0.000014	0.088134			-1.001444	
 1 	 13																																																																																				0.000000	0.913315																																																																																																																	-0.000014	0.083563			-0.996864	
 1 	 14																																																																																				0.000000	0.913318																																																																																																																	-0.000014	0.039060			-0.952364	
 1 	 15																																																																																				0.000000	0.893659																																																																																																																	-0.000035	0.000031			-0.893655	
 1 	 16																																																																																				0.000000	0.812922																																																																																																																	-0.000065	0.000016			-0.812873	
 1 	 17																																																																																				0.000000	0.710299																																																																																																																	-0.000295	0.000012			-0.710016	
 1 	 18																																																																																				0.000000	0.587998																																																																																																																	-0.000027	0.000023			-0.587994	
 1 	 19																																																																																				0.000000	0.507452																																																																																																																	-0.000019	0.000033			-0.507466	
 1 	 20																																																																																				0.000000	0.481738																																																																																																																	-0.000015	0.000057			-0.481780	
 1 	 21																																																																																				0.000000	0.472070																																																																																																																	-0.000027	0.000019			-0.472061	
 1 	 22																																																																																				0.000000	0.463765																																																																																																																	-0.000049	0.000015			-0.463731	
 1 	 23																																																																																				0.000000	0.770386																																																																																																																	-0.314998	0.000013			-0.455400	
 1 	 24																																																																																				0.000000	0.913276																																																																																																																	-0.468303	0.000014			-0.444987	
 2 	 1																																																																																				0.000000	0.000133																																																																																																																	-0.000005	0.473322			-0.473450	
 2 	 2																																																																																				0.000000	0.165771																																																																																																																	-0.000004	0.279220			-0.444987	
 2 	 3																																																																																				0.000000	0.421359																																																																																																																	-0.000004	0.000029			-0.421384	
 2 	 4																																																																																				0.000000	0.398473																																																																																																																	-0.000012	0.000015			-0.398475	
 2 	 5																																																																																				0.000000	0.428039																																																																																																																	-0.043457	0.000010			-0.384591	
 2 	 6																																																																																				0.000000	0.912879																																																																																																																	-0.542177	0.000005			-0.370707	
 2 	 7																																																																																				0.000000	0.913312																																																																																																																	-0.524561	0.000005			-0.388756	
 2 	 8																																																																																				0.000000	0.913323																																																																																																																	-0.345466	0.000005			-0.567862	
 2 	 9																																																																																				0.000000	0.913324																																																																																																																	-0.112315	0.000005			-0.801014	
 2 	 10																																																																																				0.000000	0.913324																																																																																																																	-0.000005	0.067694			-0.981013	
 2 	 11																																																																																				0.000000	0.913324																																																																																																																	-0.000005	0.197087			-1.110406	
 2 	 12																																																																																				0.000000	0.913324																																																																																																																	-0.000005	0.276343			-1.189662	
 2 	 13																																																																																				0.000000	0.913324																																																																																																																	-0.000005	0.301822			-1.215141	
 2 	 14																																																																																				0.000000	0.913324																																																																																																																	-0.000005	0.277869			-1.191188	
 2 	 15																																																																																				0.000000	0.913323																																																																																																																	-0.000005	0.216696			-1.130014	
 2 	 16																																																																																				0.000000	0.913323																																																																																																																	-0.000005	0.125111			-1.038430	
 2 	 17																																																																																				0.000000	0.913323																																																																																																																	-0.000004	0.001705			-0.915025	
 2 	 18																																																																																				0.000000	0.767404																																																																																																																	-0.000328	0.000005			-0.767081	
 2 	 19																																																																																				0.000000	0.656091																																																																																																																	-0.000069	0.000005			-0.656027	
 2 	 20																																																																																				0.000000	0.608193																																																																																																																	-0.000072	0.000005			-0.608126	
 2 	 21																																																																																				0.000000	0.581910																																																																																																																	-0.000169	0.000005			-0.581746	
 2 	 22																																																																																				0.000000	0.582182																																																																																																																	-0.021266	0.000004			-0.560920	
 2 	 23																																																																																				0.000000	0.913304																																																																																																																	-0.371827	0.000005			-0.541482	
 2 	 24																																																																																				0.000000	0.913322																																																																																																																	-0.391283	0.000005			-0.522044	
 3 	 1																																																																																				0.075306	0.000015																																																																																																																	-0.000007	0.416185			-0.491499	
 3 	 2																																																																																				0.075306	0.066658																																																																																																																	-0.000007	0.340517			-0.482475	
 3 	 3																																																																																				0.075306	0.398818																																																																																																																	-0.000009	0.000029			-0.474144	
 3 	 4																																																																																				0.075306	0.400223																																																																																																																	-0.000012	0.000015			-0.475532	
 3 	 5																																																																																				0.075306	0.404396																																																																																																																	-0.000016	0.000011			-0.479698	
 3 	 6																																																																																				0.075306	0.382194																																																																																																																	-0.000026	0.000009			-0.457483	
 3 	 7																																																																																				0.075306	0.639736																																																																																																																	-0.233963	0.000007			-0.481086	
 3 	 8																																																																																				0.075306	0.913323																																																																																																																	-0.370096	0.000007			-0.618539	
 3 	 9																																																																																				0.075306	0.913323																																																																																																																	-0.193610	0.000007			-0.795026	
 3 	 10																																																																																				0.075306	0.913323																																																																																																																	-0.000004	0.000724			-0.989350	
 3 	 11																																																																																				0.075306	0.913323																																																																																																																	-0.000007	0.151372			-1.139995	
 3 	 12																																																																																				0.075306	0.913323																																																																																																																	-0.000007	0.203153			-1.191775	
 3 	 13																																																																																				0.075306	0.913323																																																																																																																	-0.000007	0.205736			-1.194359	
 3 	 14																																																																																				0.075306	0.913323																																																																																																																	-0.000007	0.144327			-1.132950	
 3 	 15																																																																																				0.075306	0.913323																																																																																																																	-0.000007	0.046872			-1.035494	
 3 	 16																																																																																				0.075306	0.913321																																																																																																																	-0.064920	0.000007			-0.923714	
 3 	 17																																																																																				0.075306	0.682165																																																																																																																	-0.000010	0.062927			-0.820388	
 3 	 18																																																																																				0.075306	0.629960																																																																																																																	-0.000010	0.000063			-0.705320	
 3 	 19																																																																																				0.075306	0.534198																																																																																																																	-0.000011	0.000022			-0.609515	
 3 	 20																																																																																				0.075306	0.480751																																																																																																																	-0.000012	0.000016			-0.556061	
 3 	 21																																																																																				0.075306	0.452304																																																																																																																	-0.000022	0.000010			-0.527598	
 3 	 22																																																																																				0.075306	0.441212																																																																																																																	-0.000036	0.000008			-0.516491	
 3 	 23																																																																																				0.075306	0.739785																																																																																																																	-0.303467	0.000007			-0.511631	
 3 	 24																																																																																				0.075306	0.913314																																																																																																																	-0.480466	0.000007			-0.508160	
 4 	 1																																																																																				0.075305	0.000037																																																																																																																	-0.000015	0.434221			-0.509549	
 4 	 2																																																																																				0.075305	0.112217																																																																																																																	-0.000015	0.322042			-0.509549	
 4 	 3																																																																																				0.075305	0.429366																																																																																																																	-0.000022	0.000040			-0.504689	
 4 	 4																																																																																				0.075305	0.424541																																																																																																																	-0.000039	0.000022			-0.499830	
 4 	 5																																																																																				0.075305	0.717484																																																																																																																	-0.288115	0.000015			-0.504689	
 4 	 6																																																																																				0.075305	0.913292																																																																																																																	-0.493641	0.000014			-0.494970	
 4 	 7																																																																																				0.075305	0.913311																																																																																																																	-0.474917	0.000015			-0.513714	
 4 	 8																																																																																				0.075305	0.913323																																																																																																																	-0.337476	0.000014			-0.651167	
 4 	 9																																																																																				0.075305	0.913323																																																																																																																	-0.100624	0.000015			-0.888019	
 4 	 10																																																																																				0.075305	0.913323																																																																																																																	-0.000014	0.096195			-1.084809	
 4 	 11																																																																																				0.075305	0.913323																																																																																																																	-0.000014	0.234628			-1.223243	
 4 	 12																																																																																				0.075305	0.913323																																																																																																																	-0.000014	0.320107			-1.308722	
 4 	 13																																																																																				0.075305	0.913323																																																																																																																	-0.000013	0.333023			-1.321638	
 4 	 14																																																																																				0.075305	0.913323																																																																																																																	-0.000013	0.287935			-1.276550	
 4 	 15																																																																																				0.075305	0.913323																																																																																																																	-0.000013	0.205274			-1.193889	
