TECHNOLOGIES	 c_inv	 c_maint	 lifetime	  f_min	 f	 f_max	 fmin_perc	f_perc	 fmax_perc	 c_p	 c_p_max	 tau	 gwp_constr
 UNITS	[M€/GW]	 [M€/GW/y]	 [y]	 [GW or GWh]	 [GW or GWh]	 [GW or GWh]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [-]	 [ktCO2-eq./GW or GWh] 
NUCLEAR	0.000000	0.000000	60.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.843906	0.065586	0.000000
CCGT	0.000149	0.000004	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000202	0.850000	0.081224	0.000035
CCGT_AMMONIA	0.000153	0.000004	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000233	0.961538	0.081224	0.000037
COAL_US	0.000000	0.000000	35.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.868000	0.072238	0.000000
COAL_IGCC	0.000200	0.000003	35.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000089	0.856000	0.072238	0.000020
BIOMASS_TO_POWER	0.000169	0.000006	35.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000165	0.856000	0.072238	0.000034
PV_ROOFTOP	183.992605	2.558641	40.000000	0.300000	0.300000	98.400000	0.000000	0.000856	1.000000	0.142441	1.000000	0.069840	624.429287
PV_UTILITY	28921.283111	737.993530	40.000000	0.000000	104.068806	708.000000	0.000000	0.401750	1.000000	0.192604	1.000000	0.069840	216611.934510
PT_POWER_BLOCK	0.000120	0.000007	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000195	1.000000	0.081224	0.000000
ST_POWER_BLOCK	0.000091	0.000007	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000108	1.000000	0.081224	0.000000
WIND_ONSHORE	0.002164	0.000036	30.000000	0.000000	0.000002	7.300000	0.000000	0.000000	1.000000	0.005159	1.000000	0.075785	0.001404
WIND_OFFSHORE	55650.075512	2219.575280	30.000000	0.000000	48.800000	48.800000	0.000000	0.467962	1.000000	0.478433	1.000000	0.075785	30395.079996
HYDRO_DAM	39217.735856	196.056003	40.000000	9.336000	9.336000	51.200000	0.000000	0.093562	1.000000	0.500000	1.000000	0.069840	15804.727944
HYDRO_RIVER	19054.665332	190.511905	40.000000	3.777000	3.777000	27.800000	0.000000	0.035869	1.000000	0.473810	1.000000	0.069840	4769.671764
TIDAL	0.000000	0.000000	20.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	1.000000	0.090037	0.000000
WAVE	0.000000	0.000000	20.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	1.000000	0.090037	0.000000
GEOTHERMAL	0.001169	0.000022	30.000000	0.000000	0.000000	1.200000	0.000000	0.000000	1.000000	0.001316	0.860000	0.075785	0.004177
IND_COGEN_GAS	0.000123	0.000008	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000157	0.850000	0.081224	0.000096
IND_COGEN_WOOD	0.000169	0.000006	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000325	0.850000	0.081224	0.000028
IND_COGEN_WASTE	0.000201	0.000007	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000277	0.850000	0.081224	0.000049
