Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	PT_HEAT	ST_HEAT	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	BIOMASS_TO_POWER	PV_ROOFTOP	PV_UTILITY	PT_POWER_BLOCK	ST_POWER_BLOCK	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_DAM	HYDRO_RIVER	TIDAL	WAVE	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	COAL_STOVE	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	DEC_THHP_GAS_COLD	DEC_ELEC_COLD	IND_ELEC_COLD	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_GASOLINE	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	MOTORCYCLE	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	MOTORCYCLE_ELECTRIC	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_GASOLINE	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	SYN_METHANOLATION	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	EFFICIENCY	DHN	GRID	HVAC_LINE	PT_COLLECTOR	ST_COLLECTOR	H2_ELECTROLYSIS	SMR	H2_BIOMASS	GASIFICATION_SNG	SYN_METHANATION	BIOMETHANATION	BIO_HYDROLYSIS	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	AMMONIA_TO_H2	DAM_STORAGE_Pin	DAM_STORAGE_Pout	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_COAL_STOVE_Pin	TS_COAL_STOVE_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	PT_STORAGE_Pin	PT_STORAGE_Pout	ST_STORAGE_Pin	ST_STORAGE_Pout	TS_COLD_Pin	TS_COLD_Pout	CAES_Pin	CAES_Pout	END_USE	
 1 	 1							51.763377	0.000000																								-0.000002																			-2.804178							-4.449998																-59.499506																			-0.167826																							-0.000000											0.000000	0.000000																																														-0.000031	15.158163																							0.000000	
 1 	 2							51.763377	0.000000																								-0.000002																			-2.804163							-4.449998																-59.499506																			-0.067187																							-0.000000											0.000000	0.000000																																														-0.000030	15.057509																							0.000000	
 1 	 3							51.763377	0.000000																								-0.000002																			-2.804156							-4.449998																-59.499506																			-0.033451																							-0.000000											0.000000	0.000000																																														-0.000031	15.023766																							0.000000	
 1 	 4							51.763377	0.000000																								-0.000002																			-2.804152							-4.449998																-59.499506																			-0.403125																							-0.000000											0.000000	0.000000																																														-0.000031	15.393437																							0.000000	
 1 	 5							51.763377	0.000000																								-0.000002																			-2.804151							-4.449998																-59.499506																			-1.074999																							-0.000000											0.000000	0.000000																																														-0.000031	16.065310																							0.000000	
 1 	 6							51.763377	0.000000																								-0.000002																			-2.804150							-4.449998																-59.499506																			-2.687499																							-0.000000											0.000000	0.000000																																														-0.000031	17.677808																							0.000000	
 1 	 7							51.763377	0.000000																								-0.000002																			-2.804149							-4.449998																-59.499506																			-5.206314																							-0.000000											0.000000	0.000000																																														-0.000031	20.196623																							0.000000	
 1 	 8							51.763377	0.000000																								-0.000002																			-2.804149							-4.449998																-59.499506																			-4.534525																							-0.000000											0.000000	0.000000																																														-0.000031	19.524834																							0.000000	
 1 	 9							51.763377	0.000000																								-0.000002																			-2.804149							-4.449998																-59.499506																			-4.198645																							-0.000000											0.000000	0.000000																																														-0.000031	19.188954																							0.000000	
 1 	 10							51.763377	0.000000																								-0.000002																			-2.804149							-4.449998																-59.499506																			-4.702494																							-0.000000											0.000000	0.000000																																														-0.000031	19.692803																							0.000000	
 1 	 11							51.763377	0.000000																								-0.000002																			-2.804149							-4.449998																-59.499506																			-5.374254																							-0.000000											0.000000	0.000000																																														-0.000031	20.364563																							0.000000	
 1 	 12							51.763377	0.000000																								-0.000002																			-2.804149							-4.449998																-59.499506																			-5.911697																							-0.000000											0.000000	0.000000																																														-0.000031	20.902005																							0.000000	
 1 	 13							51.763377	0.000000																								-0.000002																			-2.804149							-4.449998																-59.499506																			-5.374254																							-0.000000											0.000000	0.000000																																														-0.000031	20.364563																							0.000000	
 1 	 14							51.763377	0.000000																								-0.000002																			-2.804149							-4.449998																-59.499506																			-5.441442																							-0.000000											0.000000	0.000000																																														-0.000031	20.431750																							0.000000	
 1 	 15							51.763377	0.000000																								-0.000002																			-2.804149							-4.449998																-59.499506																			-6.113230																							-0.000000											0.000000	0.000000																																														-0.000031	21.103539																							0.000000	
 1 	 16							51.763377	0.000000																								-0.000002																			-2.804149							-4.449998																-59.499506																			-6.381952																							-0.000000											0.000000	0.000000																																														-0.000031	21.372261																							0.000000	
 1 	 17							51.763377	0.000000																								-0.000002																			-2.804149							-4.449998																-59.499506																			-6.381952																							-0.000000											0.000000	0.000000																																														-0.000031	21.372261																							0.000000	
 1 	 18							51.763377	0.000000																								-0.000002																			-2.804149							-4.449998																-59.499506																			-4.702494																							-0.000000											0.000000	0.000000																																														-0.000031	19.692802																							0.000000	
 1 	 19							51.763377	0.000000																								-0.000002																			-2.804148							-4.449998																-59.499506																			-3.358916																							-0.000000											0.000000	0.000000																																														-0.000031	18.349224																							0.000000	
 1 	 20							51.763377	0.000000																								-0.000002																			-2.804148							-4.449998																-59.499506																			-2.518815																							-0.000000											0.000000	0.000000																																														-0.000031	17.509123																							0.000000	
 1 	 21							51.763377	0.000000																								-0.000002																			-2.804146							-4.449998																-59.499506																			-1.678257																							-0.000000											0.000000	0.000000																																														-0.000031	16.668563																							0.000000	
 1 	 22							51.763377	0.000000																								-0.000002																			-2.804142							-4.449998																-59.499506																			-1.074999																							-0.000000											0.000000	0.000000																																														-0.000031	16.065302																							0.000000	
 1 	 23							51.763377	0.000000																								-0.000002																			-2.804135							-4.449998																-59.499506																			-0.671875																							-0.000000											0.000000	0.000000																																														-0.000031	15.662170																							0.000000	
 1 	 24							51.763377	0.000000																								-0.000002																			-2.804121							-4.449998																-59.499506																			-0.268750																							-0.000000											0.000000	0.000000																																														-0.000031	15.259031																							0.000000	
 2 	 1							51.763377	0.000000																								-0.000002																			-2.804177							-4.449998																-45.422294																			-0.167826																							-0.000000											0.000000	0.000000																																														-0.000030	1.080949																							0.000000	
 2 	 2							51.763377	0.000000																								-0.000002																			-2.804162							-4.449998																-45.973511																			-0.067187																							-0.000000											0.000000	0.000000																																														-0.000029	1.531512																							0.000000	
 2 	 3							51.763377	0.000000																								-0.000002																			-2.804156							-4.449998																-54.463436																			-0.033451																							-0.000000											0.000000	0.000000																																														-0.000030	9.987694																							0.000000	
 2 	 4							51.763377	0.000000																								-0.000002																			-2.804152							-4.449998																-56.811717																			-0.403125																							-0.000000											0.000000	0.000000																																														-0.000030	12.705647																							0.000000	
