Name	Used	Potential
ELECTRICITY	2210.000002	2210.000000
GASOLINE	13014.919145	Infinity
DIESEL	214907.492740	272000.000000
BIOETHANOL	0.000545	619.000000
BIODIESEL	0.000384	1330.000000
LFO	134553.257063	Infinity
GAS	545743.425714	Infinity
GAS_RE	0.000000	0.000000
WOOD	40000.000076	40000.000000
WET_BIOMASS	0.000000	0.000000
COAL	585516.304634	Infinity
URANIUM	0.000000	0.000000
WASTE	121.000008	121.000000
H2	0.000000	0.000000
H2_RE	0.000000	0.000000
AMMONIA	0.000000	0.000000
METHANOL	0.000000	0.000000
AMMONIA_RE	0.000000	0.000000
METHANOL_RE	0.000000	0.000000
ELEC_EXPORT	206.710040	Infinity
CO2_EMISSIONS	170905.450918	Infinity
RES_WIND	19886.253582	Infinity
RES_SOLAR	16178.321996	Infinity
RES_HYDRO	81402.803093	Infinity
RES_GEO	31490.530677	Infinity
CO2_ATM	0.000005	Infinity
CO2_INDUSTRY	0.000000	0.000000
CO2_CAPTURED	0.000000	0.000000
PT_HEAT	0.000000	0.000000
ST_HEAT	0.000000	0.000000
